f1efa5fd2d6c21d20cfc6200f9212d4699d0e03b0bf534bdd80b1d1c75e832e0,8b6ba7bf0650762fb68f29ee9ef7f932fe6a94521d60c8ae8230fc4e5891aa9c,425ad05de6f50bd35e43c6605f085f1b83f8c13af3857fbd9346fd66f8c3fe3c,0b86651e270980ac6607f6982b33367e9e15b0cbc5289fc8ae49770fabb9bdae,9710b2e52e6eacc38d5715c1b982327cbd7393c9ae129c35c5e596b683fcd5de
"0","0","1","0","0"
"0","0","2","0","0"
"0","0","3","0","0"
"2","0","4","0","0"
"2","0","5","0","0"
"2","0","6","0","0"
"3","0","7","0","0"
"3","0","8","0","0"
"3","0","9","0","0"
"4","0","10","0","0"
"4","0","11","0","0"
"4","0","12","0","0"
"0","0","13","0","0"
"0","0","14","0","0"
"0","0","15","0","0"
"0","0","16","0","2"
"0","0","17","0","2"
"0","0","18","0","2"
"0","0","19","0","3"
"0","0","20","0","3"
"0","0","21","0","3"
"3","0","22","0","0"
"3","0","23","0","0"
"2","0","24","0","0"
"2","0","25","0","0"
"0","0","26","0","2"
"0","0","27","0","2"
"2","3","28","0","0"
"2","3","29","0","0"
"3","0","30","0","2"
"3","0","31","0","2"
"3","0","32","0","3"
"0","0","33","0","3"
"3","4","34","0","0"
"0","0","35","0","0"
"2","0","36","0","2"
"2","0","37","0","2"
"4","0","38","0","3"
