964ebf9ff177f759cf616592539f16ae7cf2823a78843adf69c2c81e24e9793c,14d13ca95a5e46b3a3d3211497c14367d2569a1c11826bacb1e0e9daa51bfa47,66b2662493efcb75521423ff8d5a8f5c151890f509d6c6bf7cd4f8e2c6809440,ec6739442c254c27ccd495a209007778b6f3fa5d6630d3262568c7dc1d1b4dad,b27204811e8c9cb4ea12bbef2181e360b824eb3775168c2200863f5822473468,e753aabb48ca3ebea03b6128033b16a926f45f65022ea6fe9c991a832e7bf9e8
"1","0","0","20025","1101","1"
"1","0","0","20025","1102","1"
"0","5042002","1","20025","1103","1"
"1","0","0","20025","1104","1"
"0","5042003","1","20025","1105","1"
"1","0","0","20025","1106","1"
"0","5042005","2","20025","1107","1"
"0","5042007","1","20025","1201","2"
"0","5042007","2","20025","1202","2"
"1","0","0","20025","1203","2"
"1","0","0","20025","1204","2"
"0","0","0","20025","1301","1"
