11d62763f4814a375678c18a526899becbfc907e16cad381aceabb4726fe0764,c0e5a9f1257a7d106a666e525a9f9263a017051d3117e95ca0b432343fc20603,60e35c0e8f76424ada89b82ea20d605604a22cada47c4b3b19d20d50c2f65e04,44a3361b7b9c32803cbb32bb6aeaec878faabd1c9f9b21430d9ef477eeb42b5b,d5369aa0250325b0904f76bf93e851907c51287023804cc8c8600d05632ad9cd,7c6e7fe8efdea6ea2b8e24102207dde9d386f97f98168682704f51547ee553ed,7c9ec30318ba6a11b2119c12210e8058dcc834ce4f1b776055fd5015656b7e85,a8121b1daa7fee680902d429bfa633e7ea78bd69ede069a4ddf7a3dc3e4054b7
"0","10012","1001201","10012103","1","0","0","0"
"0","10012","1001202","10012107","2","0","0","0"
"0","10012","1001203","10012109","3","0","0","0"
"0","10012","1001204","10012114","4","0","0","1001201"
"0","10012","1001204","10012114","5","0","0","1001202"
"0","10012","1001204","10012114","6","0","0","1001203"
"0","20012","2001201","20012103","7","0","0","0"
"0","20012","2001202","20012107","8","0","0","0"
"0","20012","2001203","20012109","9","0","0","0"
"0","20012","2001204","20012114","10","0","0","2001201"
"0","20012","2001204","20012114","11","0","0","2001202"
"0","20012","2001204","20012114","12","0","0","2001203"
