0f804b582bf70e0663c44d4a0801b699594c18a49323d3c2502f3de21bb4ed1e,438fc2012491f95a46a6ebcd7d1c4ce040cc406a0f5979d193b7a98e52ad8990,0c1822e84b9ade2f9dae104ef0f0478a4462c0a9afcc73dc928e9db1219c46fe,b677933d75519c9b08f3bcd890abc64b3355b774dfa738245c2199909e79ec2a,e9a6b09d3286b06bda05215997eee180e45f1a13fb4197358f5ba9a61e058bfd,6c75258f9261637005fc45ac006e6fd7f5aaf2fb26cc3cdaa291cebc78cfedc3
"1000000","100","100","100","100","100"
"2000000","100","100","100","100","150"
"2000001","150","100","100","100","100"
"2000002","100","100","150","100","100"
"2000003","100","150","100","100","100"
"2000004","100","100","100","150","100"
"2000005","100","100","100","100","300"
"2000006","300","100","100","100","100"
"2000007","100","100","300","100","100"
"2000008","100","300","100","100","100"
"2000009","100","100","100","300","100"
"2000010","100","100","100","100","250"
"2000011","250","100","100","100","100"
"2000012","100","100","250","100","100"
"2000013","100","250","100","100","100"
"2000014","100","100","100","250","100"
"3000000","150","100","100","100","150"
"3000001","100","100","150","100","150"
"3000002","100","150","100","100","150"
"3000003","100","100","100","150","150"
"3000004","150","100","150","100","100"
"3000005","150","150","100","100","100"
"3000006","150","100","100","150","100"
"3000007","100","150","150","100","100"
"3000008","100","100","150","150","100"
"3000009","100","150","100","150","100"
"3000010","250","100","100","100","250"
"3000011","100","100","250","100","250"
"3000012","100","250","100","100","250"
"3000013","100","100","100","250","250"
"3000014","250","100","250","100","100"
"3000015","250","250","100","100","100"
"3000016","250","100","100","250","100"
"3000017","100","250","250","100","100"
"3000018","100","100","250","250","100"
"3000019","100","250","100","250","100"
"4000000","150","100","150","100","150"
"4000001","150","150","100","100","150"
"4000002","150","100","100","150","150"
"4000003","100","150","150","100","150"
"4000004","100","100","150","150","150"
"4000005","100","150","100","150","150"
"4000006","150","150","150","100","100"
"4000007","150","100","150","150","100"
"4000008","150","150","100","150","100"
"4000009","100","150","150","150","100"
"4000010","250","100","250","100","250"
"4000011","250","250","100","100","250"
"4000012","250","100","100","250","250"
"4000013","100","250","250","100","250"
"4000014","100","100","250","250","250"
"4000015","100","250","100","250","250"
"4000016","250","250","250","100","100"
"4000017","250","100","250","250","100"
"4000018","250","250","100","250","100"
"4000019","100","250","250","250","100"
"5000000","150","150","150","100","150"
"5000001","150","100","150","150","150"
"5000002","150","150","100","150","150"
"5000003","100","150","150","150","150"
"5000004","150","150","150","150","100"
"5000010","250","250","250","100","250"
"5000011","250","100","250","250","250"
"5000012","250","250","100","250","250"
"5000013","100","250","250","250","250"
"5000014","250","250","250","250","100"
