f3fe30d2ebc8b94a6ff9d21c1a10bc1b8e7b670760f4ad59910b031599a77cae,fc24e77ff286afdf872bbd2d2e19043a96c44cc073a1bace5ca70c6c2437ce9a,5572654aedf52d37ef1d489fe57d217b9f9a5e26a2bc0aa55617681f4391ee07,b9b734aa460f357002b1783b7f00285f8053de47a51bc9d5e6d311dd20a719a9,ba788f8b1579d668c7540436402a5450672dc41fe977a985e0141115d432bce4,f6376b6c86eafd977de18c588016cf3b7fd9ef92bf869b01c29c2d2bcfc6ae81,40da4f5cfd61b73641ab81e8b3e933022bf13d587ac428aaf15af44b40948178,d62cff1477f5d4bce2cf6911b567d7a729bd15bb3c32d429664fc3faa8e753ef,ef096b3ebc4d838627e92d53dff90a2beb75059fa095f3f8b078c6234c4e465c,b1430b8cf293736bca79a93dd090b7102ad990733156c6cd701ce132d2daf5dc,9020cd7885d549c2182760af9828d795415ee3352d81d240791007b067ec10c9,27cb27a34a54f8e5756f3459df18087e3ed91d7d79718eb16eb8780b89673317,f9f878097de9c720d7b0b787dcd278e02a94252656cf6a15751e20ec71f13e26
"2","0","小幅度提升攻擊力跟攻擊速度","100001","130011","0","0","2210101","10000101","提升攻擊力15％、\n提升攻擊速度10％。","0","0","倭"
"2","0","小幅度提升最大HP跟攻擊速度","100002","130111","0","0","2210201","10000201","提升最大HP15％、\n提升攻擊速度10％。","0","0","若菜"
"2","0","小幅度降低敵人的移動速度與攻擊速度","100003","130211","0","0","2210301","0","戰鬥開始３秒內，\n使敵人的移動速度與攻擊速度下降15％。","0","0","布武機"
"2","1","中幅度提升最大HP","100004","105811","0","0","0","10000401","提升最大HP25％。","0","0","貪吃佩可"
"2","2","中幅度降低敵人的移動速度","100005","106011","0","0","2210501","0","戰鬥開始３秒內，\n使敵人的移動速度下降25％。","0","0","凱留"
"2","3","大幅度提升COST","100006","105911","0","0","0","10000601","提升COST上限50％。","0","0","可可蘿"
"3","4","中幅度提升移動速度","100007","106411","0","0","2210701","0","提升移動速度25％。","0","0","雪菲"
"2","5","小幅度提升攻擊力跟移動速度","100008","131311","0","0","2210801","10000801","提升攻擊力15％、\n提升移動速度10％。","0","0","莉莉"
"2","6","小幅度提升最大HP跟移動速度","100009","131411","0","0","2210901","10000901","提升最大HP15％、\n提升移動速度10％。","0","0","可璃亞"
"2","7","小幅度提升COST上限跟移動速度","100010","131511","0","0","2211001","10001001","提升COST上限25％、\n提升移動速度10％。","0","0","普蕾西亞"
