0ee3a5c7b61558299368a08c02316b67d1170cec76f6ad380b5a1e608e67b0cf,eb8da8b75311e24c88da61c8880e4d5cc429a491bbb771b8848bddc11817da04,7b1897fd62ff61c1f2daf3069a5926794a17c70238587d08286374a0a2da23a5,a35355671b07f25a703d768493034e611c9e98e46d5b119978e693998ff6fba1
"界雷","2017","137","小幅度提升魔法攻擊的傷害，並造成進行物理攻擊的角色每次行動時最高HP的傷害，最大為99999。"
"百花繚亂","2017","146","經過一定的時間後，中幅度回復我方及敵人全體ＴＰ。"
"炎天烈日","2017","147","經過一定的時間後，依照其最大ＨＰ，對敵人、我方全體造成最大20萬的比例傷害。同時被施加的持續傷害將會上升。"
"秋高馬肥","2017","148","經過一定的時間後，提升敵人、我方全體的物理攻擊力、魔法攻擊力、物理防禦力、魔法防禦力。此效果的效果量會隨著敵人、我方的數量總和而增加。"
"寒氣凜冽","2017","149","小幅度降低敵人、我方全體的行動速度。此技能的效果可與其他行動速度變化技能疊加，同時在經過一定時間後，對行動速度低於初期數值的角色施加凍結狀態。"
"妨魔塵","2017","162","小幅度降低魔法攻擊的傷害。"
"雷雲","2017","164","每當經過一定時間，對敵方全體依照最大ＨＰ造成魔法比例傷害。同時，當角色的ＨＰ低於50％時，賦予麻痺狀態。此效果造成的傷害，將不會恢復TP。此效果所造成的狀態異常，即使傷害無效也會賦予狀態。"
"暴風","2017","169","經過一定的時間後，擊退全體敵人。"
"豪雨","2017","170","每當經過一定時間，小幅度降低敵方全體的行動速度直到戰鬥結束。同時，小幅度降低物理攻擊力與魔法攻擊力直到戰鬥結束。"
"絕冰","2017","175","小幅度提升物理攻擊暴擊時的傷害。"
"雷雲","2017","186","每當經過一定時間，對敵方全體依照最大ＨＰ造成魔法比例傷害。此效果造成的傷害，將不會恢復TP。"
