96c6c4e396b8c0e78fe9798fd259c3ece2591d44ece7967fc7ea9129d1e5811d,3f1f6c96f14f03cec4c8f0055aac1ab09e45420c3bd51410bc320cb2fa58eb9c,be78b72379ba819c83ffb218a8a8d6eaa2b98fe901dbae2d7e915fe20be7a64b,e75ff26cd75b110d0cee67368271332ac2616be4ae72727eadb04fd3ee6c9e5e,02a71be0f52672685750599b99d1b63fd73e16cac0f7d08b580f26a032fd88cc,42a78b540bb19b6b9c07af56ba69e04e44d9071912cf6d069058b9bcdc842e6f,5be04ea4d6c91ecd240e0100f4fb25e4933fa64b40eebf0ba79a5ad62ef93f29,94c28d8c1ac5b15876301f8f5ecfde6dcdb9fcbbe7daf9b07bcae03ea27e2cc9,f44093ffbb4670110ab4bcd48b53e015c42f78d6d2bfb002e75cd46f172c1d06,ac22205714f07d249295f3464d7bf3a643601315f596980430b77dbddcc0930e,1a3fe661b0a1238cfe0796e2aecf49f8cc446e290bade9ca6c1e62433caf8976,d6422d6f28cbb9660676321fcb8cc57df4673bbb2056af92c633e67886c163ad,932ebcef18b518573908d61e3b72162a9fddbf3c0ce0b3dbf0195b314f1b8369,27b8c0028998d212780a303be3890ec13c2c606b3c1c8b98c50afa6a7784e699
"20001101","601","0","9003","72001001","2018/01/01 12:00:00","72001001","2030/12/31 14:59:59","0","1","20001102","8004","完成活動任務1-1 (NORMAL)","20001"
"20001102","601","0","9003","72001002","2018/01/01 12:00:00","72001002","2030/12/31 14:59:59","0","1","20001102","8004","完成活動任務1-2 (NORMAL)","20001"
"20001103","601","0","9003","72001003","2018/01/01 12:00:00","72001003","2030/12/31 14:59:59","0","1","20001102","8004","完成活動任務1-3 (NORMAL)","20001"
"20001104","601","0","9003","72001004","2018/01/01 12:00:00","72001004","2030/12/31 14:59:59","0","1","20001102","8004","完成活動任務1-4 (NORMAL)","20001"
"20001105","601","0","9003","72001005","2018/01/01 12:00:00","72001005","2030/12/31 14:59:59","0","1","20001102","8004","完成活動任務1-5 (NORMAL)","20001"
"20001106","601","0","9003","72001006","2018/01/01 12:00:00","72001006","2030/12/31 14:59:59","0","1","20001102","8004","完成活動任務1-6 (NORMAL)","20001"
"20001107","601","0","9003","72001007","2018/01/01 12:00:00","72001007","2030/12/31 14:59:59","0","1","20001102","8004","完成活動任務1-7 (NORMAL)","20001"
"20001108","601","0","9003","72001008","2018/01/01 12:00:00","72001008","2030/12/31 14:59:59","0","1","20001102","8004","完成活動任務1-8 (NORMAL)","20001"
"20001109","601","0","9003","72001009","2018/01/01 12:00:00","72001009","2030/12/31 14:59:59","0","1","20001102","8004","完成活動任務1-9 (NORMAL)","20001"
"20001110","601","0","9003","72001010","2018/01/01 12:00:00","72001010","2030/12/31 14:59:59","0","1","20001102","8004","完成活動任務1-10 (NORMAL)","20001"
"20001111","601","0","9003","72001011","2018/01/01 12:00:00","72001011","2030/12/31 14:59:59","0","1","20001102","8004","完成活動任務1-11 (NORMAL)","20001"
"20001112","601","0","9003","72001012","2018/01/01 12:00:00","72001012","2030/12/31 14:59:59","0","1","20001102","8004","完成活動任務1-12 (NORMAL)","20001"
"20001113","601","0","9003","72001013","2018/01/01 12:00:00","72001013","2030/12/31 14:59:59","0","1","20001102","8004","完成活動任務1-13 (NORMAL)","20001"
"20001114","601","0","9003","72001014","2018/01/01 12:00:00","72001014","2030/12/31 14:59:59","0","1","20001102","8004","完成活動任務1-14 (NORMAL)","20001"
"20001115","601","0","9003","72001015","2018/01/01 12:00:00","72001015","2030/12/31 14:59:59","0","1","20001102","8004","完成活動任務1-15 (NORMAL)","20001"
"20001201","601","0","9003","72001016","2018/01/01 12:00:00","72001016","2030/12/31 14:59:59","0","1","20001103","8005","完成活動任務1-1 (HARD)","20001"
"20001202","601","0","9003","72001017","2018/01/01 12:00:00","72001017","2030/12/31 14:59:59","0","1","20001103","8005","完成活動任務1-2 (HARD)","20001"
"20001203","601","0","9003","72001018","2018/01/01 12:00:00","72001018","2030/12/31 14:59:59","0","1","20001103","8005","完成活動任務1-3 (HARD)","20001"
"20001204","601","0","9003","72001019","2018/01/01 12:00:00","72001019","2030/12/31 14:59:59","0","1","20001103","8005","完成活動任務1-4 (HARD)","20001"
"20001205","601","0","9003","72001020","2018/01/01 12:00:00","72001020","2030/12/31 14:59:59","0","1","20001103","8005","完成活動任務1-5 (HARD)","20001"
"660001101","601","0","9001","72001021","2018/01/01 12:00:00","72001021","2030/12/31 14:59:59","0","1","20001104","8006","打倒 1 隻席茲（NORMAL限定）","20001"
"660001201","601","0","9001","72001022","2018/01/01 12:00:00","72001022","2030/12/31 14:59:59","0","1","20001104","8007","打倒 1 隻席茲（HARD限定）","20001"
"660001301","601","0","9001","72001023","2018/01/01 12:00:00","72001023","2030/12/31 14:59:59","0","1","20001104","8010","打倒 1 隻席茲（VERY HARD限定）","20001"
"20002101","601","0","9003","72002001","2018/01/01 12:00:00","72002001","2030/12/31 14:59:59","0","1","20002102","8004","完成活動任務1-1 (NORMAL)","20002"
"20002102","601","0","9003","72002002","2018/01/01 12:00:00","72002002","2030/12/31 14:59:59","0","1","20002102","8004","完成活動任務1-2 (NORMAL)","20002"
"20002103","601","0","9003","72002003","2018/01/01 12:00:00","72002003","2030/12/31 14:59:59","0","1","20002102","8004","完成活動任務1-3 (NORMAL)","20002"
"20002104","601","0","9003","72002004","2018/01/01 12:00:00","72002004","2030/12/31 14:59:59","0","1","20002102","8004","完成活動任務1-4 (NORMAL)","20002"
"20002105","601","0","9003","72002005","2018/01/01 12:00:00","72002005","2030/12/31 14:59:59","0","1","20002102","8004","完成活動任務1-5 (NORMAL)","20002"
"20002106","601","0","9003","72002006","2018/01/01 12:00:00","72002006","2030/12/31 14:59:59","0","1","20002102","8004","完成活動任務1-6 (NORMAL)","20002"
"20002107","601","0","9003","72002007","2018/01/01 12:00:00","72002007","2030/12/31 14:59:59","0","1","20002102","8004","完成活動任務1-7 (NORMAL)","20002"
"20002108","601","0","9003","72002008","2018/01/01 12:00:00","72002008","2030/12/31 14:59:59","0","1","20002102","8004","完成活動任務1-8 (NORMAL)","20002"
"20002109","601","0","9003","72002009","2018/01/01 12:00:00","72002009","2030/12/31 14:59:59","0","1","20002102","8004","完成活動任務1-9 (NORMAL)","20002"
"20002110","601","0","9003","72002010","2018/01/01 12:00:00","72002010","2030/12/31 14:59:59","0","1","20002102","8004","完成活動任務1-10 (NORMAL)","20002"
"20002111","601","0","9003","72002011","2018/01/01 12:00:00","72002011","2030/12/31 14:59:59","0","1","20002102","8004","完成活動任務1-11 (NORMAL)","20002"
"20002112","601","0","9003","72002012","2018/01/01 12:00:00","72002012","2030/12/31 14:59:59","0","1","20002102","8004","完成活動任務1-12 (NORMAL)","20002"
"20002113","601","0","9003","72002013","2018/01/01 12:00:00","72002013","2030/12/31 14:59:59","0","1","20002102","8004","完成活動任務1-13 (NORMAL)","20002"
"20002114","601","0","9003","72002014","2018/01/01 12:00:00","72002014","2030/12/31 14:59:59","0","1","20002102","8004","完成活動任務1-14 (NORMAL)","20002"
"20002115","601","0","9003","72002015","2018/01/01 12:00:00","72002015","2030/12/31 14:59:59","0","1","20002102","8004","完成活動任務1-15 (NORMAL)","20002"
"20002201","601","0","9003","72002016","2018/01/01 12:00:00","72002016","2030/12/31 14:59:59","0","1","20002103","8005","完成活動任務1-1 (HARD)","20002"
"20002202","601","0","9003","72002017","2018/01/01 12:00:00","72002017","2030/12/31 14:59:59","0","1","20002103","8005","完成活動任務1-2 (HARD)","20002"
