01b5f3a549e5d2379fea807e50c10341c9a8bee3a7662dc0359efe804665c387,c0cf643b76f628ff5405541558eca37ae1fb2226166b8e9c5b44442659d9e8a3,397354a9c4ee5cbc47fd93f706e4c6af033e8f44c778330191248407f918a4fd,44781ab6e1233584568cc6d3d1ec3184112d991c46636434d5a9b11d5bf2d98c,56a732f2a4f376663c887356830cdfd2085a36cc6beda7810a2dcb37a2b22ad1
"1","3030100","0","1","0"
"1","3050100","0","2","0"
"1","3040100","0","3","0"
"1","3020100","0","4","0"
"1","2040100","0","5","0"
"2","2040100","0","5","0"
"1","2020100","0","6","0"
"2","2020100","0","6","0"
"1","1030100","314","7","0"
"1","4030100","0","8","0"
"1","1050100","502","9","0"
"1","4020100","0","10","0"
"1","2030100","0","11","0"
"2","2030100","0","11","0"
"1","3040100","0","12","10301010"
"1","1020100","202","13","0"
"1","1040102","406","14","20201010"
"1","1010200","105","15","0"
"2","2010200","0","15","0"
"3","2010200","0","15","0"
"1","3050200","0","16","0"
"1","3040200","0","17","0"
"1","3020200","0","18","0"
"1","2040200","0","19","0"
"2","2040200","0","19","0"
"1","2020200","0","20","0"
"2","2020200","0","20","0"
"1","1030200","315","21","0"
"1","1020200","205","22","0"
"1","1050200","509","23","0"
"1","4020200","0","24","0"
"1","2030200","0","25","0"
"2","2030200","0","25","0"
"1","4030200","0","26","0"
"1","3020200","0","27","10101020"
"1","1040200","408","28","20201020"
"1","3040200","0","29","10101020"
"1","3010200","0","30","10101020"
"1","1010300","102","31","0"
"2","2010300","0","31","0"
"3","2010300","0","31","0"
"1","3050300","0","32","0"
"1","3040300","0","33","0"
"1","3020300","0","34","0"
"1","2040300","0","35","0"
"2","2040300","0","35","0"
"1","2020300","0","36","0"
"2","2020300","0","36","0"
"1","1030300","306","37","0"
"1","1020300","206","38","0"
"1","1050300","502","39","0"
"1","4020300","0","40","0"
"1","2030300","0","41","0"
"2","2030300","0","41","0"
"1","4030300","0","42","0"
"1","3020300","0","43","10101030"
"1","1040300","406","44","20201030"
"1","3010300","0","45","10101050"
"1","3040300","0","46","10101050"
"1","3030300","0","47","10101050"
"1","3010300","0","48","10101050"
"1","3020300","0","49","10101050"
"1","1010300","112","50","30102050"
