ea52e0c984dfb6e8eb0706fab9a2ab061c729602d88df1efe434c82d456ab2c7,16fe0197c06d5a80e32086982b96fe2b4bc75269bdc02b80b4d316741bf69c1e,bf87a07bb09c448519bee3828f2c5890585399b558ebe8ad4a15d33880988619
"1","1","114601"
"2","2","114701"
"3","3","115601"
"4","5","115801"
"5","6","116801"
"6","7","117401"
"7","8","117801"
"8","9","119201"
"9","10","120801"
"10","12","121201"
"11","13","122101"
"12","14","122401"
"13","15","122801"
"14","16","123501"
"15","17","124101"
"16","20","124701"
"17","21","124901"
"18","22","125701"
"19","24","126701"
"20","25","127001"
"21","27","128301"
"22","28","128801"
"23","29","105801"
"24","30","105901"
"25","31","106001"
"26","32","106401"
