e6a11259fea90f68171661e51ce875704522dd09dfbc8fcb1bbc0585a94cfab5,fdf0ebaa8ae87c6c3d585a43266cedd2459ed0eb250570ca3e33429907ec240c,5d6f30ff972c54a4d7a5fa1585b98c6ab98a8663007c2f389300298b1997a29e,f1e7ce82239fabb44e3a3d6f2c8d5c0576759fd16bd8ed05384738b0ff83a5e7,6b3f075eb0093ab696ff4ec8e568f4b5f4fbf154c8792d9a2d4377f94c535899,2f99d0d47b472cf9f353fab8a1df3d07045f0028745aa67e5e05de61184ceac2,233678ab008af42711ae6be935c6183772824849d843a5b67a28de2aa571bc56,cb5e1a72adda2006c86a07aca168661e7a762f42e2b4c862e6f400acf888d077,0d1798e21aa5deb88c462d09a0d12b9bced55a38ecf9cbf327d0665e6f8325cb,528dcddd5081035444c35d6814aab2cc7f2e24d0125f3c14fc50bb5f1629e5c6,14b1a97552e7a514689c1fd31629ac45e32fe73cfebc908f6d368e411cd6a0c4,e1ee458f59161d064bc4c0e5197482a4dd3d23afc88f32b5da873f281d60d21e,ffabd45c7316dcf5123079cc60744465df0e9e1686766b22de9de892f3758ef5,03fbeacda82143fe5ccbbb3059e5bb98c209a51e6384a37f4619604ef972c0e0,803f107bbb7073ace8294c97808eb8cd104ec81be5023cfcad9ba594141dcfe7,66ae4c1202b5814b890b6739796dfe7341ee63fca077dfe9e70d5ced7ad53036,4ff5727469734c5b3fd640ca94a2228b801da3c33d779deff870442b2be749fb,516639937bfd2dd8a75339d4b93ffd49c94d15ddfba794aa252c404d68f2de36,1b6e1e2840cb138ba678548dfc9c1b18312d47555936dd0e0624af127beccbbb,c34d91aefc23e496e3a3e97c8b32bbd7bf41360754ccb0c7eabe712634bb94cc,a459f1171e69bd5fc52b3a4a699453d382e74c1a37744c8d6ed16918ca87a44c
"1","8","0","500","0","0","1","0","0","1","1001","0","31043","91002","500","2","5","0","2","1","90006"
"2","8","0","1000","0","0","2","0","0","1","1001","0","31043","91002","1000","2","8","0","2","2","90006"
"3","8","0","1500","0","0","3","0","0","1","1001","0","31043","91002","1500","2","10","0","2","3","90006"
"4","8","0","2000","0","0","4","0","0","1","1001","0","31043","91002","2000","2","12","0","2","4","90006"
"5","8","0","2500","0","0","5","0","0","1","1001","0","31043","91002","2500","2","14","0","2","5","90006"
"6","8","0","3000","0","0","6","0","0","1","1001","0","31043","91002","3000","2","16","0","2","6","90006"
"7","8","0","3500","0","0","7","0","0","1","1001","0","31043","91002","3500","2","18","0","2","7","90006"
"8","8","0","4000","0","0","9","0","0","1","1001","0","31043","91002","4000","2","20","0","2","8","90006"
"10","8","0","4500","0","0","-1","0","0","1","1001","0","31043","91002","4500","2","25","0","2","9","90006"
"1","8","0","500","0","0","1","0","0","1","1002","0","31022","91002","500","2","5","0","2","10","90006"
"2","8","0","1000","0","0","2","0","0","1","1002","0","31022","91002","1000","2","8","0","2","11","90006"
"3","8","0","1500","0","0","3","0","0","1","1002","0","31022","91002","1500","2","10","0","2","12","90006"
"4","8","0","2000","0","0","4","0","0","1","1002","0","31022","91002","2000","2","12","0","2","13","90006"
"5","8","0","2500","0","0","5","0","0","1","1002","0","31022","91002","2500","2","14","0","2","14","90006"
"6","8","0","3000","0","0","6","0","0","1","1002","0","31022","91002","3000","2","16","0","2","15","90006"
"7","8","0","3500","0","0","7","0","0","1","1002","0","31022","91002","3500","2","18","0","2","16","90006"
"8","8","0","4000","0","0","8","0","0","1","1002","0","31022","91002","4000","2","20","0","2","17","90006"
"9","8","0","4500","0","0","9","0","0","1","1002","0","31022","91002","4500","2","25","0","2","18","90006"
"10","8","0","5000","0","0","-1","0","0","1","1002","0","31022","91002","5000","2","30","0","2","19","90006"
"1","8","0","500","0","0","1","0","0","1","1003","0","31042","91002","500","2","5","0","2","20","90006"
"2","8","0","1000","0","0","2","0","0","1","1003","0","31042","91002","1000","2","8","0","2","21","90006"
"3","8","0","1500","0","0","3","0","0","1","1003","0","31042","91002","1500","2","10","0","2","22","90006"
"4","8","0","2000","0","0","4","0","0","1","1003","0","31042","91002","2000","2","12","0","2","23","90006"
"5","8","0","2500","0","0","5","0","0","1","1003","0","31042","91002","2500","2","14","0","2","24","90006"
"6","8","0","3000","0","0","6","0","0","1","1003","0","31042","91002","3000","2","16","0","2","25","90006"
"7","8","0","3500","0","0","7","0","0","1","1003","0","31042","91002","3500","2","18","0","2","26","90006"
"8","8","0","4000","0","0","8","0","0","1","1003","0","31042","91002","4000","2","20","0","2","27","90006"
"9","8","0","4500","0","0","9","0","0","1","1003","0","31042","91002","4500","2","25","0","2","28","90006"
"10","8","0","5000","0","0","-1","0","0","1","1003","0","31042","91002","5000","2","30","0","2","29","90006"
"1","8","0","500","0","0","1","0","0","1","1004","0","31018","91002","500","2","5","0","2","30","90006"
"2","8","0","1000","0","0","2","0","0","1","1004","0","31018","91002","1000","2","8","0","2","31","90006"
"3","8","0","1500","0","0","3","0","0","1","1004","0","31018","91002","1500","2","10","0","2","32","90006"
"4","8","0","2000","0","0","4","0","0","1","1004","0","31018","91002","2000","2","12","0","2","33","90006"
"5","8","0","2500","0","0","5","0","0","1","1004","0","31018","91002","2500","2","14","0","2","34","90006"
"6","8","0","3000","0","0","6","0","0","1","1004","0","31018","91002","3000","2","16","0","2","35","90006"
"7","8","0","3500","0","0","7","0","0","1","1004","0","31018","91002","3500","2","18","0","2","36","90006"
"8","8","0","4000","0","0","8","0","0","1","1004","0","31018","91002","4000","2","20","0","2","37","90006"
"9","8","0","4500","0","0","9","0","0","1","1004","0","31018","91002","4500","2","25","0","2","38","90006"
"10","8","0","5000","0","0","-1","0","0","1","1004","0","31018","91002","5000","2","30","0","2","39","90006"
"1","8","0","500","0","0","1","0","0","1","1005","0","31025","91002","500","2","5","0","2","40","90006"
"2","8","0","1000","0","0","2","0","0","1","1005","0","31025","91002","1000","2","8","0","2","41","90006"
"3","8","0","1500","0","0","3","0","0","1","1005","0","31025","91002","1500","2","10","0","2","42","90006"
"4","8","0","2000","0","0","4","0","0","1","1005","0","31025","91002","2000","2","12","0","2","43","90006"
"5","8","0","2500","0","0","5","0","0","1","1005","0","31025","91002","2500","2","14","0","2","44","90006"
"6","8","0","3000","0","0","6","0","0","1","1005","0","31025","91002","3000","2","16","0","2","45","90006"
"7","8","0","3500","0","0","7","0","0","1","1005","0","31025","91002","3500","2","18","0","2","46","90006"
"8","8","0","4000","0","0","8","0","0","1","1005","0","31025","91002","4000","2","20","0","2","47","90006"
"9","8","0","4500","0","0","9","0","0","1","1005","0","31025","91002","4500","2","25","0","2","48","90006"
"10","8","0","5000","0","0","-1","0","0","1","1005","0","31025","91002","5000","2","30","0","2","49","90006"
"1","8","0","500","0","0","1","0","0","1","1006","0","31043","91002","500","2","5","0","2","50","90006"
"2","8","0","1000","0","0","2","0","0","1","1006","0","31043","91002","1000","2","8","0","2","51","90006"
"3","8","0","1500","0","0","3","0","0","1","1006","0","31043","91002","1500","2","10","0","2","52","90006"
"4","8","0","2000","0","0","4","0","0","1","1006","0","31043","91002","2000","2","12","0","2","53","90006"
"5","8","0","2500","0","0","5","0","0","1","1006","0","31043","91002","2500","2","14","0","2","54","90006"
"6","8","0","3000","0","0","6","0","0","1","1006","0","31043","91002","3000","2","16","0","2","55","90006"
"7","8","0","3500","0","0","7","0","0","1","1006","0","31043","91002","3500","2","18","0","2","56","90006"
"8","8","0","4000","0","0","8","0","0","1","1006","0","31043","91002","4000","2","20","0","2","57","90006"
"9","8","0","4500","0","0","9","0","0","1","1006","0","31043","91002","4500","2","25","0","2","58","90006"
"10","8","0","5000","0","0","-1","0","0","1","1006","0","31043","91002","5000","2","30","0","2","59","90006"
"1","8","0","500","0","0","1","0","0","1","1007","0","31022","91002","500","2","5","0","2","60","90006"
"2","8","0","1000","0","0","2","0","0","1","1007","0","31022","91002","1000","2","8","0","2","61","90006"
"3","8","0","1500","0","0","3","0","0","1","1007","0","31022","91002","1500","2","10","0","2","62","90006"
"4","8","0","2000","0","0","4","0","0","1","1007","0","31022","91002","2000","2","12","0","2","63","90006"
"5","8","0","2500","0","0","5","0","0","1","1007","0","31022","91002","2500","2","14","0","2","64","90006"
"6","8","0","3000","0","0","6","0","0","1","1007","0","31022","91002","3000","2","16","0","2","65","90006"
"7","8","0","3500","0","0","7","0","0","1","1007","0","31022","91002","3500","2","18","0","2","66","90006"
"8","8","0","4000","0","0","8","0","0","1","1007","0","31022","91002","4000","2","20","0","2","67","90006"
"9","8","0","4500","0","0","9","0","0","1","1007","0","31022","91002","4500","2","25","0","2","68","90006"
"10","8","0","5000","0","0","-1","0","0","1","1007","0","31022","91002","5000","2","30","0","2","69","90006"
"1","8","0","500","0","0","1","0","0","1","1008","0","31042","91002","500","2","5","0","2","70","90006"
"2","8","0","1000","0","0","2","0","0","1","1008","0","31042","91002","1000","2","8","0","2","71","90006"
"3","8","0","1500","0","0","3","0","0","1","1008","0","31042","91002","1500","2","10","0","2","72","90006"
"4","8","0","2000","0","0","4","0","0","1","1008","0","31042","91002","2000","2","12","0","2","73","90006"
"5","8","0","2500","0","0","5","0","0","1","1008","0","31042","91002","2500","2","14","0","2","74","90006"
"6","8","0","3000","0","0","6","0","0","1","1008","0","31042","91002","3000","2","16","0","2","75","90006"
"7","8","0","3500","0","0","7","0","0","1","1008","0","31042","91002","3500","2","18","0","2","76","90006"
"8","8","0","4000","0","0","8","0","0","1","1008","0","31042","91002","4000","2","20","0","2","77","90006"
"9","8","0","4500","0","0","9","0","0","1","1008","0","31042","91002","4500","2","25","0","2","78","90006"
"10","8","0","5000","0","0","-1","0","0","1","1008","0","31042","91002","5000","2","30","0","2","79","90006"
"1","8","0","500","0","0","1","0","0","1","1009","0","31018","91002","500","2","5","0","2","80","90006"
"2","8","0","1000","0","0","2","0","0","1","1009","0","31018","91002","1000","2","8","0","2","81","90006"
"3","8","0","1500","0","0","3","0","0","1","1009","0","31018","91002","1500","2","10","0","2","82","90006"
"4","8","0","2000","0","0","4","0","0","1","1009","0","31018","91002","2000","2","12","0","2","83","90006"
"5","8","0","2500","0","0","5","0","0","1","1009","0","31018","91002","2500","2","14","0","2","84","90006"
"6","8","0","3000","0","0","6","0","0","1","1009","0","31018","91002","3000","2","16","0","2","85","90006"
"7","8","0","3500","0","0","7","0","0","1","1009","0","31018","91002","3500","2","18","0","2","86","90006"
"8","8","0","4000","0","0","8","0","0","1","1009","0","31018","91002","4000","2","20","0","2","87","90006"
"9","8","0","4500","0","0","9","0","0","1","1009","0","31018","91002","4500","2","25","0","2","88","90006"
"10","8","0","5000","0","0","-1","0","0","1","1009","0","31018","91002","5000","2","30","0","2","89","90006"
"1","8","0","500","0","0","1","0","0","1","1010","0","31025","91002","500","2","5","0","2","90","90006"
"2","8","0","1000","0","0","2","0","0","1","1010","0","31025","91002","1000","2","8","0","2","91","90006"
"3","8","0","1500","0","0","3","0","0","1","1010","0","31025","91002","1500","2","10","0","2","92","90006"
"4","8","0","2000","0","0","4","0","0","1","1010","0","31025","91002","2000","2","12","0","2","93","90006"
"5","8","0","2500","0","0","5","0","0","1","1010","0","31025","91002","2500","2","14","0","2","94","90006"
"6","8","0","3000","0","0","6","0","0","1","1010","0","31025","91002","3000","2","16","0","2","95","90006"
"7","8","0","3500","0","0","7","0","0","1","1010","0","31025","91002","3500","2","18","0","2","96","90006"
"8","8","0","4000","0","0","8","0","0","1","1010","0","31025","91002","4000","2","20","0","2","97","90006"
"9","8","0","4500","0","0","9","0","0","1","1010","0","31025","91002","4500","2","25","0","2","98","90006"
"10","8","0","5000","0","0","-1","0","0","1","1010","0","31025","91002","5000","2","30","0","2","99","90006"
"1","8","0","500","0","0","1","0","0","1","1011","0","31043","91002","500","2","5","0","2","100","90006"
"2","8","0","1000","0","0","2","0","0","1","1011","0","31043","91002","1000","2","8","0","2","101","90006"
"3","8","0","1500","0","0","3","0","0","1","1011","0","31043","91002","1500","2","10","0","2","102","90006"
"4","8","0","2000","0","0","4","0","0","1","1011","0","31043","91002","2000","2","12","0","2","103","90006"
"5","8","0","2500","0","0","5","0","0","1","1011","0","31043","91002","2500","2","14","0","2","104","90006"
"6","8","0","3000","0","0","6","0","0","1","1011","0","31043","91002","3000","2","16","0","2","105","90006"
"7","8","0","3500","0","0","7","0","0","1","1011","0","31043","91002","3500","2","18","0","2","106","90006"
"8","8","0","4000","0","0","8","0","0","1","1011","0","31043","91002","4000","2","20","0","2","107","90006"
"9","8","0","4500","0","0","9","0","0","1","1011","0","31043","91002","4500","2","25","0","2","108","90006"
"10","8","0","5000","0","0","-1","0","0","1","1011","0","31043","91002","5000","2","30","0","2","109","90006"
"1","8","0","500","0","0","1","0","0","1","1012","0","31022","91002","500","2","5","0","2","110","90006"
"2","8","0","1000","0","0","2","0","0","1","1012","0","31022","91002","1000","2","8","0","2","111","90006"
"3","8","0","1500","0","0","3","0","0","1","1012","0","31022","91002","1500","2","10","0","2","112","90006"
"4","8","0","2000","0","0","4","0","0","1","1012","0","31022","91002","2000","2","12","0","2","113","90006"
"5","8","0","2500","0","0","5","0","0","1","1012","0","31022","91002","2500","2","14","0","2","114","90006"
"6","8","0","3000","0","0","6","0","0","1","1012","0","31022","91002","3000","2","16","0","2","115","90006"
"7","8","0","3500","0","0","7","0","0","1","1012","0","31022","91002","3500","2","18","0","2","116","90006"
"8","8","0","4000","0","0","8","0","0","1","1012","0","31022","91002","4000","2","20","0","2","117","90006"
"9","8","0","4500","0","0","9","0","0","1","1012","0","31022","91002","4500","2","25","0","2","118","90006"
"10","8","0","5000","0","0","-1","0","0","1","1012","0","31022","91002","5000","2","30","0","2","119","90006"
"1","8","0","500","0","0","1","0","0","1","1013","0","31042","91002","500","2","5","0","2","120","90006"
"2","8","0","1000","0","0","2","0","0","1","1013","0","31042","91002","1000","2","8","0","2","121","90006"
