f52b5e6708da9d712e8d3dbb6575c497f5feda8bfc20db678343dd0822bb35e0,8196d36dc8c54acccc61d31edc49fe579fc711ceb070cf39b77636c03e3e3451,f1515e749d6b33cd5c0af2aee07f393ec8b1dcc64084da03a9f1b5b892a89bc4,be637abe2acd9b81ac3310f7b1789cb8f86a26a35cfe2a80516bcc434e8d8ff4,09631946deca96eab2fca5035033d211a37ca5d82b409a3678351812ad25d1d3,9971300812ce8196c61006190c0cfd9662e4e9d577f552fbca5cb10202a7f4dc,3595286f91efa253778ab9c839c89a9bdb184a6d9c7db521c09d5281431b8733,756cc9963ec000447f0c65fb6c9965491edd210ffe6142a6d6fd308226558c52,14d1124472c70186eb5ff613001627db07337627d24422a01007e6164148a6eb,374c26d104949fdfa59f6815a6aa581198ad77ba8d555cd7f0214e04c6ae9e2a
"1","10001","1","萊拉耶爾","","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","126501","1001","0"
"2","10001","2","莫妮卡","","取得最大1000里程","","105301","1002","0"
"3","1","1","克蘿茜","","取得{0}個料理","","126401","1003","0"
"4","1","3","茉莉","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","100501","1004","0"
"4","2","2","七七香","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","101301","1005","0"
"5","4","2","真琴","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","104301","1006","0"
"5","3","3","惠理子","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","102701","1007","0"
"6","7","1","杏奈","","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","100901","1008","0"
"1","10001","1","深月","","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","105101","1009","0"
"2","10001","2","伊緒","","取得最大1000里程","","101801","1010","0"
"8","0","2","涅妃‧涅羅","","可以選擇使用骰子的\n正面或背面","可以選擇使用骰子的\n正面或背面","129701","1011","0"
"4","1","3","鈴奈","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","101601","1012","0"
"4","2","2","流夏","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","105601","1013","0"
"5","3","3","美美","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","102001","1014","0"
"6","7","1","安涅默涅","","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","129601","1015","0"
"10","1","2","禊","","骰子擲出{0}時，\n可以讓對手休息{1}個回合","骰子擲出{0}時，可以讓對手休息{1}個回合","100401","1016","1"
"13","2","3","琳德","","骰子擲出{0}時，\n前進+{1}","骰子擲出{0}時，\n前進+{1}","127701","1017","1"
"10","1","2","烏爾姆","","骰子擲出{0}時，\n可以讓對手休息{1}個回合","骰子擲出{0}時，\n可以讓對手休息{1}個回合","127801","1018","1"
"1","10001","1","美冬","","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","104801","1019","0"
"4","2","2","純","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","104701","1020","0"
"6","7","1","美咲","","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","105001","1021","0"
"2","10002","1","秋乃","","取得最大2000里程","","103201","1022","0"
"12","1","1","庫露露","","取得{0}張抽獎券","","130901","1023","0"
"3","1","1","鈴莓","","取得{0}個料理","","102501","1024","0"
"8","0","2","雪","","可以選擇使用骰子的\n正面或背面","可以選擇使用骰子的\n正面或背面","100801","1025","0"
"5","4","2","涅婭","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","123301","1026","0"
"1","10001","1","珠希","","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","104601","1027","0"
"4","2","2","蘭法","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","118101","1028","0"
"6","7","1","優花梨","","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","103401","1029","0"
"2","10002","1","克蕾琪塔","","取得最大2000里程","","118001","1030","0"
"12","1","1","咲戀","","取得{0}張抽獎券","","102801","1031","0"
"3","1","1","優衣","","取得{0}個料理","","100201","1032","0"
"13","1","3","初音","","骰子擲出{0}時，\n前進+{1}","骰子擲出{0}時，\n前進+{1}","101201","1033","1"
"4","1","3","美空","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","118201","1034","0"
"6","7","1","矛依未","","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","106101","1035","0"
"5","4","2","忍","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","103101","1036","0"
"1","10001","1","真陽","","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","103301","1037","0"
"2","10002","1","鏡華","","取得最大2000里程","","103601","1038","0"
"12","1","1","格蕾斯","","取得{0}張抽獎券","","133001","1039","0"
"3","1","1","薇歐莉特","","取得{0}個料理","","133101","1040","0"
"8","0","2","拉比林斯達","","可以選擇使用骰子的\n正面或背面","可以選擇使用骰子的\n正面或背面","106801","1041","0"
"4","1","3","克莉絲提娜","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","107101","1042","0"
"6","7","1","似似花","","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","107001","1043","0"
"5","4","2","嘉夜","","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","106501","1044","0"
"1","10001","1","優妮","","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","111001","1045","0"
"2","10002","1","華音","","取得最大2000里程","","134901","1046","0"
"12","1","1","紡希","","取得{0}張抽獎券","","105401","1047","0"
"3","1","1","鳳凰","","取得{0}個料理","","134701","1048","0"
"8","0","2","日和","","可以選擇使用骰子的\n正面或背面","可以選擇使用骰子的\n正面或背面","100101","1049","0"
"4","1","3","宮子","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","100701","1050","0"
"6","7","1","妮諾","","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","103001","1051","0"
"13","2","3","霞","","骰子擲出{0}時，\n前進+{1}","骰子擲出{0}時，\n前進+{1}","101401","1052","1"
"1","10001","1","剎鬼","","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","135901","1053","0"
"2","10002","1","鈴","","取得最大2000里程","","102601","1054","0"
"12","1","1","彩羽","","取得{0}張抽獎券","","132401","1055","0"
"3","1","1","雪野","","取得{0}個料理","","135801","1056","0"
"8","0","2","怜","","可以選擇使用骰子的\n正面或背面","可以選擇使用骰子的\n正面或背面","100301","1057","0"
"4","1","3","帆稀","重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","106701","1058","0"
"6","7","1","露易絲瑪莉","","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","132301","1059","0"
"13","1","3","莉瑪","","骰子擲出{0}時，\n前進+{1}","骰子擲出{0}時，\n前進+{1}","105201","1060","1"
"1","10001","1","依里","","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","102201","1061","0"
"2","10002","1","茜里","","取得最大2000里程","","100601","1062","0"
"12","1","1","拿娜","","取得{0}張抽獎券","","136201","1063","0"
"3","1","1","琪愛兒","","取得{0}個料理","","110901","1064","0"
