56cbcb94b108944daee3d55976d749712c6a4bf5831957e2f12332bce50c5337,62f23b7cbd6b54f3a598a44368019183f9ded43d33b1b7bb76ad61c019384ec6,a041b1eba83a5a13dc06d2618916bb5476d0087a71a0c596e0d2a7fdf3b08266,d41b5e3de7eb4830fa912c5f87ba143d680634bdbf03aa1aa7e0c3fb01009a7d
"1061001","2","1061002","1061101"
"1061001","2","1061003","1061102"
"1061001","2","1061012","1061111"
"1067001","2","1067001","1067101"
"1068001","2","1068001","1068103"
"1068001","2","1068002","1068101"
"1068001","2","1068003","1068102"
"1068001","2","1068012","1068111"
"1069001","2","1069001","1069101"
"1158001","1","1158001","1158100"
"1158001","2","1158002","1158101"
"1158001","2","1158003","1158102"
"1158001","2","1158012","1158111"
"1158001","2","1158203","1158102"
"1164001","2","1164001","1164101"
"1182001","2","1182001","1182101"
"1185001","2","1185001","1185101"
"1208001","2","1208002","1208101"
"1208001","2","1208012","1208111"
"1220001","2","1220001","1220101"
"1223001","2","1223002","1223101"
"1223001","2","1223003","1223102"
"1223001","2","1223012","1223111"
"1227001","2","1227001","1227101"
"1230001","2","1230001","1230101"
"1250001","2","1250002","1250101"
"1250001","2","1250003","1250102"
"1250001","2","1250012","1250111"
"1258001","2","1258001","1258101"
"1260001","2","1260001","1260101"
"1261001","2","1261001","1261101"
"1262001","2","1262001","1262101"
"1264001","2","1264001","1264103"
"1264001","2","1264002","1264101"
"1264001","2","1264003","1264102"
"1265001","2","1265001","1265101"
"1290001","2","1290001","1290101"
"1293001","2","1293001","1293101"
"1294001","2","1294001","1294101"
"1296001","2","1296001","1296101"
"1297001","2","1297001","1297101"
"1312001","2","1312001","1312101"
