15002f73732eb7ede790efd4eaa6e5cc4d9eb4abe11360bbed798b14a7e26e7b,9b8fd476da1ddca8c78cf45a87a5b24dab386f6a5894d0be08445bc557d35787,f78b58c590ecae1abc8449ddc217ff8cb9c901e2f4025401e4615af549a3f321
"裝備中","平常時","106101"
"特殊技","平常時","106701"
"權能解放中","平常時","106801"
"特殊技","平常時","106901"
"變身中","平常時","115801"
"特殊技","平常時","116401"
"特殊技能","平常時","118201"
"特殊技","平常時","118501"
"特殊技能","平常時","118601"
"初次發動時","平常時","120801"
"特殊技","平常時","122001"
"共鬥中","平常時","122301"
"特殊技","平常時","122701"
"特殊技","平常時","123001"
"共鬥中","平常時","125001"
"特殊技能","平常時","125801"
"特殊技能","平常時","126001"
"特殊技能","平常時","126101"
"特殊技能","平常時","126201"
"【蓄電滿載】中","平常時","126401"
"特殊技能","平常時","126501"
"特殊技能","平常時","129001"
"特殊技能","平常時","129301"
"特殊技能","平常時","129401"
"特殊技能","平常時","129601"
"特殊技能","平常時","129701"
"特殊技能","平常時","130001"
"特殊技能","平常時","130101"
"特殊技能","平常時","131201"
"特殊技能","平常時","131801"
"特殊技能","平常時","132001"
"鬼化中","平常時","132101"
"初次發動時","平常時","132901"
"特殊技能","平常時","181201"
