069324b3644d31268a01c7bb6a3bd251e091937a9b3c2f7e8584b4fa751015c8,0ed555d8445bc4e7a159f2f0bb49895e46f276db68d77d402035460d6e213f08,154bb9048d73a65f4a6a843c047432d4a80446ed0340df1ab7ca6f39759828f9,e5cc09d8d2b881c9b018a5b440b0274301ba753b0bd7249343a3d56467b029f9,c7d60ef69e3eea29e45796a26a2e39a49b0970e023ae286f29509831abc1d968,3f257f87586d7c07145305c4d8135c136e5b2748d2497edbe24a05035d209107,6eea50fabe34470dd1399dc662db540aea229ffb09d01671570a6d5efcfb12de,17e87f75f7062562b04f943fbf678a7bd0fd4a6604c3ba54a588f6cd498e016e,057676e4e4b9f16b12186b6a371d77e49cb6d8aab658dda180f3034f2daff880,d423a897c4ed20b4abaad5355b055efe66fd0c21e55c87d1a96f16adc9bea7d4,203988314dc53f77b2f23b3325e676797e949c9ce89bda79b74f358bc1571849
"10001001","-622","0.65","10001","empty","50","2","0","5","0","2"
"10001002","-622","0.65","10001","empty","51","1","0","5","0","1"
"10001003","0","0","10001","","1","1","0","6","1","2"
"10001004","0","0","10001","","1","1","0","6","1","1"
"10001005","1","0","10001","","0","10001","","31","0","10001"
"10001006","","","10001","","","0","","91","","0"
"10001007","1","0.2","10001","","1","1","0","6","1","2"
"10001008","1","0.2","10001","","1","1","0","6","1","1"
"10001009","14","","10001","","-472","0","0","2","0.3","2"
"10001010","14","","10001","","-472","0","0","2","0.3","1"
"10001011","","0","10001","","0","limitedMission_congratulations","","3","","2"
"10001012","","0","10001","","0","limitedMission_congratulations","","3","","1"
"10001013","","","10001","","","1","","32","","10001"
"10001014","","","10001","","","0","","93","","3"
"10001015","0","0.2","10001","","1","1","0","6","1","2"
"10001016","0","0.2","10001","","1","1","0","6","1","1"
"10001017","","","10001","","","0","","93","","0.2"
