ca7c5c612a5520798b6ad1a382dcbc4ba6aa32d3d56a8805deed79c708428833,cce4c7337c1a691fa698cd30a18cb73876e935e979b658f0b05adb979f0935ee,4b35214d08189d1f412fca9026ee00a7d31f1d7cd9bd3129b17020f1b990a118,b84dec5cc2a294d858ad08bb2a820c996c43a5852e57b3020931713d46ddaefe,e558edb785b448842ea8a639da58ec02d2ae2e2342d2606d6ca9bf77b356b441
"0","1","0","1","1001"
"0","1","0","2","1002"
"0","1","0","3","1003"
"0","1","0","4","1004"
"0","2","0","1","2001"
"0","2","0","2","2002"
"0","2","0","3","2003"
"0","2","0","4","2004"
"1","2","0","1","2101"
"1","2","0","2","2102"
"1","2","0","3","2103"
"1","2","0","4","2104"
"2","2","10001","11","2111"
"2","2","10001","12","2112"
"2","2","10001","13","2113"
"0","3","0","1","3001"
"0","3","0","2","3002"
"0","3","0","3","3003"
"0","3","0","4","3004"
"0","4","0","1","4001"
"0","4","0","2","4002"
"0","4","0","3","4003"
"0","4","0","4","4004"
"0","4","0","100","4005"
"1","5","0","10101","5010"
"2","5","1","10201","5020"
"2","5","2","10202","5021"
"3","5","0","10301","5030"
"3","5","1","10301","5031"
"4","5","0","10302","5040"
"5","5","0","10303","5050"
"6","5","0","10304","5060"
"1","6","0","90001","6001"
"2","6","0","90001","6002"
"2","6","1","90001","6003"
"3","6","0","90001","6006"
"3","6","1","91101","6007"
"3","6","2","91201","6008"
"3","6","3","91301","6009"
"4","6","0","90001","6010"
"4","6","1","91101","6011"
"4","6","2","91201","6012"
"4","6","3","91301","6013"
"5","6","0","90001","6014"
"5","6","1","91101","6015"
"5","6","2","91201","6016"
"5","6","3","91301","6017"
"6","6","0","90001","6018"
"6","6","1","91101","6019"
"6","6","2","91201","6020"
"6","6","3","91301","6021"
"7","6","0","92001","6022"
"7","6","1","92101","6023"
"7","6","2","92201","6024"
"7","6","3","92301","6025"
"7","6","4","92401","6026"
"8","6","0","92001","6027"
"8","6","1","92101","6028"
"8","6","2","92201","6029"
"8","6","3","92301","6030"
"8","6","4","92401","6031"
"0","7","0","90002","7000"
"0","7","1","90002","7001"
"0","7","2","90003","7002"
"2","7","1","90002","7003"
"2","7","2","90003","7004"
"3","7","1","91102","7005"
"3","7","2","91103","7006"
"4","7","1","91102","7007"
"4","7","2","91103","7008"
"5","7","1","91102","7009"
"5","7","2","91103","7010"
"6","7","1","91102","7011"
"6","7","2","91103","7012"
"7","7","1","92102","7013"
"7","7","2","92103","7014"
"8","7","1","92102","7015"
"8","7","2","92103","7016"
"0","9","0","20101","9001"
"0","10","0","20201","10001"
"1","10","0","20202","10002"
"8","101","0","10501","10180"
"1","100","0","1","100001"
"2","100","0","1","100002"
"3","100","0","2","100003"
"4","100","0","2","100004"
"5","100","0","2","100005"
"6","100","0","2","100006"
"7","100","0","3","100007"
"8","100","0","3","100008"
"98001","101","0","10301","980001"
"98001","101","2","10402","980002"
"98011","101","1","10401","980011"
"98012","101","2","10402","980012"
