c4a454e96552798ba20a4e004894655d5ef0b053d04f735025b5f179d40cd1ae,d3bf9be29c496e4d0cb7742e7ee777d275f279d8716a70cdef80baf158b13205,77ab4123a5ffd303044392bb1405db1351eb0ba89152589618b40612967ae2d1,e33324d5f64298680ce0066a7bd461605be9ff4b09fe27b102938b822131be92,fcdf4e9267b34cdf6f13698f79d3dbc1763ef7e51b0561ebd7e0b185da1286d9,f02e35b3f7b57460852f41e4bbafd59d962aedf6b424cee4996732032217f7ef,875be4fa333bb7edd6be47d3c58487dd861d998df23b74b1c11b0a99dd357d3a,eb6f168f8319cb1685e1d5bc4d1bfbc788fe47f38c874cc1a4bae5395b73a732,24b01534d96eeb977a27632724113ed6785d574dd023557144316e6d01486da2,83306115a44d64ece64db5d6e5c43c575af13600a88445d1a94a27a6f829a9be,7eb44700315966b3600dad026ea257cd4d654e16d0c82207e8dc1177162f3ed6
"-175","1","113511","1","1010001","1","1.65","100","64","pkb_idle_normal","1"
"","","pkb_talk_wish","1","1010002","3","0.2","1","","","113511"
"","","vo_minigame_1006_top_101","1","1010003","21","","0","0","","vo_minigame_1006"
"0","0","今天也和老師\n一起努力加油吧～","1","1010004","11","0","8","0","0","113511"
"","","","1","1010005","91","","","","","0"
"","","pkb_idle_normal","1","1010006","3","0.2","1","","","113511"
"-175","1","113511","2","1020001","1","1.65","100","64","pkb_idle_normal","1"
"","","pkb_talk_wish","2","1020002","3","0.2","1","","","113511"
"","","vo_minigame_1006_top_102","2","1020003","21","","0","0","","vo_minigame_1006"
"0","0","老師很相信\n大家的實力喔～！\n要加油喲～♪","2","1020004","11","0","6","0","0.5","113511"
"","","","2","1020005","93","","","","","6"
"1","","pkb_talk_fun","2","1020006","3","0.2","0","pkb_idle_normal","","113511"
"","","","2","1020007","91","","","","","1020004"
"","","pkb_idle_normal","2","1020008","3","0.2","1","","","113511"
"-175","1","113511","3","1030001","1","1.65","100","64","pkb_idle_normal","1"
"1","0.2","pkb_smile","3","1030002","3","0.2","0","pkb_idle_normal","","113511"
"","","vo_minigame_1006_top_103","3","1030003","21","","0","0","","vo_minigame_1006"
"0","0","要小心別受傷喔，\n不可以勉強自己～♪","3","1030004","11","0","6","0","0","113511"
"","","","3","1030005","93","","","","","2"
"","","pkb_talk_wish","3","1030006","3","0.2","1","","","113511"
"","","","3","1030007","91","","","","","1030004"
"","","pkb_idle_normal","3","1030008","3","0.2","1","","","113511"
"-155","1","3","4","1040001","5","57","100","64","pkb_idle_normal_l","3"
"1","0.2","pkb_talk_arm_crossed_l","4","1040002","3","0.2","0","pkb_idle_arm_crossed_l","","3"
"","","vo_minigame_1006_top_601","4","1040003","21","","0","0","","vo_minigame_1006"
"0","","今天的練習\n我也不會手下留情的！\n好好跟上我吧！","4","1040004","11","0","8","0","0","3"
"","","","4","1040005","91","","","","","0"
"","","pkb_idle_normal_l","4","1040006","3","0.2","1","","","3"
"-155","1","3","5","1050001","5","57","100","64","pkb_idle_normal_l","3"
"1","0.2","pkb_talk_arm_crossed_l","5","1050002","3","0.2","0","pkb_idle_arm_crossed_l","","3"
"","","vo_minigame_1006_top_602","5","1050003","21","","0","0","","vo_minigame_1006"
"0","","很好！\n提起幹勁\n開始練習吧──！","5","1050004","11","0","8","0","0","3"
"","","","5","1050005","93","","","","","2"
"1","0.2","pkb_talk_handsup_l","5","1050006","3","0.2","0","pkb_idle_normal_l","","3"
"","","","5","1050007","91","","","","","1050004"
"","","pkb_idle_normal_l","5","1050008","3","0.2","1","","","3"
"-155","1","3","6","1060001","5","57","100","64","pkb_idle_normal_l","3"
"1","0.2","pkb_talk_arm_crossed_l","6","1060002","3","0.2","0","pkb_idle_arm_crossed_l","","3"
"","","vo_minigame_1006_top_603","6","1060003","21","","0","0","","vo_minigame_1006"
"0","","可別因為這是練習，\n就讓我看見你們\n散漫的樣子啊！","6","1060004","11","0","8","0","0","3"
"","","","6","1060005","93","","","","","3"
"1","","pkb_talk_guts_l","6","1060006","3","0.2","0","pkb_idle_guts_l","","3"
"","","","6","1060007","91","","","","","1060004"
"","","pkb_idle_normal_l","6","1060008","3","0.2","1","","","3"
"-175","1","113411","7","1070001","1","1.65","100","64","pkb_idle_normal","1"
"1","0.2","pkb_talk_fun","7","1070002","3","0.2","0","pkb_talk_joy1","","113411"
"","","vo_minigame_1006_top_201","7","1070003","21","","0","0","","vo_minigame_1006"
"0","0","加油～加油～！\n今天也要努力加油喔！\n打起精神上吧～！","7","1070004","11","0","8","0","0","113411"
"","","","7","1070005","93","","","","","3.4"
"1","0.2","pkb_talk_handsup","7","1070006","3","0.2","0","pkb_idle_normal","","113411"
"","","","7","1070007","91","","","","","1070004"
"","","pkb_idle_normal","7","1070008","3","0.2","1","","","113411"
"-175","1","113411","8","1080001","1","1.65","100","64","pkb_idle_normal","1"
"","","pkb_talk_joy2","8","1080002","3","0.2","1","","","113411"
"","","vo_minigame_1006_top_202","8","1080003","21","","0","0","","vo_minigame_1006"
"0","0","初音也要一起\n幫忙練習～！\n閃亮亮～☆","8","1080004","11","0","8","0","-1","113411"
"","","","8","1080005","93","","","","","3.6"
"","","pkb_hatsune_kiran","8","1080006","3","0.2","0","","","113411"
"","","","8","1080007","91","","","","","1080004"
"","","pkb_idle_normal","8","1080008","3","0.2","1","","","113411"
"-175","1","113411","9","1090001","1","1.65","100","64","pkb_idle_normal","1"
"","","pkb_talk_joy2","9","1090002","3","0.2","1","","","113411"
"","","vo_minigame_1006_top_203","9","1090003","21","","0","0","","vo_minigame_1006"
"0","0","我也想試著投投看！\n我要用超能……不對，\n是用魔法，來投出\n很強力的球！","9","1090004","11","0","6","0","0","113411"
"","","","9","1090005","93","","","","","3"
