67179e11f4ae4c3844cc0e78d1475197ec43b4ab5c962f0f1a0f588afc5f3fe4,f52e3261abdebd0493e043f362d6118fdaf3a86c785e58dc7fdf8f99630ea42d,f905bece1f8185ba7349a05b0c0ef2cfa7ebb97e6f4a3645d8c88f45d2c97ba3,606d472965fcf1ca29a2320f00f4d0fb6079c9a2e907e063267e89eaff093266,e72dd3e5306e3d32a615e6898e3c7ba93cee4164237fdcbe0aee0ecee713314b,fd113dd2a93c4de286a508b1947301b2082c079c647ffcd393197dbc60281b0e,4bb8f612fe3b778ed3fdd3ff413f32f548aed684ef95a4c38781fd1da763ca29,c2d56f3f48c49d510a65eae20280b4f79d68b388d3fe3a68e52a16fd3b2b8ea9,9a160b0c98dbc4536b408980805c1904837ae8645cb00f6863b275954c36a2d3,a042aaceb38a9fea7449974a67b0b8bf0d3621f48717eb33036e5c304fbc1d99,133227d84e8c1389e80180d914a0bfcb806aeb1b362be43b58e9402441968715
"omp_talk_worry","-140","1","1010001","1","-190","1500","0","1.8","112511","1"
"omp_idle_normal","140","1","1010002","1","-190","1500","1","1.8","112411","1"
"","0","1","1010003","1","1","0","","1","1","31"
"","","1","1010004","1","","","","","","93"
"","0","vo_omp_7001","1010005","1","","0","","","vo_omp_7001_000","21"
"","1","112511","1010006","1","1","10","","","卯月，還好嗎？\n連日在外露營會不會累？","11"
"","","0","1010007","1","","","","","","91"
"","","112511","1010008","1","","1","","0","omp_idle_worry","3"
"","","112411","1010009","1","","1","","0","omp_talk_joy1","3"
"","0","vo_omp_7001","1010010","1","","0","","","vo_omp_7001_001","21"
"","1","112411","1010011","1","1","10","","","嗯，我沒事！\n而且我也非常開心\n能夠和大家一起旅行。","11"
"","","0","1010012","1","","","","","","91"
"","","112411","1010013","1","","1","","0","omp_psn_20","3"
"","","112511","1010014","1","","1","","0","omp_talk_normal","3"
"","0","vo_omp_7001","1010015","1","","0","","","vo_omp_7001_002","21"
"","1","112511","1010016","1","1","10","","","這樣啊，\n卯月妳好像無論何時都很開心呢。","11"
"","","0","1010017","1","","","","","","91"
"","","112511","1010018","1","","1","","0","omp_idle_normal","3"
"","","112411","1010019","1","","1","","0","omp_talk_sad","3"
"","0","vo_omp_7001","1010020","1","","0","","","vo_omp_7001_003","21"
"","1","112411","1010021","1","1","10","","","難道說……\n小凜妳不開心嗎？","11"
"","","0","1010022","1","","","","","","91"
"","","112411","1010023","1","","1","","0","omp_idle_sad","3"
"","omp_idle_surprise1","112511","1010024","1","1","0","0.1","0","omp_surprise","3"
"","0","vo_omp_7001","1010025","1","","0","","","vo_omp_7001_004","21"
"","1","112511","1010026","1","1","10","","","咦？為什麼這麼說？\n沒那回事喔。\n我也……非常開心。","11"
"","","2.5","1010027","1","","","","","1","93"
"","","112511","1010028","1","","1","","0.2","omp_talk_normal","3"
"","","1010026","1010029","1","","","","","","91"
"","","112511","1010030","1","","1","","0","omp_idle_normal","3"
"","","112411","1010031","1","","1","","0","omp_talk_joy2","3"
"","0","vo_omp_7001","1010032","1","","0","","","vo_omp_7001_005","21"
"","1","112411","1010033","1","1","10","","","欸嘿嘿♪\n那麼妳就放心吧！\n小凜很開心的話，\n我也會很開心的！","11"
"","","0","1010034","1","","","","","","91"
"","","112511","1010035","1","","1","","","0","4"
"","","112411","1010036","1","","1","","0","omp_psn_20","3"
