996c84239c08d046bd0648ade37dcd8ba7858a82420155255d02e2e2f8fa2090,470239ba4f42a704afe477b7c260c431b2739b691879502f211c35badd7276f8,05f9b08b9851d88e77c730a723cb6dab0935e037a5bdec951fba481288090680,2723de70d08da4905b9ea69f85314725f8fa239fc1388fb4a9da6250e97831a7,807bef75ae6e33ad0f86a62ab6820d740e0a31b1e84a89fbd0c771b8784da5be,36eb6491ee65d2adc8982758b4be7307778cec3b8b662ab21b20dc0d1c951fd8,ba02f7eb63e7b4c91de9e2dd500144092053277702b21bdee520f1ec7e794a98,3ec88d826c4910029975fd4b965cb02e996cdaa50840eab334e9152552eb8d04,3a94ff24733dbbf74593d602105104580a12799c82481cbcd0767bd4fcf0e67b,f70883e8c32edd3a7525464ca51ccddb28f06012b313797e06d1f528a9337e1c,7e8020626fe5150012d3f6363797384918e41bd3a6b3600d861f72b19745c50e,de1fab2c191d3f5ea420ac76aac5757cd482a9aee52d34189d956b818bff9ef0,fbfaa589e83994c277558dcd52243197fe32763631ed597de80d33e5d55f14c7,bf77aa85c67ef277a51fba48ff4ebd7c6a75853c57476cc5b7277e63954dec4e,e2f61c884e329468cc7aec418554efb59b40abe326794055ec459879987f9f3a
"雲海山脈","4003002","45","雲霧繚繞的山脈","31001","0","200010","501010001","1","10","400","4003001","195","400","11002012"
"密林大樹","4003004","30","立於森林深處的一棵大樹","31002","0","200020","501010002","1","10","300","4003003","-110","300","11005013"
"斷崖遺跡","4003006","-190","位於斷崖絕壁處的遺跡","31003","0","200030","501010003","1","10","200","4003005","-570","200","11007014"
"蒼海孤塔","4003008","-30","矗立於大海中謎樣的巨塔","31004","0","200040","501010004","1","10","100","4003007","750","100","11011017"
"毒瘴闇稜","4003010","20","受瘴氣籠罩的暗闇孤峰","31005","0","200050","501010005","1","10","100","4003009","465","100","11014014"
"綠龍骸嶺","4003012","90","佇立於山頂的龍之寢床","31006","0","200060","501010006","1","10","100","4003011","360","100","11026014"
"天上浮游城","4003014","90","天空守衛靜靜沉眠的聖城","31007","0","200070","501010007","1","10","100","4003013","130","100","11035014"
"砂瀑底都","4003018","120","沙之大瀑布墜落盡頭的都市","31008","0","200080","501010008","1","10","100","4003017","-50","100","11047014"
"蔚藍王寨","4003020","70","聳立於蔚藍海底的海王城寨","31009","0","200090","501010009","1","10","100","4003019","-360","100","11057014"
"四彩的靈峰","4003022","0","四季繽紛的靈狐仙境","31010","0","0","501010010","1","10","100","4003021","0","0","11062014"
"特殊地下城","4003016","0","挑戰完成期間限定地下城","32001","31006","0","0","1","10","100","4003015","0","100","0"
"特殊地下城","0","0","挑戰完成期間限定地下城","32002","31006","0","0","1","10","100","0","0","100","0"
"特殊地下城","0","0","挑戰完成期間限定地下城","32003","31006","0","0","1","10","100","0","0","100","0"
"特殊地下城","0","0","挑戰完成期間限定地下城","32004","31006","0","0","1","10","100","0","0","100","0"
"特殊地下城","0","0","挑戰完成期間限定地下城","32005","31006","0","0","1","10","100","0","0","100","0"
"特殊地下城","0","0","挑戰完成期間限定地下城","32006","31006","0","0","1","10","100","0","0","100","0"
"特殊地下城","0","0","挑戰完成期間限定地下城","32007","31006","0","0","1","10","100","0","0","100","0"
"特殊地下城","0","0","挑戰完成期間限定地下城","32008","31006","0","0","1","10","100","0","0","100","0"
"特殊地下城","0","0","挑戰完成期間限定地下城","32009","31006","0","0","1","10","100","0","0","100","0"
"特殊地下城","0","0","挑戰完成期間限定地下城","32010","31006","0","0","1","10","100","0","0","100","0"
"特殊地下城","0","0","挑戰完成期間限定地下城","32011","31006","0","0","1","10","100","0","0","100","0"
"特殊地下城","0","0","挑戰完成期間限定地下城","32012","31006","0","0","1","10","100","0","0","100","0"
