c09313bd7f323585722e667a34e53f02ead6cc6522489b41ff96bbf6c59065df,4f6d2a446afd9eb4be6a6fca59e4bd03eaaf5d864f2eda4942731cbd2ba492de,3fac22400c143359ef77e144220a34c6514daab1301da8533b7724f5c3eee1a5,2a55b43fe2070478e2b1e8ca525da952e0d2115978722bd692f8455821bf6948,d66dfc49b2bc232a81f652b2d32b8ec11997018d97a32c25ff867dadc813b057,8a2bcd14ae1d57882199258d7482229303324a96d99cb7f3396381b4a4966104,12a0231e3a67946ed083efce95aa24006c102854e2c9ee41547dc19a91024c0e,17e5620beb9eddefd0c499721d67ff9094425bb23336b288f0a7be8f363cbbca,2bd065d7b8353292f7a8f78fcb3b363b92cc3355c1d41eb24d7b9373ffebb595,259990e0b4b8a29d2b676853e5fa35f5612fcd24f088f7d3bbc825031fe41425,1ff2d42c7986fdd1442daae5107412609fcf85d87ebbf8ba536d5ac02cb69a13
"cgg_idle_normal","101","5","101001","-420","-230","100","1","0","160","1"
"cgg_idle_def","101","1","101002","375","-230","100","105811","1","1.6","1"
"cgg_idle_def","101","1","101003","490","-230","101","106011","1","1.6","1"
"","101","6","101004","1","1","1","1","0","0.1","1"
"","101","6","101005","1","1","1","1","0","0.1","105811"
"","101","6","101006","1","1","1","1","0","0.1","106011"
"","101","93","101007","","","","0","","","0.2"
"","101","21","101008","0","","0","vo_minigame_1007_top_talk_1_001","","","vo_minigame_1007"
"0","101","11","101009","0","0","4","妳看，小凱留♪\n有好多慈樂之音的\n周邊喔☆","0","0","105811"
"","101","3","101010","","","1","cgg_idle_surprise1","","0.2","1"
"","101","3","101011","cgg_talk_surprise_kira","1","0","cgg_surprise_kira","0","0.2","105811"
"","101","93","101012","","","","0","","","2.1"
"","101","3","101013","","","1","cgg_idle_surprise3","","0.2","1"
"","101","3","101014","","","1","cgg_talk_joy1","","0.2","105811"
"","101","91","101015","","","","","","","101009"
"","101","3","101016","","","1","cgg_idle_def","","0.2","105811"
"","101","21","101017","0","","0","vo_minigame_1007_top_talk_1_002","","","vo_minigame_1007"
"0","101","11","101018","0","0","5","有這麼多啊……\n這種東西會讓人\n不由自主地\n想全部收齊呢。","0","0","106011"
"","101","3","101019","","","1","cgg_idle_reaction1","","0.2","1"
"","101","3","101020","","","1","cgg_talk_surprise1","","0.2","106011"
"","101","93","101021","","","","0","","","2.1"
"","101","3","101022","","","1","cgg_idle_nod","","0.2","1"
"","101","3","101023","","","1","cgg_talk_bitter","","0.2","106011"
"","101","91","101024","","","","","","","101018"
"","101","93","101025","","","","0","","","0.5"
"","101","3","101026","","","1","cgg_idle_normal","","0.2","1"
"","101","3","101027","","","1","cgg_idle_def","","0.2","106011"
"","101","3","101028","","","1","cgg_idle_joy2","","0.2","105811"
"","101","12","101029","","","1.4","10","","0.2","105811"
"","101","93","101030","","","","0","","","3"
"","101","3","101031","","","1","cgg_idle_def","","0.2","105811"
"","101","3","101032","","","1","cgg_talk_surprise_dere","","0.2","106011"
"","101","12","101033","","","1.4","8","","0.2","106011"
"","101","93","101034","","","","0","","","3"
"","101","3","101035","","","1","cgg_idle_def","","0.2","106011"
"","101","3","101036","cgg_idle_surprise1","1","0","cgg_surprise1","0","0.2","1"
"","101","12","101037","","","1.4","4","","0.2","1"
"","101","93","101038","","","","0","","","3"
"","101","101","101039","","","","0","","","101026"
"","101","22","101040","","","","0.5","","","0"
"","101","6","101041","1","0","1","1","0","0.1","1"
"","101","6","101042","1","0","1","1","0","0.1","105811"
"","101","6","101043","1","0","1","1","0","0.1","106011"
"","101","93","101044","","","","0","","","0.1"
"","101","3","101045","","","1","cgg_idle_normal","","0","1"
"","101","3","101046","","","1","cgg_idle_def","","0","105811"
"","101","3","101047","","","1","cgg_idle_def","","0","106011"
"cgg_idle_normal","102","5","102001","-420","-230","100","1","0","160","1"
"cgg_idle_def","102","1","102002","375","-230","100","105911","1","1.6","1"
"cgg_idle_def","102","1","102003","490","-230","101","106411","1","1.6","1"
"","102","6","102004","1","1","1","1","0","0.1","1"
"","102","6","102005","1","1","1","1","0","0.1","105911"
"","102","6","102006","1","1","1","1","0","0.1","106411"
"","102","93","102007","","","","0","","","0.2"
"","102","21","102008","0","","0","vo_minigame_1007_top_talk_2_003","","","vo_minigame_1007"
"0","102","11","102009","0","0","5","我們抵達\n演唱會會場了，\n這裡非常大，\n非常開闊呢……","0","0","105911"
"","102","3","102010","","","1","cgg_idle_surprise1","","0.2","1"
"","102","3","102011","","","0","cgg_lookup","","0.2","105911"
"","102","93","102012","","","","0","","","2.6"
"","102","3","102013","","","1","cgg_talk_wish_surprise","","0.2","105911"
"","102","91","102014","","","","","","","102009"
"","102","3","102015","","","1","cgg_idle_def","","0.4","105911"
"","102","21","102016","0","","0","vo_minigame_1007_top_talk_2_004","","","vo_minigame_1007"
"0","102","11","102017","0","0","4","慈樂之音的演唱會……\n呵呵，真令人期待呢。\n啊，我可以\n去看一下周邊嗎？","0","0","106411"
"","102","3","102018","","","1","cgg_idle_reaction1","","0.2","1"
"","102","3","102019","","","1","cgg_talk_surprise1","","0.2","106411"
"","102","93","102020","","","","0","","","2.6"
"","102","3","102021","cgg_idle_nod","1","0","cgg_talk_nod","0","0.2","1"
"","102","3","102022","","","1","cgg_talk_joy3_blink","","0.2","106411"
"","102","93","102023","","","","0","","","3.2"
"","102","3","102024","","","1","cgg_idle_reaction5","","0.2","1"
"","102","3","102025","","","1","cgg_talk_normal","","0.2","106411"
"","102","91","102026","","","","","","","102017"
"","102","93","102027","","","","0","","","0.5"
"","102","3","102028","","","1","cgg_idle_def","","0.2","106411"
"","102","3","102029","","","1","cgg_idle_normal","","0.2","1"
"","102","3","102030","","","1","cgg_talk_joy3_blink","","0.2","105911"
"","102","12","102031","","","1.4","10","","0.2","105911"
"","102","93","102032","","","","0","","","3"
"","102","3","102033","","","1","cgg_idle_def","","0.2","105911"
"","102","3","102034","","","1","cgg_talk_joy1","","0.2","106411"
"","102","12","102035","","","1.4","11","","0.2","106411"
"","102","93","102036","","","","0","","","3"
"","102","3","102037","","","1","cgg_idle_def","","0.2","106411"
"","102","3","102038","","","1","cgg_idle_surprise3","","0.2","1"
"","102","12","102039","","","1.4","6","","0.2","1"
"","102","93","102040","","","","0","","","3"
"","102","101","102041","","","","0","","","102029"
"","102","22","102042","","","","0.5","","","0"
"","102","6","102043","1","0","1","1","0","0.1","1"
"","102","6","102044","1","0","1","1","0","0.1","105911"
"","102","6","102045","1","0","1","1","0","0.1","106411"
"","102","93","102046","","","","0","","","0.1"
"","102","3","102047","","","1","cgg_idle_normal","","0","1"
"","102","3","102048","","","1","cgg_idle_def","","0","105911"
"","102","3","102049","","","1","cgg_idle_def","","0","106411"
"cgg_idle_normal","103","5","103001","-420","-230","100","1","0","160","1"
"cgg_idle_def","103","1","103002","375","-230","100","100211","1","1.6","1"
"cgg_idle_def","103","1","103003","490","-230","101","100111","1","1.6","1"
"","103","6","103004","1","1","1","1","0","0.1","1"
"","103","6","103005","1","1","1","1","0","0.1","100211"
"","103","6","103006","1","1","1","1","0","0.1","100111"
"","103","93","103007","","","","0","","","0.2"
"","103","21","103008","0","","0","vo_minigame_1007_top_talk_3_005","","","vo_minigame_1007"
"0","103","11","103009","0","0","5","下次會抽到什麼呢？\n讓人很期待呢，\n日和。","0","0","100211"
"","103","3","103010","","","1","cgg_idle_surprise1","","0.2","1"
"","103","3","103011","","","1","cgg_talk_wish","","0.2","100211"
"","103","93","103012","","","","0","","","2.4"
"","103","3","103013","","","1","cgg_talk_joy3","","0.2","100211"
"","103","91","103014","","","","","","","103009"
"","103","3","103015","","","1","cgg_idle_def","","0.2","100211"
"","103","21","103016","0","","0","vo_minigame_1007_top_talk_3_006","","","vo_minigame_1007"
"0","103","11","103017","0","0","4","就是說啊，優衣！\n好～\n來盡情地抽吧～！\n轉轉轉～♪","0","0","100111"
"","103","3","103018","","","1","cgg_idle_reaction5","","0.2","1"
"","103","3","103019","","","1","cgg_talk_joy1","","0.2","100111"
"","103","93","103020","","","","0","","","2.5"
"","103","3","103021","cgg_idle_guts","1","0","cgg_talk_guts_NoBlink","0","0.2","100111"
"","103","93","103022","","","","0","","","4"
"","103","3","103023","cgg_idle_reaction3","1","0","cgg_joy","0.2","0.2","1"
"","103","3","103024","","","1","cgg_talk_joy2","","0.2","100111"
"","103","91","103025","","","","","","","103017"
"","103","93","103026","","","","0","","","0.7"
"","103","3","103027","","","1","cgg_idle_normal","","0.2","1"
"","103","3","103028","","","1","cgg_idle_def","","0.2","100111"
"","103","3","103029","","","1","cgg_idle_bitter3","","0.2","100211"
"","103","12","103030","","","1.4","1","","0.2","100211"
"","103","93","103031","","","","0","","","3"
"","103","3","103032","","","1","cgg_idle_def","","0.2","100211"
"","103","3","103033","cgg_idle_reaction1","1","0","cgg_talk_handsup","0.2","0.2","1"
"","103","12","103034","","","1.4","10","","0.2","1"
"","103","93","103035","","","","0","","","3"
"","103","3","103036","","","1","cgg_idle_normal","","0.2","1"
"","103","3","103037","","","1","cgg_idle_joy3","","0.2","100111"
"","103","12","103038","","","1.4","6","","0.2","100111"
"","103","93","103039","","","","0","","","3"
"","103","101","103040","","","","0","","","103028"
"","103","22","103041","","","","0.5","","","0"
"","103","6","103042","1","0","1","1","0","0.1","1"
"","103","6","103043","1","0","1","1","0","0.1","100211"
"","103","6","103044","1","0","1","1","0","0.1","100111"
"","103","93","103045","","","","0","","","0.1"
"","103","3","103046","","","1","cgg_idle_normal","","0","1"
"","103","3","103047","","","1","cgg_idle_def","","0","100211"
"","103","3","103048","","","1","cgg_idle_def","","0","100111"
"cgg_idle_normal","104","5","104001","-420","-230","100","1","0","160","1"
"cgg_idle_def","104","1","104002","375","-230","100","100111","1","1.6","1"
"cgg_idle_def","104","1","104003","490","-230","101","100311","1","1.6","1"
"","104","6","104004","1","1","1","1","0","0.1","1"
"","104","6","104005","1","1","1","1","0","0.1","100111"
"","104","6","104006","1","1","1","1","0","0.1","100311"
"","104","93","104007","","","","0","","","0.2"
"","104","21","104008","0","","0","vo_minigame_1007_top_talk_4_007","","","vo_minigame_1007"
"0","104","11","104009","0","0","4","那個那個～怜，\n我可以再抽一次嗎？","0","0","100111"
"","104","3","104010","","","1","cgg_idle_reaction2","","0.2","1"
"","104","3","104011","","","1","cgg_talk_joy3_dere","","0.2","100111"
"","104","93","104012","","","","0","","","2.7"
"","104","3","104013","cgg_idle_guts2","1","0","cgg_talk_guts2","0","0.2","1"
"","104","3","104014","","","1","cgg_talk_normal_dere2","","0.2","100111"
"","104","91","104015","","","","","","","104009"
"","104","21","104016","0","","0","vo_minigame_1007_top_talk_4_008","","","vo_minigame_1007"
"0","104","11","104017","0","0","5","不可以喔，日和。\n因為接下來輪到我了。\n……呵呵，這意外地\n令人著迷呢。","0","0","100311"
"","104","3","104018","","","1","cgg_idle_reaction2","","0.2","1"
"","104","3","104019","cgg_idle_def","1","0","cgg_No","0","0.2","100311"
"","104","93","104020","","","","0","","","0.8"
"","104","3","104021","","","1","cgg_idle_surprise2","","0.2","100111"
"","104","93","104022","","","","0","","","0.9"
"","104","3","104023","cgg_idle_surprise2","1","0","cgg_surprise2","0","0.2","1"
"","104","3","104024","cgg_idle_arm_crossed2","1","0","cgg_talk_arm_crossed2","0","0.2","100311"
"","104","93","104025","","","","0","","","2.5"
"","104","3","104026","","","1","cgg_idle_bitter","","0.2","100311"
"","104","93","104027","","","","0","","","2"
