58caff96531fd00035fd46206fa0e7d19597d81d2192452477c3cd339255b652,2b2ebeacf3bca4c00bb33b39ac7617b0dff6a14a990e548ce3c3dfad5267835c,be8717f91218649c62907599ba7ad907e6be768ecf30c48801ef68fc1b3b3c8c,98935049734707e96d2a5e276e898fd8ac2821bc629a103a44c88a53a6d5d81a,ea4bf613b6b51e52b4f69977e486befb8a7f246d7d37e784f8bbdaa1dd959665,55a2afc8322cddfc5a316df51aeaf53462b70404205256ac7c3d5a202db1231e,0d7c3520f886b61cfa09a7565a04f1ba29d2ef2ce3efb97cb880c6692b58bbdd,29d982be059b96625a3a3afcad5a7050c2efd35d76ac71ffd444b92e8fd86057,8d9614ca1d2bf8efa7398d08c1ec55ea3f853c6f0c28a6ccbd0910a895b8d463,206b8268f4fe6517d12ff3639a09864d763e36124a6ad679ff16c72ff31e20e6,29af8da8d252bd9a9433171a1107c027a601e976a77547d2e5a67c2dc78e9452,c46c96e4b06aaf164b691fd2d2d6fdf7285d6e1e4dbeb463843f8f9d98da0419,f07f71574cb1fc115fef42a349f2ff6e83b8f51ea0bea67569c2efe61d6ef241,66b40e746686e4ca407f9e1663845d1494f6944c560e83aa59bbfb2cd0b0d625
"105","0","1","0","1.5","160","101","110","在海邊與夥伴享受夏日的夏海魔法師。以想改變自己的堅定決心，將障礙物無效化並持續奔跑。","122601","1","0.029","1","1"
"111","1","0","0","2.5","120","102","105","比太陽還耀眼的夏海活力女孩。能以與生俱來的身體能力，靈活地應對、跑過各種路線。","122401","2","0.014","3","2"
"105","0","0","1","2.5","350","103","110","在海灘上閃耀的夏海劍士。有著日復一日鍛鍊出來的雙腿，即使長距離也能速度不減地跑到最後。","122501","3","0.017","2","3"
"105","1","0","0","1.5","130","104","110","最喜歡美味海產的海岸公主。能解放「皇家裝備」的力量，不把障礙物放在眼裡地往前邁進。","107501","4","0.016","3","4"
"105","0","1","0","2.5","160","105","110","在海邊也要照顧主人的白色沙灘巫女。以精靈之力使自身加速，用比任何人都快的速度朝終點前進。","107601","5","0.014","1","5"
"103","0","0","1","3.5","255","106","120","對穿泳裝感到害羞的傲嬌貓女。以擅長的魔法妨礙對戰對手跑步，使自己處在有利的情況。","107801","6","0.029","2","6"
"103","0","1","0","3.5","160","107","120","優雅地在沙灘上奔馳，盛夏的真步公主。優雅優雅地以高雅的身姿跳過障礙物。","110601","7","0.013","1","7"
"103","0","0","1","2.5","350","108","110","守護沙灘和平的盛夏狼女。以獸人強健的體力在競賽後半進行衝刺。","110401","8","0.014","2","8"
"100","1","0","0","1.5","130","109","105","在海灘上賣力舞動的盛夏南國少女。即使在競賽的喧囂中精神也不會受擾亂，能展現驚人的中後段加速。","110501","9","0.012","3","9"
"103","0","1","0","2.5","200","110","105","察覺海灘事件徵兆的盛夏名偵探。以高度的推理力與魔法，確實地擾亂對戰對手奔跑。","115701","10","0.014","1","10"
"103","0","0","1","2.5","350","111","105","再次脫下鎧甲的灼熱騎士團長。以實戰中培養出的判斷力，能在一瞬間展開護盾使障礙物無效。","113601","11","0.071","2","11"
"103","1","0","0","1.5","130","112","120","在海邊隨心所欲的怕水貓女。在海灘上現身的美少女義賊，將奪取對戰對手的速度。","107901","12","0.014","3","12"
"105","0","1","0","1.5","200","113","110","即使度假還是效率第一的海之傭兵。就算是競賽也尋求最高效率，無論什麼狀況都能毫無破綻地奔跑。","108001","13","0.022","2","13"
"108","0","1","0","2.5","160","114","110","非常適合盛夏太陽，海邊的咲戀媽媽。多才又靈巧，無論什麼障礙物都能優雅地越過。","110301","14","0.031","1","14"
"105","1","0","0","0.5","130","115","110","於海邊喚來暴風雨的夏日女僕。平時已習慣多災多難，因此即使遇到一點困境也不會動搖。","107701","15","0.036","1","15"
"95","0","0","1","3.5","350","116","110","享受風雅夏日的若夏大姐頭。運用瀟灑的身姿，將始、繼、終的刀法與UB融合，一口氣加速。","113101","16","0.048","2","16"
"105","1","0","0","1.5","130","117","105","接觸到夏日悸動的宅宅魔法少女。操縱多彩的魔法，持續使其他跑者的速度逐漸變慢。","113301","17","0.043","3","17"
"95","1","0","0","1.5","130","118","105","降臨於海獄的盛夏冥姬。在競賽後半解放所有魔力，化為蒼藍疾風奔馳於沙灘。","113201","18","0.018","2","18"
"108","0","1","0","2.5","160","119","110","以煙火為夏日傍晚增添色彩，海岸邊的破壞者。以「破壞者」稱號與過剩的情感，朝對戰對手施加壓力。","117001","19","0.021","2","19"
"105","0","0","1","2.5","255","120","110","引導青春少年少女的夏日老師。在朝夢想邁進的聖母加護下，守護其身所遇到的所有困難。","113501","20","0.036","1","20"
"105","0","0","1","2.5","350","121","105","擁有耀眼的聲援笑容，夏日的超能力女孩。運用超能力，無論什麼障礙物都一飛就能越過。","113401","21","0.02","3","21"
"105","1","0","0","2.5","130","122","110","在海邊釋放大人的魅力，夏日的性感老師。受其魅力俘虜的對戰對手，奔跑步調將被打亂。","110101","22","0.018","1","22"
"111","0","1","0","3.5","160","123","105","泳裝也命中紅心，夏日的超級名模。跑步的情緒超嗨，速度讚到不行。","110001","23","0.03","3","23"
"103","1","0","0","1.5","130","124","110","讓南島也嗨起來的盛夏偶像。即使天氣惡劣依然能保持著笑容，在後半加快節奏跑完全程。","117201","24","0.027","1","24"
"108","0","1","0","3.5","160","125","105","美聲響徹海洋的海岸邊歌姬。在守護頌歌與精靈加護下，保護自己不受障礙物傷害。","117301","25","0.02","2","25"
"105","0","0","1","2.5","350","126","110","在夏天依然彆扭，風平浪靜夕陽下的裁縫師。以遍布的魔法之線，奪走其他跑者的自由。","117401","26","0.04","3","26"
"105","0","0","1","3.5","350","127","110","非常適合向日葵的海邊姐姐。是祕密結社的一員，卓越的身體能力是其最強的武器。","117101","27","0.009","1","27"
"105","0","0","1","3.5","255","128","120","在海岸邊的乖巧小兔兔女孩。小兔子之力全開，在路線中活蹦亂跳。","122901","28","0.022","1","28"
"105","1","0","0","2.5","130","129","110","天真爛漫的夏色淘氣女孩。就算在沙灘也做好了要惡作劇的萬全準備！將在競賽中引起大騷動！？","122801","29","0.028","3","29"
"108","0","1","0","3.5","130","130","105","即使在海邊也很認真的夏色優等生。解放提高的魔力，在一瞬間甩開其他跑者。","122701","30","0.023","2","30"
