d1b207adfb0c878248e26e4b797560a0990a7867fb1bcc0d35e8b2d568ecae5c,c3bfab92e9244a125a1c934d3e5e29a68412ef3b030707c35a92d139b5935c3e,0a103a37eb2555a58e22db1c9579b3f80554eaeb2799a16bc9bf7f2359e3d01e,650967b3961ec9d87263484bff141d2595e88a99492f83ce88b2f524ee08056f,2fc2ec55686e432a000d4b1aef5aaafe3a1a01fcb271302fb777871dcb804d74
"1","11001001","18","750000","4101101"
"2","11001001","18","120000","4101201"
"3","11001001","18","120000","4101202"
"4","11001001","18","120000","4101203"
"5","11001001","18","120000","4101251"
"6","11001001","18","66374","4101301"
"7","11001001","18","66374","4101302"
"8","11001001","18","66374","4101303"
"9","11001001","18","66374","4101351"
"10","11001001","18","4500","4101401"
"11","11001001","18","750000","4104101"
"12","11001001","18","120000","4104201"
"13","11001001","18","120000","4104202"
"14","11001001","18","120000","4104203"
"15","11001001","18","120000","4104251"
"16","11001001","18","66374","4104301"
"17","11001001","18","66374","4104302"
"18","11001001","18","66374","4104303"
"19","11001001","18","66374","4104351"
"20","11001001","18","4500","4104401"
"21","11001001","18","333334","4201101"
"22","11001001","18","80000","4201201"
"23","11001001","18","80000","4201202"
"24","11001001","18","80000","4201203"
"25","11001001","18","44250","4201301"
"26","11001001","18","44250","4201302"
"27","11001001","18","44250","4201303"
"28","11001001","18","2000","4201401"
"29","11001001","18","333334","4202101"
"30","11001001","18","80000","4202201"
"31","11001001","18","80000","4202202"
"32","11001001","18","80000","4202203"
"33","11001001","18","44250","4202301"
"34","11001001","18","44250","4202302"
"35","11001001","18","44250","4202303"
"36","11001001","18","2000","4202401"
"37","11001001","18","333332","4301101"
"38","11001001","18","80000","4301201"
"39","11001001","18","80000","4301202"
"40","11001001","18","44250","4301301"
"41","11001001","18","44250","4301302"
"42","11001001","18","2000","4301401"
"43","11001001","2","0","99006"
"44","11001001","12","0","94002"
"45","11001001","2","0","90008"
"46","11001001","2","0","26201"
"47","11001001","2","0","23002"
"48","11001002","18","750000","4106101"
"49","11001002","18","120000","4106201"
"50","11001002","18","120000","4106202"
"51","11001002","18","120000","4106203"
"52","11001002","18","120000","4106251"
"53","11001002","18","66374","4106301"
"54","11001002","18","66374","4106302"
"55","11001002","18","66374","4106303"
"56","11001002","18","66374","4106351"
"57","11001002","18","4500","4106401"
"58","11001002","18","750000","4110101"
"59","11001002","18","120000","4110201"
"60","11001002","18","120000","4110202"
"61","11001002","18","120000","4110203"
"62","11001002","18","120000","4110251"
"63","11001002","18","66374","4110301"
"64","11001002","18","66374","4110302"
"65","11001002","18","66374","4110303"
"66","11001002","18","66374","4110351"
"67","11001002","18","4500","4110401"
"68","11001002","18","333334","4203101"
"69","11001002","18","80000","4203201"
"70","11001002","18","80000","4203202"
"71","11001002","18","80000","4203203"
"72","11001002","18","44250","4203301"
"73","11001002","18","44250","4203302"
"74","11001002","18","44250","4203303"
"75","11001002","18","2000","4203401"
"76","11001002","18","333334","4204101"
"77","11001002","18","80000","4204201"
"78","11001002","18","80000","4204202"
"79","11001002","18","80000","4204203"
"80","11001002","18","44250","4204301"
"81","11001002","18","44250","4204302"
"82","11001002","18","44250","4204303"
"83","11001002","18","2000","4204401"
"84","11001002","18","333332","4305101"
"85","11001002","18","80000","4305201"
"86","11001002","18","80000","4305202"
"87","11001002","18","44250","4305301"
"88","11001002","18","44250","4305302"
"89","11001002","18","2000","4305401"
"90","11001002","2","0","99006"
"91","11001002","12","0","94002"
"92","11001002","2","0","90008"
"93","11001002","2","0","26201"
"94","11001002","2","0","23002"
"95","11001003","18","750000","4102101"
"96","11001003","18","120000","4102201"
"97","11001003","18","120000","4102202"
"98","11001003","18","120000","4102203"
"99","11001003","18","120000","4102251"
"100","11001003","18","66374","4102301"
"101","11001003","18","66374","4102302"
"102","11001003","18","66374","4102303"
"103","11001003","18","66374","4102351"
"104","11001003","18","4500","4102401"
"105","11001003","18","750000","4105101"
"106","11001003","18","120000","4105201"
"107","11001003","18","120000","4105202"
"108","11001003","18","120000","4105203"
"109","11001003","18","120000","4105251"
"110","11001003","18","66374","4105301"
"111","11001003","18","66374","4105302"
"112","11001003","18","66374","4105303"
"113","11001003","18","66374","4105351"
"114","11001003","18","4500","4105401"
"115","11001003","18","333334","4201101"
"116","11001003","18","80000","4201201"
"117","11001003","18","80000","4201202"
"118","11001003","18","80000","4201203"
"119","11001003","18","44250","4201301"
"120","11001003","18","44250","4201302"
"121","11001003","18","44250","4201303"
"122","11001003","18","2000","4201401"
"123","11001003","18","333334","4202101"
"124","11001003","18","80000","4202201"
"125","11001003","18","80000","4202202"
"126","11001003","18","80000","4202203"
"127","11001003","18","44250","4202301"
"128","11001003","18","44250","4202302"
"129","11001003","18","44250","4202303"
"130","11001003","18","2000","4202401"
"131","11001003","18","333332","4302101"
"132","11001003","18","80000","4302201"
"133","11001003","18","80000","4302202"
"134","11001003","18","44250","4302301"
"135","11001003","18","44250","4302302"
"136","11001003","18","2000","4302401"
"137","11001003","2","0","99006"
"138","11001003","12","0","94002"
"139","11001003","2","0","90008"
"140","11001003","2","0","26201"
"141","11001003","2","0","23002"
"142","11001004","18","750000","4108101"
"143","11001004","18","120000","4108201"
"144","11001004","18","120000","4108202"
"145","11001004","18","120000","4108203"
"146","11001004","18","120000","4108251"
"147","11001004","18","66374","4108301"
"148","11001004","18","66374","4108302"
"149","11001004","18","66374","4108303"
"150","11001004","18","66374","4108351"
"151","11001004","18","4500","4108401"
"152","11001004","18","750000","4109101"
"153","11001004","18","120000","4109201"
"154","11001004","18","120000","4109202"
"155","11001004","18","120000","4109203"
"156","11001004","18","120000","4109251"
"157","11001004","18","66374","4109301"
"158","11001004","18","66374","4109302"
"159","11001004","18","66374","4109303"
"160","11001004","18","66374","4109351"
"161","11001004","18","4500","4109401"
"162","11001004","18","333334","4203101"
"163","11001004","18","80000","4203201"
"164","11001004","18","80000","4203202"
"165","11001004","18","80000","4203203"
"166","11001004","18","44250","4203301"
"167","11001004","18","44250","4203302"
"168","11001004","18","44250","4203303"
"169","11001004","18","2000","4203401"
"170","11001004","18","333334","4204101"
"171","11001004","18","80000","4204201"
"172","11001004","18","80000","4204202"
"173","11001004","18","80000","4204203"
"174","11001004","18","44250","4204301"
"175","11001004","18","44250","4204302"
"176","11001004","18","44250","4204303"
"177","11001004","18","2000","4204401"
"178","11001004","18","333332","4304101"
"179","11001004","18","80000","4304201"
"180","11001004","18","80000","4304202"
"181","11001004","18","44250","4304301"
"182","11001004","18","44250","4304302"
"183","11001004","18","2000","4304401"
"184","11001004","2","0","99006"
"185","11001004","12","0","94002"
"186","11001004","2","0","90008"
"187","11001004","2","0","26201"
"188","11001004","2","0","23002"
"189","11001005","18","750000","4103101"
"190","11001005","18","120000","4103201"
"191","11001005","18","120000","4103202"
"192","11001005","18","120000","4103203"
"193","11001005","18","120000","4103251"
"194","11001005","18","66374","4103301"
"195","11001005","18","66374","4103302"
"196","11001005","18","66374","4103303"
"197","11001005","18","66374","4103351"
"198","11001005","18","4500","4103401"
"199","11001005","18","750000","4107101"
"200","11001005","18","120000","4107201"
"201","11001005","18","120000","4107202"
"202","11001005","18","120000","4107203"
"203","11001005","18","120000","4107251"
"204","11001005","18","66374","4107301"
"205","11001005","18","66374","4107302"
"206","11001005","18","66374","4107303"
"207","11001005","18","66374","4107351"
"208","11001005","18","4500","4107401"
"209","11001005","18","333334","4201101"
"210","11001005","18","80000","4201201"
"211","11001005","18","80000","4201202"
"212","11001005","18","80000","4201203"
"213","11001005","18","44250","4201301"
"214","11001005","18","44250","4201302"
"215","11001005","18","44250","4201303"
"216","11001005","18","2000","4201401"
"217","11001005","18","333334","4202101"
"218","11001005","18","80000","4202201"
"219","11001005","18","80000","4202202"
"220","11001005","18","80000","4202203"
"221","11001005","18","44250","4202301"
"222","11001005","18","44250","4202302"
"223","11001005","18","44250","4202303"
"224","11001005","18","2000","4202401"
"225","11001005","18","333332","4303101"
"226","11001005","18","80000","4303201"
"227","11001005","18","80000","4303202"
"228","11001005","18","44250","4303301"
"229","11001005","18","44250","4303302"
"230","11001005","18","2000","4303401"
"231","11001005","2","0","99006"
"232","11001005","12","0","94002"
"233","11001005","2","0","90008"
"234","11001005","2","0","26201"
"235","11001005","2","0","23002"
"236","11002001","18","500000","4101101"
"237","11002001","18","80000","4101201"
"238","11002001","18","80000","4101202"
