cc250e0da35066cc7b08ecc1959d27062a13a9ca7b0d422255321868f691f8d8,025fb1355e057ad1dc2ded5be4ef3c66f02ee88e4d4af730fca96df85c9d84b3,18891c137aa15f91049e49d1787e8fdbe5653be333d0f5c3559d929aadab7c44,1ff9c62a8eef73a4b655a5bf0b21063951a5f2dd378d166b7a12d3f6d544335f,062340aabdf2e5313bc8f9d69a12cdd633fab283f8144421c902529e3ee797e2,5173fde829572e8879f0229f7202220090fca5b4ef823ebe326b0945123eacef,960f944659c44a1bb5b61df65153fb10d3758d64105a4c80873361978cf8bccb,08f0c08c9599dfd8c0385af70cfaad920b3416f31de6bc75f690ac8b6eca3c2c,56819b35e459b146d59f39843efe1f1751517dc465401accfa0f72afc8e452b3,9d89ae605ffbd53375460c7999e6a4c43f30a1dd4f6fd55a2285c93cc1a2db61,049cecec41a573192f111bb2d9739221450913773911df1d4b20dc3340aa6d04,b933d0a55ecfcf1404159d7608084373e5a69e0ffa0b101cfe6399ded6fd9bcc
"0","1","1120001","0","1","12","0","0","0","4","0","3"
"0","0","1120002","vo_nyx","2","12","vo_nyx_0101","0","0","2","0","0"
"1","0","1120003","0","3","12","0","0","278","1","2.698","0"
"0","3.334","1120004","0","4","12","0","0","0","4","0","1"
"0","0","1120005","vo_nyx","5","12","vo_nyx_0102","0","0","2","0","0"
"1","0","1120006","0","6","12","0","278","382","1","1.055","0"
"0","1.055","1120007","0","7","12","0","0","0","4","0","1"
"2","0","1120008","0","8","12","0","0","78","1","0.732","0"
"0","1.05","1120009","0","9","12","0","0","0","4","0","1"
"2","0","1120010","0","10","12","0","78","365","1","2.42","0"
"0","3.5","1120011","0","11","12","0","0","0","4","0","1"
"0","2","1120012","0","12","12","0","0","0","4","0","3"
"0","0","1120013","vo_nyx","13","12","vo_nyx_0103","0","0","2","0","0"
"3","0","1120014","0","14","12","0","0","79","1","0.815","0"
"0","1.157","1120015","0","15","12","0","0","0","4","0","1"
"3","0","1120016","0","16","12","0","79","372","1","2.763","0"
"0","2.763","1120017","0","17","12","0","0","0","4","0","1"
"4","0","1120018","0","18","12","0","0","250","1","2.388","0"
"0","3.338","1120019","0","19","12","0","0","0","4","0","1"
"0","0","1120020","vo_nyx","20","12","vo_nyx_0104","0","0","2","0","0"
"5","0","1120021","0","21","12","0","0","108","1","0.778","0"
"0","1.214","1120022","0","22","12","0","0","0","4","0","1"
"5","0","1120023","0","23","12","0","108","375","1","3.167","0"
"0","3.61","1120024","0","24","12","0","0","0","4","0","1"
"6","0","1120025","0","25","12","0","0","279","1","2.618","0"
"0","3.198","1120026","0","26","12","0","0","0","4","0","1"
"0","0","1120027","vo_nyx","27","12","vo_nyx_0105","0","0","2","0","0"
"6","0","1120028","0","28","12","0","279","392","1","1.4","0"
"0","1.448","1120029","0","29","12","0","0","0","4","0","1"
"7","0","1120030","0","30","12","0","0","309","1","2.927","0"
"0","3.811","1120031","0","31","12","0","0","0","4","0","1"
"0","3","1120032","0","32","12","0","0","0","4","0","3"
"0","0","1120033","vo_nyx","33","12","vo_nyx_0106","0","0","2","0","0"
"7","0","1120034","0","34","12","0","309","360","1","0.506","0"
"0","1.175","1120035","0","35","12","0","0","0","4","0","1"
"0","3","1120036","0","36","12","0","0","0","4","0","3"
"0","0","1120037","vo_nyx","37","12","vo_nyx_0107","0","0","2","0","0"
"8","0","1120038","0","38","12","0","0","233","1","1.439","0"
"0","1.439","1120039","0","39","12","0","0","0","4","0","1"
"8","0","1120040","0","40","12","0","233","345","1","1.462","0"
"0","2.178","1120041","0","41","12","0","0","0","4","0","1"
"0","0","1120042","vo_nyx","42","12","vo_nyx_0108","0","0","2","0","0"
"9","0","1120043","0","43","12","0","0","400","1","3.765","0"
"0","4.495","1120044","0","44","12","0","0","0","4","0","1"
"0","0","1120045","vo_nyx","45","12","vo_nyx_0109","0","0","2","0","0"
"10","0","1120046","0","46","12","0","0","109","1","1.137","0"
"0","1.484","1120047","0","47","12","0","0","0","4","0","1"
"10","0","1120048","0","48","12","0","109","395","1","2.686","0"
"0","2.686","1120049","0","49","12","0","0","0","4","0","1"
"11","0","1120050","0","50","12","0","0","127","1","0.736","0"
"0","1.06","1120051","0","51","12","0","0","0","4","0","1"
