867a4a5b951fea35e834c9aca7b81df25c8694ee30ac11787d507f156c128703,a8112371673adf1d985907adb1ec9920d0b0d7f941c5f58201c159be5612ef90,1f820c98c6eb6829812654b939772f8963ee060afa213aca9beb2ae856d3340d,b5c304434e87bc3b46cb15829dc33838d6f6cbc962c624bb061c44e065555856,8e802065d1731dad61aeb2e252edd54331ea8e6abae107f6cb31fb7fd408f99e
"12","1","3000000","100101","94002"
"2","2","300","100101","20004"
"2","3","1000","100102","90008"
"2","4","6","100103","25001"
"12","5","1000000","100104","94002"
"2","6","300","100104","20004"
"2","7","1000","100105","90008"
"2","8","6","100106","25001"
"8","9","40","100107","91002"
"12","10","1000000","100107","94002"
"2","11","300","100107","20004"
"2","12","1000","100108","90008"
"2","13","1","100109","41000"
"2","14","7","100109","25001"
"12","15","1000000","100110","94002"
"2","16","400","100110","20004"
"2","17","1500","100111","90008"
"8","18","40","100112","91002"
"2","19","7","100112","25001"
"12","20","1000000","100113","94002"
"2","21","400","100113","20004"
"2","22","1500","100114","90008"
"2","23","1","100115","41000"
"2","24","7","100115","25001"
"12","25","1000000","100116","94002"
"2","26","500","100116","20004"
"8","27","40","100117","91002"
"2","28","1500","100117","90008"
"12","29","2000000","100118","94002"
"2","30","8","100118","25001"
"2","31","2000","100118","90008"
"12","32","3000000","100201","94002"
"2","33","300","100201","20004"
"2","34","1000","100202","90008"
"2","35","12","100203","25001"
"12","36","1000000","100204","94002"
"2","37","300","100204","20004"
"2","38","1000","100205","90008"
"2","39","10","100206","25001"
"8","40","40","100207","91002"
"12","41","1000000","100207","94002"
"2","42","300","100207","20004"
"2","43","1000","100208","90008"
"2","44","1","100209","41000"
"2","45","10","100209","25001"
"12","46","1000000","100210","94002"
"2","47","400","100210","20004"
"2","48","1500","100211","90008"
"8","49","40","100212","91002"
"2","50","9","100212","25001"
"12","51","1000000","100213","94002"
"2","52","400","100213","20004"
"2","53","1500","100214","90008"
"2","54","1","100215","41000"
"12","55","1000000","100216","94002"
"2","56","500","100216","20004"
"8","57","40","100217","91002"
"2","58","1500","100217","90008"
"12","59","2000000","100218","94002"
"2","60","2000","100218","90008"
