e9330dcc390f4435e56032e9021890094c42b671625b7e5c8a2ec22d652a2004,77895009f158a37c58bca465923cdd459b35aa421231e6b79b25a984ad1acece,deccdae86e3361542eda9685c0ee65cc204543b34b7714746060c4b303c4f620,64bbb912eef545a078ce3039127d5e1da7c229cf39e845a710a4fe65b76d7f87,cb7d9111b0a52e5b8b71587c343d6680408f1c162d3da9536329e183c5d8d6f0
"10144","信賴度","10144102","6144101","1"
"10151","信賴度","10151110","6124101","1"
"10153","信賴度","10153102","6017101","1"
"20015","信賴度","0","0","1"
"20017","信賴度","0","0","1"
"20018","信賴度","0","0","1"
"20019","信賴度","0","0","1"
"20020","信賴度","0","0","1"
"20022","信賴度","0","0","1"
"20023","信賴度","0","0","1"
"20024","信賴度","0","0","1"
"20025","信賴度","0","0","1"
"20026","信賴度","0","0","1"
"20028","信賴度","0","0","1"
"20029","信賴度","0","0","1"
"20030","信賴度","0","0","1"
"20031","信賴度","0","0","1"
"20032","信賴度","0","0","1"
"20035","信賴度","0","0","1"
"20037","信賴度","0","0","1"
"20038","信賴度","0","0","1"
"20042","信賴度","0","0","1"
"20043","信賴度","0","0","1"
"20048","信賴度","0","0","1"
"20049","信賴度","0","0","1"
"20051","信賴度","0","0","1"
"20054","信賴度","0","0","1"
"20055","信賴度","0","0","1"
"20056","信賴度","0","0","1"
"20061","信賴度","0","0","1"
