9f321a76e4f630f68281e930b4ed1f3abe2c60205889aea6cd3418f4d1688d2d,36f3521ba4628b578ddff65e0014ca79401f83866de7e58b6db35e645c0a6198,5f61c4172ed9fa4ff4cd94fee4c461cbabf1b83ced1f01bb9477b50057921ece,254fbabc7066c5048278104c33e73516920e63183f08ae8578f2c86f5f7a47ef,f01428a1a81a74d1495cabe40fdc57eb1bb2e78a6ed1f0a0cdf5343dd1ba6b63,cd37dcb8f3afb1570047eb8b1ea7db09e030370c09a9884ed0c6a70cd55beb92,77c5888488a2936ce941aee59c950cb60ee8882fa4635f7bbcf53e3978b30e1f,95e16a804b1c0977523c5f5080dc91643a3e0cba34e931faa5103a12bea56e88,545276adc06d60f2125f0e0a62a281267c7a7dd5880fab2534d9a34d91881944,43ab9a6fd76ab97043e6e4b432b3523a67603d8a6e29f73aa2840d036e54ff2f,84cba2a47728275c243a1fe10b1b371dfa687effed9cc702331076aed9e5d939
"1.8","idle_normal","1","-278","105811","100","1","-225","61001","0","5146061"
"1.8","idle_normal","5","-278","1058","101","6","-225","61002","0","5146061"
"1.8","kokkoro_idle_normal","1","-288","105911","103","1","-385","61003","0","5146061"
"1.8","kokkoro_idle_normal","5","-288","1059","104","3","-385","61004","0","5146061"
"1.8","idle_normal","1","-278","106011","106","1","290","61005","1","5146061"
"1.8","idle_normal","5","-278","1060","107","4","290","61006","1","5146061"
"","","13","","200","","105811","","61007","","5146061"
"","","13","","203","","105911","","61008","","5146061"
"","","13","","206","","106011","","61009","","5146061"
"0.85","idle","5","-174","7","15","7","0","61010","0","5146061"
"1","empty","5","8","201","210","20","290","61011","0","5146061"
"1","empty","5","-78","202","211","20","0","61012","0","5146061"
"1","empty","5","16","203","210","20","-315","61013","0","5146061"
"1","empty","5","153","21","60","21","0","61014","0","5146061"
"1","","31","1","1","0","1","0","61015","","5146061"
"0","","31","1","2","0","2","-57.7","61016","","5146061"
"0","","31","1","10","0","10","0","61017","","5146061"
"0","","31","1","11","0","11","0","61018","","5146061"
"","","91","","0","","0","","61019","","5146061"
"","","102","","0","0","0","","61020","","5146061"
"","","93","","0","","1","","61021","","5146061"
"0.2","","3","1","doya_in_shy","0","106011","doya_talk_shy","61022","0","5146061"
"0.2","","3","1","doya_in_shy","0","1060","doya_talk_shy","61023","0","5146061"
"","","21","","vo_apg_0101","0","vo_apg","0","61024","","5146061"
"0","0","11","1","搭乘雲霄飛車時的\n魔法拍攝服務？\n哼，擅自拍下別人毫無防備的照片，\n之後再進行推銷，真是無聊！","8","106011","1","61025","0","5146061"
"","","91","","","","0","","61026","","5146061"
"","","32","","1","","2","","61027","","5146061"
"","","37","","fade105_in","","2","","61028","","5146061"
"","","4","","0","","106011","","61029","","5146061"
"","","4","","0","","1060","","61030","","5146061"
"0.5","","3","","sad_idle_dere_shy","1","106011","","61031","","5146061"
"0.5","","3","","sad_idle_dere_shy","1","1060","","61032","","5146061"
"","","21","","vo_apg_0102","0","vo_apg","0","61033","","5146061"
"0","","3","","0102_in","0","201","","61034","","5146061"
"","","93","","1","","4.6","","61035","","5146061"
"0","","3","","0102_mid","0","201","","61036","","5146061"
"","","92","","","","","","61037","","5146061"
"0","","3","","0102_out","0","201","","61038","","5146061"
"","","93","","0","","0.2","","61039","","5146061"
"0.2","","3","1","kyaru_smile_in","0","106011","kyaru_smile_idle","61040","0","5146061"
"0.2","","3","1","kyaru_smile_in","0","1060","kyaru_smile_idle","61041","0","5146061"
"","","21","","vo_apg_0103","0","vo_apg","0","61042","","5146061"
"0","","3","","0103_in","0","201","","61043","","5146061"
"","","93","","1","","5.4","","61044","","5146061"
"0","","3","","0103_mid","0","201","","61045","","5146061"
"","","92","","","","","","61046","","5146061"
"0","","3","","0103_out","0","201","","61047","","5146061"
"","","93","","0","","0.2","","61048","","5146061"
"","","37","","fade105_out","","2","","61049","","5146061"
"","","4","","1","","105811","","61050","","5146061"
"","","4","","1","","1058","","61051","","5146061"
"0.2","","3","","surprise_talk","1","105811","","61052","","5146061"
"0.2","","3","","surprise_talk","1","1058","","61053","","5146061"
"","","21","","vo_apg_0104","0","vo_apg","0","61054","","5146061"
"0","0","11","1","……小凱留，\n不想被拍進照片嗎……？","7","105811","1","61055","0","5146061"
"","","91","","","","0","","61056","","5146061"
"0.2","","3","","surprise_idle_talk1R","1","105811","","61057","","5146061"
"0.2","","3","","surprise_idle_talk1R","1","1058","","61058","","5146061"
"0.2","","3","","kokkoro_surprise_talk","1","105911","","61059","","5146061"
"0.2","","3","","kokkoro_surprise_talk","1","1059","","61060","","5146061"
"","","21","","vo_apg_0105","0","vo_apg","0","61061","","5146061"
"0","0","11","1","是的，\n看來是這樣沒錯。","7","105911","1","61062","0","5146061"
"","","91","","","","0","","61063","","5146061"
"0.2","","3","","kokkoro_idle_normal","1","105911","","61064","","5146061"
"0.2","","3","","kokkoro_idle_normal","1","1059","","61065","","5146061"
"0.2","","3","","idle_normal_talk1R","1","105811","","61066","","5146061"
"0.2","","3","","idle_normal_talk1R","1","1058","","61067","","5146061"
"","","4","","0","","105811","","61068","","5146061"
"","","4","","0","","1058","","61069","","5146061"
"","","4","","1","","106011","","61070","","5146061"
"","","4","","1","","1060","","61071","","5146061"
"0.2","","3","1","cool_in_sing_shy","0","106011","cool_talk_sing_shy","61072","0","5146061"
"0.2","","3","1","cool_in_sing_shy","0","1060","cool_talk_sing_shy","61073","0","5146061"
"","","21","","vo_apg_0106","0","vo_apg","0","61074","","5146061"
"0","0","11","1","喂，我們快點去搭啦～\n唉～討厭討厭……呵呵呵。","10","106011","1","61075","0","5146061"
"","","91","","","","0","","61076","","5146061"
"","","22","","0","","0","","61077","","5146061"
"0.2","","3","","walk_kyapi_shy","1","106011","","61078","","5146061"
"0.2","","3","","walk_kyapi_shy","1","1060","","61079","","5146061"
"0.2","","3","","walk_furimuki","1","105811","","61080","","5146061"
"0.2","","3","","walk_furimuki","1","1058","","61081","","5146061"
"0.2","","3","","kokkoro_walk_surprise","1","105911","","61082","","5146061"
"0.2","","3","","kokkoro_walk_surprise","1","1059","","61083","","5146061"
"","","2","0","149","-278","106011","2","61084","","5146061"
"","","2","0","149","-278","1060","2","61085","","5146061"
"","","2","0","-54","-278","105811","2","61086","","5146061"
"","","2","0","-54","-278","1058","2","61087","","5146061"
"","","2","0","-214","-288","105911","2","61088","","5146061"
"","","2","0","-214","-288","1059","2","61089","","5146061"
"","","93","","0","","1","","61090","","5146061"
