ff2a77eb4bbcc5d9a8472dd0f68019b010a92e2dd102cc77d673fa63917850e0,f70fa2556b68b37cb58632532c37a2f75fbd5a21394cf8b7e953b3e412261f7f,0e1aec08b9d4b75ea72cd8b6f2c18089a9e79caa4cda0cc950de6afadf62e753,41a0b0fd338462bca8c4939f12c44a2a5e20bbc7a65f871e5b60dbffbe77baed,5dca69e7d0bdc7a4b3f2ff196ac587b59abdfabe780466149f211012fac6092c,ce9c70dbc02dfa048890c8aa31f430b41a67413d404ee2ccf9f7e19baf6022b9
"0","20001","2000102","20001115","20001201","2000101"
"2000101","20001","2000103","0","0","2000102"
"2000102","20001","0","0","0","2000103"
"0","20002","2000202","20002115","20002201","2000201"
"2000201","20002","2000203","0","0","2000202"
"2000202","20002","0","0","0","2000203"
"0","20003","2000302","20003115","20003201","2000301"
"2000301","20003","2000303","0","0","2000302"
"2000302","20003","0","0","0","2000303"
"0","20004","2000402","20004115","20004201","2000401"
"2000401","20004","2000403","0","0","2000402"
"2000402","20004","0","0","0","2000403"
"0","20005","2000502","20005115","20005201","2000501"
"2000501","20005","2000503","0","0","2000502"
"2000502","20005","0","0","0","2000503"
"0","20006","2000602","20006115","20006201","2000601"
"2000601","20006","2000603","0","0","2000602"
"2000602","20006","0","0","0","2000603"
"0","20007","2000702","20007115","20007201","2000701"
"2000701","20007","2000703","0","0","2000702"
"2000702","20007","0","0","0","2000703"
"0","20008","2000802","20008115","20008201","2000801"
"2000801","20008","2000803","0","0","2000802"
"2000802","20008","0","0","0","2000803"
"0","20009","2000902","20009115","20009201","2000901"
"2000901","20009","2000903","0","0","2000902"
"2000902","20009","0","0","0","2000903"
"0","20010","2001002","20010115","20010201","2001001"
"2001001","20010","2001003","0","0","2001002"
"2001002","20010","0","0","0","2001003"
"0","20011","2001102","20011115","20011201","2001101"
"2001101","20011","2001103","0","0","2001102"
"2001102","20011","0","0","0","2001103"
"0","20012","2001202","20012115","20012201","2001201"
"2001201","20012","2001203","0","0","2001202"
"2001202","20012","0","0","0","2001203"
"0","20013","2001302","20013115","20013201","2001301"
"2001301","20013","2001303","0","0","2001302"
"2001302","20013","0","0","0","2001303"
"0","20014","2001402","20014115","20014201","2001401"
"2001401","20014","2001403","0","0","2001402"
"2001402","20014","0","0","0","2001403"
"0","20015","2001502","20015115","20015201","2001501"
"2001501","20015","2001503","0","0","2001502"
"2001502","20015","0","0","0","2001503"
"0","20016","2001602","20016115","20016201","2001601"
"2001601","20016","2001603","0","0","2001602"
"2001602","20016","0","0","0","2001603"
"0","20017","2001702","20017115","20017201","2001701"
"2001701","20017","2001703","0","0","2001702"
"2001702","20017","0","0","0","2001703"
"0","20018","2001802","20018115","20018201","2001801"
"2001801","20018","2001803","0","0","2001802"
"2001802","20018","0","0","0","2001803"
"0","20019","2001902","20019115","20019201","2001901"
"2001901","20019","2001903","0","0","2001902"
"2001902","20019","0","0","0","2001903"
"0","20020","2002002","20020115","20020201","2002001"
"2002001","20020","2002003","0","0","2002002"
"2002002","20020","0","0","0","2002003"
"0","20021","2002102","20021115","20021201","2002101"
"2002101","20021","2002103","0","0","2002102"
"2002102","20021","0","0","0","2002103"
"0","20022","2002202","20022115","20022201","2002201"
"2002201","20022","2002203","0","0","2002202"
"2002202","20022","0","0","0","2002203"
"0","20023","2002302","20023115","20023201","2002301"
"2002301","20023","2002303","0","0","2002302"
"2002302","20023","0","0","0","2002303"
"0","20024","2002402","20024115","20024201","2002401"
"2002401","20024","2002403","0","0","2002402"
"2002402","20024","0","0","0","2002403"
