1b7c1702c79d004a9c4a97d7ba58980c45a71db9c1ae5a2572583343e149da5b,84ccc39740f3c4795ddcd71911456491036042ec63803ce0a63139e6d443a0cc,e14da468ae526b671fc7a2e1c634d637353f456d2c24d9b8f39736101be0c8cc,c0bb9f73ea909daf82b5362242d6081a70f150150d111c6120c9c37d091212e6,f896ebdb99f83ea40aa2c02ab557ed7eb6a035536f8f3dc91e9209146d5c0409
"10101","1","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","damage_limit"
"10102","1","防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","def_lower_limit"
"10201","2","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","damage_limit"
"10202","2","防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","def_lower_limit"
"10203","2","全傷害降低","將所有怪物承受的傷害減少一定數值。","damage_cut"
"10204","2","造成傷害提升","提升所有怪物所造成的傷害。","damage_up"
"10205","2","防禦力提升","提升所有怪物的物理/魔法防禦力。","def_up"
"10301","3","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","damage_limit"
"10302","3","防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","def_lower_limit"
"10303","3","全傷害降低","將所有怪物承受的傷害減少一定數值。","damage_cut"
"10304","3","造成傷害提升","提升所有怪物所造成的傷害。","damage_up"
"10305","3","防禦力提升","提升所有怪物的物理/魔法防禦力。","def_up"
"10306","3","降低暴擊","降低所有角色的物理/魔法暴擊率。","critical_down"
"10401","4","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","damage_limit"
"10402","4","防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","def_lower_limit"
"10403","4","全傷害降低","將所有怪物承受的傷害減少一定數值。","damage_cut"
"10404","4","造成傷害提升","提升所有怪物所造成的傷害。","damage_up"
"10405","4","防禦力提升","提升所有怪物的物理/魔法防禦力。","def_up"
"10406","4","降低暴擊","降低所有角色的物理/魔法暴擊率。","critical_down"
"10407","4","降低ＨＰ吸收","降低所有角色的ＨＰ吸收。","life_steal_down"
"10501","5","強敵出現","EXTREME戰鬥時，有一定的機率會出現強敵。","add_monster"
"10502","5","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","damage_limit"
"10503","5","防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","def_lower_limit"
"10504","5","全傷害降低","將所有怪物承受的傷害減少一定數值。","damage_cut"
"10505","5","造成傷害提升","提升所有怪物所造成的傷害。","damage_up"
"10506","5","防禦力提升","提升所有怪物的物理/魔法防禦力。","def_up"
"10507","5","降低暴擊","降低所有角色的物理/魔法暴擊率。","critical_down"
"10508","5","降低ＨＰ吸收","降低所有角色的ＨＰ吸收。","life_steal_down"
"10509","5","減少降低ＴＰ","所有怪物為減少降低ＴＰ的狀態。","tp_down_cut"
"10510","5","降低ＨＰ恢復量","降低所有角色的ＨＰ恢復量。","hp_recovery_down"
