4f17e8421edc2e18bd0176a98f3fe690aa7e614925f1c0f5abf2359343ae693d,906d404445878847eddd13695d9eaa2f70252e1e70674cd988f36f280cacd0a8,bb87ddc2a1582a10272eaa2107bd812eed9ad2bde50eced8df7e42945e2d955e,918e10a0d017944449dffaf11d32f7ea061b3a23418ae12b99ca48455eb3ee70,53fbe56b17ec92386afdd10cf00867e73d31c62611e746cf8ff069bf50e2ab8a,cfe0c75bdab6e3f1bd1a9afb013e2be071341e24b95a0e743bc53b70251764c4,38ff4bb3b88214f9fbe888043f86eb45de390a022b53af451e9a9cbbef9a8849,86de63f84d1544382d06ad7698b0fe4aceb2b5d1f93f7d356f7b93dd06cc391b,0236947da43da33ba96bc0a1161385e209ed526dd8446b562facb3cbf7458863,8b5ddaa1808f17660d7d07cbd44c43b93fa99c3c264a3397f6a85be7d0887523,06de00cd1f2ce387906ca6635a57c721e45a9c0e76638abebc67b50a604aa3bf,4c5fa2057351ff373be6e0c4ce816601c0df651c381bbf453ad38aa910de3fe3,b085e70f141daf084cbf0f96e91d6bbfa858c8c6ec8a742e606649d0119d0890,885d88107f5101ba4fcee1ea86f71277fe60b05f2ab90256f3b2ead04b8571b1,d0b8f829f13f909d34ba62f41c5004801b315ade36efb86289a9d4872589a1d8,40c8ea51907f2e77008ebcaf7be5d44c3b915403a49bcf9f4581f6716dbb5fe1,d811543c80c06ba6799c2f6e1ed5c981a330b24fbe6f4baa2228fb66bbc05cd7,5a9a76389b04d52e286a872be3a61c504aeea186908e5d9e9eec28ced7697720,47c368abf7e9bfed8d578468f9c6d4b77da8b19c0f7273c025c1ef17f476e5a4
"1","0","0","94002","0","0","0","12","0","0","0","0","2","幫忙靜流時獲得 10000pt","10000","0","0","0","5000"
"2","0","0","94002","0","0","0","12","0","0","0","0","2","幫忙靜流時獲得 20000pt","20000","0","0","0","10000"
"3","0","0","91002","0","5","0","8","0","2","0","0","2","幫忙靜流時獲得 30000pt","30000","0","23001","0","50"
"4","0","0","94002","0","0","0","12","0","0","0","0","1","幫忙惠理子時獲得 10000pt","10000","0","0","0","5000"
"5","0","0","94002","0","0","0","12","0","0","0","0","1","幫忙惠理子時獲得 20000pt","20000","0","0","0","10000"
"6","0","0","91002","0","5","0","8","0","2","0","0","1","幫忙惠理子時獲得 30000pt","30000","0","23001","0","50"
"7","0","0","94002","0","0","0","12","0","0","0","0","0","幫忙兩人合計獲得 70000pt","70000","0","0","0","15000"
"8","0","0","94002","0","0","0","12","0","0","0","0","0","幫忙兩人合計獲得 80000pt","80000","0","0","0","20000"
"9","0","0","94002","0","0","0","12","0","0","0","0","0","幫忙兩人合計獲得 90000pt","90000","0","0","0","25000"
"10","0","0","94002","0","0","0","12","0","0","0","0","0","幫忙兩人合計獲得 100000pt","100000","0","0","0","30000"
"11","0","0","94002","0","0","0","12","0","0","0","0","0","幫忙兩人合計獲得 110000pt","110000","0","0","0","35000"
"12","0","0","94002","0","0","0","12","0","0","0","0","0","幫忙兩人合計獲得 120000pt","120000","0","0","0","40000"
"13","0","0","94002","0","0","0","12","0","0","0","0","0","幫忙兩人合計獲得 130000pt","130000","0","0","0","45000"
"14","0","0","94002","0","0","0","12","0","0","0","0","0","幫忙兩人合計獲得 150000pt","150000","0","0","0","50000"
"15","10","0","1113","0","150","23001","7","0","8","0","0","0","幫忙兩人合計獲得 200000pt","200000","0","91002","2","1"
