b160b5920e6de5e286999313125ae9566ed43f98317985dbc5561a5f263ebf4e,fa2a20c486ee1d4f867b224368f9deaebf47fc05e7b809432ed516c6ffef83b8,a26ef9916f4ac6ff34bb0aa9201dbf21747bcdf0af563b9f6fa53ce7773067fe,f8d9dc5810eb5e28aa03dfe9543c7b8c06a0f9466df121c74acc55433fa21819,26f75a9d52213aa7482c65f2d047bae1612ff766ad4cecac1521971a54ccef04,85014110c629aad5caec70b5b73e3e4438594ba0b6a1f9f293729ff94b41e55a,019cf62419ac629f6e6dfe78807bd046be5bab1841a6e555491bd46fed140e4d,cc2f4e8451caca347cfde3c681f7d45b0c7d4fb5983ede05e32443b60424ab88
"10001","bgm_M32","10001101","10001101","10001","塔爾格姆地區","10001","bgm_M32"
"10002","bgm_M98_2","10002101","10002101","10002","馬席納地區","10002","bgm_M98"
"10003","bgm_M106","10003101","10003101","10003","蘭德索爾郊外","10003","bgm_M106"
"10004","bgm_M112","10004101","10004101","10004","塔帕斯海灘 周邊","10004","bgm_M112"
"10005","bgm_M121","10005101","10005101","10005","伊爾席翁的孤島","10005","bgm_M121"
"10006","bgm_M128","10006101","10006101","10006","王城蘭德索爾","10006","bgm_M128"
"10007","bgm_M135","10007101","10007101","10007","蘭德索爾近郊","10007","bgm_M135"
"10008","bgm_M121","10008101","10008101","10008","蘭德索爾近郊","10008","bgm_M121"
"10009","bgm_M171","10009101","10009101","10009","聖誕節","10009","bgm_M171"
"10010","bgm_M121","10010101","10010101","10010","往神殿的參道","10010","bgm_M121"
"10011","bgm_M189","10011101","10011101","10011","情人節","10011","bgm_M189"
"10012","bgm_M206","10012101","10012101","10012","王城蘭德索爾","10012","bgm_M206"
"10013","bgm_M215","10013101","10013101","10013","馬納歷亞","10013","bgm_M215"
"10014","bgm_M32","10014101","10014101","10014","塔爾格姆地區","10014","bgm_M32"
"10015","bgm_M189","10015101","10015101","10015","大江戶大街","10015","bgm_M189"
