64ca6950cddfc372ceb0a8af28ff2708e8e59cb57604f523abdb78ba424a0502,6524713883f44bc03ed1092dfd4d5ec15acae4a306edd3505d3db2a0cd64325d,bf0867dcf8b455e579d8d19b7c678c6ad7675b838c81bf7740f54aecab60b086,1b66bf17a99ab41242dd766c5567c51d6250159aef74ab290e71de2087768d42,e60baca14629de92d5239b581fe397d323b628b812afc102111494278a163ad0
"1037","1048","1025","1","1045"
"1062","1004","1003","2","1006"
"1029","1007","1003","3","1006"
"1025","1045","1047","4","1062"
"1003","1013","1043","5","1022"
"1048","1004","1006","6","1019"
"1037","1033","1062","7","1003"
"1050","1053","1056","8","1059"
"1030","1011","1001","9","1034"
"1046","1023","1063","10","1026"
"1014","1038","1020","11","1044"
"1008","1049","1017","12","1040"
"1017","1044","1023","13","1020"
"1001","1038","1017","14","1020"
"1036","1048","1030","15","1008"
"1004","1038","1044","16","1011"
"1005","1011","1043","17","1022"
"1042","1016","1046","18","1047"
"1041","1028","1014","19","1063"
"1061","1055","1052","20","1058"
"1031","1001","1025","21","1024"
"1064","1063","1024","22","1005"
"1066","1000","1040","23","1044"
"1076","1038","1000","24","1010"
"1077","1019","1003","25","1043"
"1071","1069","1070","26","1068"
"1089","1091","1092","27","1090"
"1097","1100","1098","28","1099"
"1101","1104","1102","29","1103"
"1105","1108","1106","30","1107"
"1083","1006","1012","31","1021"
"1086","1085","1087","32","1084"
"1093","1095","1094","33","1096"
