12a82f15c7674305a89954e95c452420e9faf6d00d10bf94a199009056f177c4,9ab0deb23895a9f10bf5fb0757c711cf3ae62973bb65c25465c1dff8bf471e48,aee8ae30b42414f26e87639a5b3708681b4a27568fc0b868be49f090df1e1731,17c9ad5b9e667215f4cea8e326d65713b2acdde9d8232ea8ec1242d2552e6706,c04bb44f5ae47ab54f50bb30b660a3601249396d99db1040e537c96b0a949ba9,960559cf6e6d70b88c988ee06d24655f3d95b75edd520dc5ebf79c46c4d41aa6,56d05251c485011f7d288cf21b8f0e4927d4edf020a5d58f16e6cbeb227252eb,d67028eafc23bea364ae6a6e777ed83f4a825595fd1b6350d4ea9bf7bcf374fe,865f4e96d8ac03fc2368419c7aa9038224ff660523926ba236aaa342acbd26a8,659d25d189f6ac8ec1593f1da03fa6c74066fbed8da56c89b847e1fb02e47206,089102589afd2272997bbbf6ae48b18e4af929a3bc2fed94f39aeadf6eb4ba3b
"1","-175","pkb_idle_normal","1","1010001","1.65","1","64","113511","1","100"
"","","","1","1010002","0.2","113511","","pkb_talk_wish","3","1"
"","","","1","1010003","","vo_minigame_1006","0","vo_minigame_1006_top_101","21","0"
"0","0","0","1","1010004","0","113511","0","今天也和老師\n一起努力加油吧～","11","8"
"","","","1","1010005","","0","","","91",""
"","","","1","1010006","0.2","113511","","pkb_idle_normal","3","1"
"1","-175","pkb_idle_normal","2","1020001","1.65","1","64","113511","1","100"
"","","","2","1020002","0.2","113511","","pkb_talk_wish","3","1"
"","","","2","1020003","","vo_minigame_1006","0","vo_minigame_1006_top_102","21","0"
"0","0","0.5","2","1020004","0","113511","0","老師很相信\n大家的實力喔～！\n要加油喲～♪","11","6"
"","","","2","1020005","","6","","","93",""
"","1","","2","1020006","0.2","113511","pkb_idle_normal","pkb_talk_fun","3","0"
"","","","2","1020007","","1020004","","","91",""
"","","","2","1020008","0.2","113511","","pkb_idle_normal","3","1"
"1","-175","pkb_idle_normal","3","1030001","1.65","1","64","113511","1","100"
"0.2","1","","3","1030002","0.2","113511","pkb_idle_normal","pkb_smile","3","0"
"","","","3","1030003","","vo_minigame_1006","0","vo_minigame_1006_top_103","21","0"
"0","0","0","3","1030004","0","113511","0","要小心別受傷喔，\n不可以勉強自己～♪","11","6"
"","","","3","1030005","","2","","","93",""
"","","","3","1030006","0.2","113511","","pkb_talk_wish","3","1"
"","","","3","1030007","","1030004","","","91",""
"","","","3","1030008","0.2","113511","","pkb_idle_normal","3","1"
"1","-155","pkb_idle_normal_l","4","1040001","57","3","64","3","5","100"
"0.2","1","","4","1040002","0.2","3","pkb_idle_arm_crossed_l","pkb_talk_arm_crossed_l","3","0"
"","","","4","1040003","","vo_minigame_1006","0","vo_minigame_1006_top_601","21","0"
"","0","0","4","1040004","0","3","0","今天的練習\n我也不會手下留情的！\n好好跟上我吧！","11","8"
"","","","4","1040005","","0","","","91",""
"","","","4","1040006","0.2","3","","pkb_idle_normal_l","3","1"
"1","-155","pkb_idle_normal_l","5","1050001","57","3","64","3","5","100"
"0.2","1","","5","1050002","0.2","3","pkb_idle_arm_crossed_l","pkb_talk_arm_crossed_l","3","0"
"","","","5","1050003","","vo_minigame_1006","0","vo_minigame_1006_top_602","21","0"
"","0","0","5","1050004","0","3","0","很好！\n提起幹勁\n開始練習吧──！","11","8"
"","","","5","1050005","","2","","","93",""
"0.2","1","","5","1050006","0.2","3","pkb_idle_normal_l","pkb_talk_handsup_l","3","0"
"","","","5","1050007","","1050004","","","91",""
"","","","5","1050008","0.2","3","","pkb_idle_normal_l","3","1"
"1","-155","pkb_idle_normal_l","6","1060001","57","3","64","3","5","100"
