c5012cd55f992102a524815779dea9d6dd666b40ee47103a4da49e980593e588,76fe2b080f3f414e71f7077df28651a27426c186af559d36a5798feced6d343b,d108c24feabf49955260e6bc92a4e49f0dd9099824138cd38af88c4a4096b252,fa9a473331efd0428c295e5d29e660d24ae7ddd52afd2e020cbafc401f2db722,b1cce2ded16acf6a464a3d043c462792ea75265900f079fe6761e44996f0d5a7,dcd8e99e738cef8bc91d728ce245e37c987cf314bfa6a426d98e9e9e4b525040,e2ac950542c35cf7ccea9ba10e757243c070083359f2ac5906f8119a9f795233,1034ed87d202eb403b8baad68ebd23208a0be3441f900020415b845de89a23db
"2","1","5","4","1","111","48","3"
"2","1","5","4","1","121","96","3"
"2","1","5","4","1","131","144","3"
"2","1","5","4","1","141","192","3"
"2","1","5","4","1","151","240","3"
"0","2","0","0","1","211","84","0"
"0","2","0","0","1","221","168","0"
"0","2","0","0","1","231","252","0"
"0","2","0","0","1","241","336","0"
"0","2","0","0","1","251","420","0"
"0","5","0","0","3","311","36","0"
"0","5","0","0","3","321","72","0"
"0","5","0","0","3","331","108","0"
"0","5","0","0","3","341","144","0"
"0","5","0","0","3","351","180","0"
"0","4","0","0","4","411","84","0"
"0","4","0","0","4","421","168","0"
"0","4","0","0","4","431","252","0"
"0","4","0","0","4","441","336","0"
"0","4","0","0","4","451","420","0"
"0","4","0","0","2","511","84","0"
"0","4","0","0","2","521","168","0"
"0","4","0","0","2","531","252","0"
"0","4","0","0","2","541","336","0"
"0","4","0","0","2","551","420","0"
"0","2","0","0","4","611","84","0"
"0","2","0","0","4","621","168","0"
"0","2","0","0","4","631","252","0"
"0","2","0","0","4","641","336","0"
"0","2","0","0","4","651","420","0"
"0","1","0","0","5","711","56","0"
"0","1","0","0","5","721","112","0"
"0","1","0","0","5","731","168","0"
"0","1","0","0","5","741","224","0"
"0","1","0","0","5","751","280","0"
"0","101","0","0","2","811","1","0"
"0","2","0","0","3","911","84","0"
"0","2","0","0","3","921","168","0"
"0","2","0","0","3","931","252","0"
"0","2","0","0","3","941","336","0"
"0","2","0","0","3","951","420","0"
"0","101","0","0","1","1011","1","0"
"0","5","0","0","2","1111","36","0"
"0","5","0","0","2","1121","72","0"
"0","5","0","0","2","1131","108","0"
"0","5","0","0","2","1141","144","0"
"0","5","0","0","2","1151","180","0"
"0","4","0","0","5","1211","84","0"
"0","4","0","0","5","1221","168","0"
"0","4","0","0","5","1231","252","0"
"0","4","0","0","5","1241","336","0"
"0","4","0","0","5","1251","420","0"
"0","2","0","0","1","1311","86","0"
"0","2","0","0","1","1321","172","0"
"0","2","0","0","1","1331","258","0"
"0","2","0","0","1","1341","344","0"
"0","2","0","0","1","1351","430","0"
"0","1","0","0","3","1411","44","0"
"0","1","0","0","3","1421","88","0"
"0","1","0","0","3","1431","132","0"
"0","1","0","0","3","1441","176","0"
"0","1","0","0","3","1451","220","0"
"0","5","0","0","4","1511","36","0"
"0","5","0","0","4","1521","72","0"
"0","5","0","0","4","1531","108","0"
"0","5","0","0","4","1541","144","0"
"0","5","0","0","4","1551","180","0"
"0","101","0","0","5","1611","1","0"
"0","100","0","0","2","1711","1","0"
"0","4","0","0","3","1811","84","0"
"0","4","0","0","3","1821","168","0"
"0","4","0","0","3","1831","252","0"
"0","4","0","0","3","1841","336","0"
"0","4","0","0","3","1851","420","0"
"0","3","0","0","4","1911","36","0"
"0","3","0","0","4","1921","72","0"
"0","3","0","0","4","1931","108","0"
"0","3","0","0","4","1941","144","0"
"0","3","0","0","4","1951","180","0"
"0","4","0","0","1","2011","84","0"
"0","4","0","0","1","2021","168","0"
"0","4","0","0","1","2031","252","0"
"0","4","0","0","1","2041","336","0"
"0","4","0","0","1","2051","420","0"
"0","100","0","0","3","2111","1","0"
"0","2","0","0","5","2211","84","0"
"0","2","0","0","5","2221","168","0"
"0","2","0","0","5","2231","252","0"
"0","2","0","0","5","2241","336","0"
"0","2","0","0","5","2251","420","0"
"0","1","0","0","1","2311","44","0"
"0","1","0","0","1","2321","88","0"
"0","1","0","0","1","2331","132","0"
"0","1","0","0","1","2341","176","0"
"0","1","0","0","1","2351","220","0"
"0","2","0","0","2","2411","84","0"
"0","2","0","0","2","2421","168","0"
