f602b7035ccc6a17d55655762fb9339325256c005bf4cfae0731a995900013a5,6c12427feeb35158a231240f13af8aa3bc58ce3afefb7803476d0d37eb497a61,20ab344af63c29f6cc74449b7be7d6a4ad22cc3a127f4c223a2d263cf7375ef0,b9ec707f617c95f5f208f5ee31e1e0ebb88c12ee00d5dd4eeebf25ba752e2146,17424e9643c59df383b8fc9deaf793f656fbeedac802e686cd510d2a9f1c69c7,adf289c3c2f420d1f95870ed43c41922dcc19edc71fb0cbdd110f4ddda007ff6,57b7bcfd3c8740b41e78644e1e62a0732f6f250953816b58da1eaed96ee0ac37,f77cacc0fa9ae9f6b787e397cde0e0825c7e62fdd3ddfa5876428ea5a1dcc450,1b7c391185498177d604858bc64cded88f19353d1b0a58b77336d940b24940d0,2156c2fc5350e6fe89946b751515b2a0257291e3c000051da219a5c2abffa99b,8f359da71610b872c6e8e1e04b3dd62ce46e802653e850b429fbc851cafcb6c9,8570d4e9c7ae4e4f9985461da07c175266bca78997a929b4454a0111678215ae
"1","0","1","0","0","0","100580101","0","0","0.8","1005801","4"
"0","0","2","vo_ske","0","0","100580102","vo_ske_0101","0","0","1005801","2"
"0","94","3","0","0","1","100580103","0","0.705","0","1005801","1"
"1","0","4","0","0","0","100580104","0","0","1.549","1005801","4"
"0","362","5","0","94","1","100580105","0","1.807","0","1005801","1"
"1","0","6","0","0","0","100580106","0","0","3.027","1005801","4"
"0","263","7","0","0","2","100580107","0","1.141","0","1005801","1"
"1","0","8","0","0","0","100580108","0","0","1.9","1005801","4"
"0","400","9","0","263","2","100580109","0","1.78","0","1005801","1"
"1","0","10","0","0","0","100580110","0","0","4.544","1005801","4"
"0","0","11","vo_ske","0","0","100580111","vo_ske_0102","0","0","1005801","2"
"0","195","12","0","0","3","100580112","0","1.322","0","1005801","1"
"1","0","13","0","0","0","100580113","0","0","2.917","1005801","4"
"0","0","14","vo_ske","0","0","100580114","vo_ske_0103","0","0","1005801","2"
"0","228","15","0","0","4","100580115","0","1.932","0","1005801","1"
"1","0","16","0","0","0","100580116","0","0","2.582","1005801","4"
"0","367","17","0","228","4","100580117","0","0.996","0","1005801","1"
"1","0","18","0","0","0","100580118","0","0","3.856","1005801","4"
"0","0","19","vo_ske","0","0","100580119","vo_ske_0104","0","0","1005801","2"
"0","90","20","0","0","5","100580120","0","0.67","0","1005801","1"
"1","0","21","0","0","0","100580121","0","0","1.785","1005801","4"
"0","364","22","0","90","5","100580122","0","2.253","0","1005801","1"
"1","0","23","0","0","0","100580123","0","0","2.253","1005801","4"
"0","0","24","0","0","6","100580124","0","0.962","0","1005801","1"
"1","0","25","0","0","0","100580125","0","0","2.244","1005801","4"
"0","334","26","0","0","6","100580126","0","1.707","0","1005801","1"
"1","0","27","0","0","0","100580127","0","0","4.225","1005801","4"
"0","0","28","vo_ske","0","0","100580128","vo_ske_0105","0","0","1005801","2"
"0","227","29","0","0","7","100580129","0","1.256","0","1005801","1"
"1","0","30","0","0","0","100580130","0","0","3.119","1005801","4"
"0","0","31","vo_ske","0","0","100580131","vo_ske_0106","0","0","1005801","2"
"0","73","32","0","0","8","100580132","0","0.702","0","1005801","1"
"1","0","33","0","0","0","100580133","0","0","1.386","1005801","4"
"0","318","34","0","73","8","100580134","0","1.352","0","1005801","1"
"1","0","35","0","0","0","100580135","0","0","2.053","1005801","4"
