529dcea136df26f52b44936b4385cd0d534067ed31073141036143df47d4736f,8677b7cdce9f2e17117ac6f18255aa14c2f8753cb380f655fd932bdf5ac6e5ef,b0b560c63b643f6721efcde5e0f51a73bcb7d87dbae50cee73e36c1ceb948e3c,51a2be39289325a1c5b61c7d55c1c7b19a995cb45c7745f740a6fc4945932d9b,b0adbbd624ec5371b166575e193b970521f743b6a582aa62c31840136fd1fb29,0326e178ab5af1c03bbb4648d67eb3e37f67059a69f236372696f2fc386dd5fa,9508b7c215d018ae1b040d1f86dff33219d9cacd05338f36a5a12264748fcd54
"810100101","810100104","810010011","810100105","81001001","810100102","810100103"
"810100201","810100204","810010021","810100205","81001002","810100202","810100203"
"810100301","810100304","810010031","810100305","81001003","810100302","810100303"
"810100401","810100404","810010041","810100405","81001004","810100402","810100403"
"810100501","810100504","810010051","810100505","81001005","810100502","810100503"
"810100601","810100604","810010061","810100605","81001006","810100602","810100603"
"810100701","810100704","810010071","810100705","81001007","810100702","810100703"
"810100801","810100804","810010081","810100805","81001008","810100802","810100803"
"810100901","810100904","810010091","810100905","81001009","810100902","810100903"
"810101001","0","810010101","0","81001010","0","0"
"810101101","810101104","810010111","810101105","81001011","810101102","810101103"
"810101201","810101204","810010121","810101205","81001012","810101202","810101203"
"810101301","810101304","810010131","810101305","81001013","810101302","810101303"
"810101401","810101404","810010141","810101405","81001014","810101402","810101403"
"810101501","810101504","810010151","810101505","81001015","810101502","810101503"
"810101601","810101604","810010161","810101605","81001016","810101602","810101603"
"810101701","810101704","810010171","810101705","81001017","810101702","810101703"
"810101801","810101804","810010181","810101805","81001018","810101802","810101803"
"810101901","810101904","810010191","810101905","81001019","810101902","810101903"
"810102001","0","810010201","0","81001020","0","0"
"810102101","810102104","810010211","810102105","81001021","810102102","810102103"
"810102201","810102204","810010221","810102205","81001022","810102202","810102203"
"810102301","810102304","810010231","810102305","81001023","810102302","810102303"
"810102401","810102404","810010241","810102405","81001024","810102402","810102403"
