d4ed562a59cbef511dcd5ffe1850378320137fe5f62cc883a6d9cc444939742f,2e3969aa3766c30d625f812be1d9edd37ac30dce807842e3365d717ddf9ec1c4,69f2703bb695ce3b847e34cbbb2870a4b5f40ad19c1782dc4d63b1c15fc4f148,f22cc1ba0aa95c7b892f630e38a98b6a026c7f2074524cef6c822401dabd3999,ab90ec9747f9bb3df5b332ddb8cb14f21c1fdd229323c94be7c95eceab631e63,11cf816a6972ebd67fde549a6336567f9a1fbab653420d539956c0e1125b7208,46783f17e4660c16be31a0455b51b7631fcb386721175d688b7b74815fd7f916,11e443ed5ccbbe59c282cb929dd27a4b334aecad5730b70c74505a41649e2395,f7aaed4140f0f3c34a5d3eee360c594bf679e079543d4dc8440c0de8dda657f9,a37a4227da23d4645238059af9987d91e50c48850ee154231b9602763ddf4799,ab89395fdc832d597449348f49de879cd48c342f0a647e855d19b737a8fb51cd,99cbda9c64c5002e903b8a289dd9a5a35b27bfe500df8865567ebe41f6c671c5,450f8e686b2a5b9825abfcbc76c21b3fc713c8f7f230753fd068cb3053f7209a,b6e8c499503ddd3d5dd6517851c6cac000ef6d54b48ee6b54660be1fedb0a483,336031f47b1138a74880ab7e2aa4c39f089839382b435e7ac64514d4815052aa,e91346d17626ab1809774249615f271f874aac9efdc4b736c908b6f2872ce1d2,b32057d2dfab326865bcb84bf484148ba4a7eeab854804119a2c80bcb08408ef,85ab91acdfcd78724ebbf748ea02d40ee9f7b9f20f9cdd10bfb03d166cc0495f,e7ff6c9b525053559833fe500cddfb5392ffa787c103665c7b5978327d806072,a58d171a406b1eb2927e89e129892343f620f950bc3dae05ad3728bdb5db2f4c,c9bf9300b77a3cc1f39979c1c64b429b66a3fe2845c35c821efb62b975b8a8f7
"3","2.4","1","100100101","-1","0","0","0","0","單體物理傷害+{0}","0","對敵方單體造成{0}的物理傷害","30","1","0","1","1","1","30","0","1"
"3","500","1","100100102","-1","0","0","0","0","","0","","0","1","0","3","1","99","50","0","3"
"3","1.08","2","100100103","400","0","0","0","0","範圍物理傷害+{0}","0","對範圍內的敵人造成{0}的物理傷害","13.5","1","0","1","1","99","13.5","0","1"
"3","1.6","1","100100201","-1","0","0","0","0","物理傷害+{0}","0","對敵方單體造成{0}的物理傷害","20","1","0","1","1","1","20","0","1"
"1","0.6","1","100100301","0","0","0","0","0","物理傷害+{0}","0","對敵方單體造成{0}的物理傷害","8","1","0","1","1","1","8","0","1"
"7","11","1","100100302","0","0","0","0","1","物理攻擊力提升+{0}","0","提升自身{0}的物理攻擊力","11","2","1","10","1","1","1","12","10"
"3","4.8","1","100101101","-1","0","0","0","0","單體物理傷害+{0}","0","對敵方單體造成{0}的物理傷害","60","1","0","1","1","1","60","0","1"
"3","3.6","2","100101102","600","0","0","0","0","範圍物理傷害+{0}","0","對範圍內的敵人造成{0}的物理傷害","45","1","0","1","1","99","45","0","1"
"3","1.6","1","100101201","-1","0","0","0","0","單體物理傷害+{0}","0","對敵方單體造成{0}的物理傷害","20","1","0","1","1","1","20","0","1"
"3","0.72","2","100101202","400","0","0","0","0","範圍物理傷害+{0}","0","對範圍內的敵人造成{0}的物理傷害","9","1","0","1","1","99","9","0","1"
"0","15","0","100150101","0","0","0","0","0","物理攻擊力提升+{0}","0","提升自身{0}的物理攻擊力","15","0","0","90","1","0","1","1","2"
"0","15","0","100151101","0","0","0","0","0","物理攻擊力提升+{0}","0","提升自身{0}的物理攻擊力","240","0","0","90","1","0","1","1","2"
"3","6","3","100200101","2160","0","0","0","0","HP回復量+{0}","0","回復我方全體{0}的HP","6","2","0","4","1","99","1","0.45","2"
"3","1.2","1","100200201","-1","0","0","0","0","魔法傷害+{0}","0","對敵方單體造成{0}的魔法傷害","15","1","0","1","1","1","15","0","2"
"3","0.23","3","100200301","2160","0","0","0","1","物理防禦力提升+{0}","0","提升我方全體{0}的物理防禦力","0.23","2","1","10","1","99","1","12","20"
"3","8","3","100201101","2160","0","0","0","0","HP回復量+{0}","0","回復我方全體{0}的HP","8","2","0","4","1","99","1","0.6","2"
"3","1.2","3","100201102","2160","0","0","0","1","物理防禦力提升+{0}","0","提升我方全體{0}的物理防禦力","1.2","2","1","10","1","99","1","18","20"
"3","18","3","100201103","2160","0","0","0","0","無效傷害量+{0}","0","展開{0}傷害量的物理無效護盾","45","2","0","6","1","99","45","0","1"
"3","18","3","100201104","2160","0","0","0","0","","0","提升我方全體的行動速度","0","2","1","8","1","99","2","0","2"
"3","1.6","1","100201201","-1","0","0","0","0","魔法傷害+{0}","0","對敵方單體造成{0}的魔法傷害","20","1","0","1","1","1","20","0","2"
"3","7.5","1","100201202","-1","0","0","0","1","物理攻擊力降低+{0}","0","降低敵方單體{0}的物理攻擊力","7.5","1","1","10","1","1","1","12","11"
"0","15","0","100250101","0","0","0","0","0","魔法攻擊力提升+{0}","0","提升自身{0}的魔法攻擊力","15","0","0","90","1","0","1","1","4"
"0","15","0","100251101","0","0","0","0","0","魔法攻擊力提升+{0}","0","提升自身{0}的魔法攻擊力","15","0","0","90","1","0","1","1","4"
"0","0","0","100251102","0","0","0","0","0","","0","提升自身{0}的魔法防禦力","30","0","0","90","1","0","1","1","5"
"3","4.8","1","100300101","-1","0","0","0","0","物理傷害+{0}","0","對敵方單體造成{0}的物理傷害","60","1","0","1","1","1","60","0","1"
"3","1.6","1","100300201","-1","0","0","0","0","物理傷害+{0}","0","對敵方單體造成{0}的物理傷害","20","1","0","1","1","1","20","0","1"
"7","0","1","100300301","0","0","0","100300302","100300303","","0","","0","2","0","28","1","1","0","0","677"
"3","1.8","1","100300302","4320","0","0","0","100300305","","0","","0","1","0","18","1","1","0.5","0","1"
"3","1.8","1","100300303","4320","0","0","0","100300306","","0","","0","1","0","18","1","1","1","0","1"
"7","0","1","100300304","0","0","0","100300305","100300306","","0","","0","2","0","28","1","1","0","0","677"
"3","1.6","1","100300305","-1","0","0","0","0","物理傷害+{0}","0","對敵方單體造成{0}的物理傷害","20","1","0","1","1","1","20","0","1"
"3","3.2","1","100300306","-1","0","0","0","0","","0","","40","1","0","1","1","1","40","0","1"
