f50d9efcdac60958de20c62e6f575a4e23d1971dd099d57271187431bceaf855,d1df730f5be22764ca2f83e60877214c90d4131ddc56f3a2f2a5870cb6425cc2,2a0fb0983098241dd3f986a71ac3c62416d2d4835d0074a4920a525ab5149c42,e2bd27ff4a8832935d78ae2300951c416867086bba0bd1e235f3e5cf0e5fbe63,1a853408006ee02fc2a6441453243dc3c89dbda5bcf22ae636258f9e1b2e9b6c,3c54f738c0ee2fa958331a2532184adfff0449a080d332072448d36fda907fd7,55a44dfb4a8d24e2d8319b44f2217762f68d8479cec93fb5a10847d3fa542286
"50","9999999","0","1","0","50","1"
"80","9999999","0","2","0","20","2"
"30","2000","0","3","0","70","3"
"40","5000","30","4","0","30","3"
"40","10000","40","5","20","0","3"
"30","15000","40","6","30","0","3"
"25","20000","40","7","35","0","3"
"20","25000","40","8","40","0","3"
"15","30000","40","9","45","0","3"
"10","35000","40","10","50","0","3"
"10","40000","35","11","55","0","3"
"5","45000","35","12","60","0","3"
"5","50000","30","13","65","0","3"
"0","55000","30","14","70","0","3"
"0","60000","25","15","75","0","3"
"0","65000","20","16","80","0","3"
"0","70000","15","17","85","0","3"
"0","75000","10","18","90","0","3"
"0","80000","5","19","95","0","3"
"0","9999999","0","20","100","0","3"
