ea66dabb15f8f01e184142d99025f10c8c11d4ce155afc6adb26b41bcff94876,b45283d29e341a8ffa9f8abcac81fb51f642eb5f7467fa2697702cb7a89969be,da0f8f3746b591a70928b9b654348d2b9bd07770fa45cbc201ce92253a1c642d,32712e6e2093a64cfc8082e0cab8bb0b886f99dd89512530235a6d43fc9ded1e,ae96f37c658a73b9eee4e572ad9451a1ce3ec98721871327ad48b3b243b7923c,7004ab3c16474ecffd278e1d68b2bbb6ab5d764f01c8a7a42cdf5473e3dffb85,ac89f57e2174d046750491548c1587fe8d2cd0fb507a39564142b8b0ca89953d,ba3b0cf68cffffa28085cea95bbe997ba2685b9a88704173f35f6562be069fa1,caad105426800a347c9ebb981dbd92784ef3e8669fa36ab3b52ca02fa2fa2073,e8a065540d4ed5136106b8d9ea50f09f03dc3dc8de744894f1e7c997c895dfae,39ff94796678953e45af76e38d9c0a2c26fd788e87d880906dd266cd456ffd56,6eff9f23a32b79db5a82ba6a36435dc3082d3a7883f5b8ec9f6a0447f8a3da8a,bed7bb8f949ce4ebbf8c54899c3a61e4139226219ad21dcc32efe6f27e6eba89,8ea224f63ae38c3ca84e53c53fcd27df9f9c7ccdcad559e6584c4438f7b01ea7,0050529ad55da46f8b9c9d2fb53d093772adf3b81e925709e9268d6cf99f5e2c,483de4cb423f8c4a41a41a7dcbe67c58e32f7818df8dcdc6143b22445f84d6c9,65d12aad6f2ffd0947c2208a332df01e436e6661bfa49ed5315c640268de14ca,ea1d47c67d42a2534834dd9b2ba916e39558e50f09e66d8c15913dfd84c9c648,e35725631c6fe6aa4cef64bef2723b9a5c9dfe07a6c89742a152cbe94b3f43ca
"103401","1001","6","123001","1","100701","1","6","100003","6","100701","90","6","112201","105501","6","100111","-100","0"
"103401","1001","6","123001","1","106601","2","6","100003","6","103401","90","6","105101","100901","6","100112","-100","0"
"113401","1001","6","101801","1","112701","3","6","100003","6","110301","90","6","106901","110301","6","100113","-100","0"
"103401","1001","4","100201","2","102901","1","4","100003","4","100201","90","5","123001","117301","4","100121","-100","0"
"117301","1001","4","104001","2","104801","2","4","100003","4","104001","90","4","110301","105101","4","100122","-100","0"
"118001","1001","4","111001","2","101401","3","4","100003","5","101401","90","4","100801","118501","4","100123","-100","0"
"117301","1001","1","100801","3","100701","1","2","100003","2","112201","90","3","123001","112201","1","100131","-100","0"
"106601","1001","1","112201","3","100501","2","2","100003","1","105501","90","1","105501","103401","2","100132","-100","0"
"104801","1001","1","124501","3","105401","3","1","100003","2","124501","90","2","110301","113401","3","100133","-100","0"
"103401","1002","6","111401","1","106601","1","6","100003","6","111401","90","6","105001","117301","6","100211","-100","0"
"105401","1002","6","100801","1","105201","2","6","100003","6","113401","90","6","123001","113401","6","100212","-100","0"
"103401","1002","6","107701","1","100501","3","6","100003","6","105501","90","6","123001","105501","6","100213","-100","0"
"103401","1002","4","119001","2","122801","1","4","100003","5","122801","90","4","100901","124101","4","100221","-100","0"
"100501","1002","4","123001","2","105201","2","4","100003","4","100501","90","4","121101","103401","5","100222","-100","0"
"103401","1002","4","118501","2","100701","3","4","100003","4","118501","90","5","123001","105501","5","100223","-100","0"
"108901","1002","1","123001","3","105201","1","2","100003","1","108901","90","1","102601","103401","3","100231","-100","0"
