c2d5a8b2d500c438929bfbcf295f67aa212b48667ef153547e7b649372a34e1f,879377990fa4ed5cbff0e50b502b5c1f7fb1a026ae9b503bbe3cdb92162460ba,916bd2172699002d843d52ce8c3b29db79f9a9af3b4db73b1abde1e914feb508,d0edac258af18cac27fb42ac27a1a17ffaa46d991397506d7943c440362c7fa4,6477b7379f3005db803992491bf916d76d06eb48fad0a2a4b3f09d1a467f717c,c9aedfd8f48bdbc72f787a0397f396764df9a93d76442bcbec34888c42113d08
"750000101","0","0","0","0","750000011"
"750000201","0","0","0","0","750000021"
"750000301","0","0","0","0","750000031"
"750000401","0","0","0","0","750000041"
"750000501","0","0","0","0","750000051"
"750000601","0","0","0","0","750000061"
"750000701","0","0","0","0","750000071"
"750000801","0","0","0","0","750000081"
"750000901","0","0","0","0","750000091"
"750001001","0","0","0","0","750000101"
"750001101","0","0","0","0","750000111"
"750001201","0","0","0","0","750000121"
"760100101","0","0","0","0","760100011"
"760100201","0","0","0","0","760100021"
"760100301","0","0","0","0","760100031"
"760100401","0","0","0","0","760100041"
"760100501","0","0","0","0","760100051"
"760100601","0","0","0","0","760100061"
"760100701","0","0","0","0","760100071"
"760100801","0","0","0","0","760100081"
"760100901","0","0","0","0","760100091"
"760101001","0","0","0","0","760100101"
"760200101","0","0","0","0","760200011"
"760200201","0","0","0","0","760200021"
"760200301","0","0","0","0","760200031"
"760200401","0","0","0","0","760200041"
"760200501","0","0","0","0","760200051"
"760200601","0","0","0","0","760200061"
"760200701","0","0","0","0","760200071"
"760200801","0","0","0","0","760200081"
"760200901","0","0","0","0","760200091"
"760201001","0","0","0","0","760200101"
"760300101","0","0","0","0","760300011"
"760300201","0","0","0","0","760300021"
"760300301","0","0","0","0","760300031"
"760300401","0","0","0","0","760300041"
"760300501","0","0","0","0","760300051"
