d16da97a3989e03440a84688301e2d3327a61a6d5cd3194cf2ddef731a7697dc,e4df0e516cb366ac338f006bed1320686dab35f006b2fd2cbbe65a2e1a3a3bb2,17324469701176d539c08907332a819716f0114e12164761c9790f25ccc1d76b,74d1a51b5536eb0a4e02c85e85dc8fc0f0c56de64365f28b90534b1647e24829,636478c10f568e6ecff41ff0855806ebda361423e36866d3e484a96af0ec3767,284a24fce8dc2fc31b7c6dc8b9371d7555bdeed57b0ba29f0e76b87ca25ab40b,53d3d8392377876b84095c511787160235a3f0b70ccdaf49994a24e9929cac0f,62316f1bd459a36614c8272de0ed42820cf7f95968fd9abdda5dc3f1bdba8e7b,b35a9102e308c0f755460eedac850000be22f6038e195f9aeb509901fa58cdb0,8bb300d1ffb2d92880e03b9e1d01f686e756dacbc0102831feec4725350fcb11,4b204b60e77feb78ad45014c5975b23c2f13a18d6099f5b719a206536b26c39b,fd05a6553ef6754667dde24d8597cbd5413ab3145e1c878c0913c387064a816d,946732272d0a99dada948030c1fa2d66a6dcfd88186c4a123898ef4abea56853,0fea837621d0fcfe8f659fd6de9aae2226af2a8c0455a0b89fe7efad09c3c3f3,4c80889daa79d88d57b402e764aab15ff19d7e912729287978e2b2bacd7e0eb9,d1193c37465be6104017f2e3ff0f486ea7429f8e439962788dc4b5d6438f8c55,0072af2e4f1fd381dbae15e7b2c54155638a22424421b585d0f8b805c8fdd510,f18e1cb9a1681f880a5f36a22d3591a081cac7ef1d9979ce40ffca2cd2ff05f7,9b21c6f298cfdaced89ecbccb6338095202c27c375c75a91d383a477d37adb01,3b7c2c513068332a089d569aab14695cc3d8366d318638f167966a3b38da1167,d00133360d1086701f2cae90588e0caf916502912e921ff28403b98003ec80ac
"打倒１次佐賀牛頭怪（NORMAL）","20201001","2026/02/22 16:00:00","20201","2","30","72001","102","0","1016","30001","6114","1","2","0","0","0","50","0","0","10102"
"打倒１次佐賀牛頭怪（HARD）","20201002","2026/02/22 16:00:00","20202","2","30","72001","103","0","1016","30001","6114","1","2","0","0","0","100","0","0","10103"
"打倒１次佐賀牛頭怪（VERY HARD）","20201003","2026/02/22 16:00:00","20203","2","30","72001","104","0","1016","30001","6114","1","2","0","0","0","150","0","0","10104"
"打倒５次佐賀牛頭怪（全難易度皆可）","30001","2026/02/22 16:00:00","20204","2","31","24030","105","25011","1016","30001","6114","5","2","25012","3000","3000","1","2","2","10105"
"打倒40次佐賀牛頭怪（全難易度皆可）","30001","2026/02/22 16:00:00","20205","2","31","90005","106","0","1016","30001","6114","40","2","0","0","0","50","0","0","10106"
"對佐賀牛頭怪造成1,000,000,000累積傷害","30001","2026/02/22 16:00:00","20206","2","32","25013","107","25014","1016","30001","6114","1000000000","2","0","3000","0","3000","2","0","10107"
"對佐賀牛頭怪造成2,000,000,000累積傷害","30001","2026/02/22 16:00:00","20207","2","32","25021","108","0","1016","30001","6114","2000000000","2","0","0","0","3000","0","0","10108"
"在１場戰鬥中對佐賀牛頭怪造成30,000,000傷害","30001","2026/02/22 16:00:00","20208","2","33","25015","109","0","1016","30001","6114","30000000","2","0","0","0","3000","0","0","10109"
"在１場戰鬥中對佐賀牛頭怪造成120,000,000傷害","30001","2026/02/22 16:00:00","20209","2","33","25021","110","0","1016","30001","6114","120000000","2","0","0","0","3000","0","0","10110"
"和佐賀牛頭怪進行１場戰鬥（全難易度皆可）","30001","2026/02/22 16:00:00","20210","1","29","72001","101","0","1015","30001","6114","1","2","0","0","0","50","0","0","10101"
