00fccdf3260e5ec4646053159e7637a25d46d8b7bba9fff48e503a6b1bcdccd3,0b664046216ee375cd32b96ae599a32c5cc1ede3cf22f90628d05c740b28f3dc,08bef2d73a201f235d574f30bf8be0258da9cbc34a4f4a67da6cd31c803cea0e,04f94bf919f31a83855409c0566d5b9dc00e34a16919f8cac32de72c327f1d95,b593639bb46c5627b1087506fb3f37df174b79fd6d4cf20eff8e974db165c915
"0","1","1","2700","1"
"0","2","1","3600","2"
"0","3","1","5400","3"
"1","4","1","3600","1"
"1","5","1","5400","2"
"1","6","1","7200","3"
"0","7","2","1800","1"
"0","8","2","2700","2"
"0","9","2","3600","3"
"1","10","2","2700","1"
"1","11","2","4050","2"
"1","12","2","5400","3"
"0","13","3","1800","1"
"0","14","3","2700","2"
"0","15","3","3600","3"
"1","16","3","2700","1"
"1","17","3","4050","2"
"1","18","3","5400","3"
"0","19","4","1800","1"
"0","20","4","2700","2"
"0","21","4","3600","3"
"1","22","4","2700","1"
"1","23","4","4050","2"
"1","24","4","5400","3"
