78cdf4fbb9b741c5d2516886017f78beae27cd2b59a96e2936d0276a27df3845,459a03c096f4993b7e38585b4fb5cd2426e050414712e9a84e9caa5b3c0b74c8,4b6411dbe81097a27d65059172ab71de3008335c635da8dde94f9a6c81ae3435,47137a8d54ef825958d091c7694f5cf9eab55fa6cb31b823729937faa279f716,083b657c1d4f3695a445755acb2bf45640fd205ecc3a7f491063a7fd006b3b83,13cf9606d14b3450586fd5cc9eacda58820aad7962d5a8c66f831a8a92b57e0b,a15f7a02e6bd47ec38bef23d0ba03025b2b7cfefdbcc8661b166ba2e4b013920,abaa51b8679669354d7b7f20fcefd7223541ba4c7e001379c0332766f896d1cf,1ede4603061ae1428aef10b8b56ab955e467014218b140f7234d7fed82b60b41,8e475ca11bf18926ab3a89590a3ede74b7df9354ba11eb356194bf8815ec852a,f69a309bd477e2c13f26ca071ecaf55431f240560996d93fdcbbfbc386c1458a
"5","70","dsb_idle_normal","-345","10","1010801001","2","1010801","0","-165","1"
"5","70","dsb_idle_worry","-345","4","1010801002","2","1010801","1","165","2"
"5","70","dsb_lago","-350","10","1010801003","2","1010801","0","-215","99"
"31","0","","1","1","1010801004","1","1010801","","0","1"
"31","0","","1","3","1010801005","1","1010801","","0","3"
"31","0","","1","4","1010801006","1","1010801","","0","4"
"31","0","","1","14","1010801007","1","1010801","","0","10"
"31","0","","1","24","1010801008","1","1010801","","0","20"
"31","155","","1","34","1010801009","1","1010801","","-168","30"
"31","-155","","1","34","1010801010","1","1010801","","-168","31"
"31","-222","","1","42","1010801011","1","1010801","","-175","32"
"31","0","","1","40","1010801012","0","1010801","","0","40"
"13","","","","1","1010801013","","1010801","","","170"
"13","","","","2","1010801014","","1010801","","","170"
"91","","","","0","1010801015","","1010801","","",""
"23","1","","","se_10044200","1010801016","","1010801","","","se_10044200_cmn_amb"
"23","0","","","se_10044200","1010801017","","1010801","","","se_10044200_cmn_steam"
"93","","","","6","1010801018","","1010801","","","0"
"23","1","","","se_10044200","1010801019","","1010801","","","se_10044200_hotspring_04"
"93","","","","1.5","1010801020","","1010801","","","0"
"3","1","","","2","1010801021","0.5","1010801","","","dsb_talk_anger_Ex8"
"21","0","","","vo_dsb_1010801","1010801022","","1010801","","0","vo_dsb_1001"
"11","10","0.2","1","2","1010801023","0","1010801","0","1","好、好燙～！！\n這裡的水溫很奇怪耶……\n老大，這是怎麼回事！？"
"91","","","","0","1010801024","","1010801","","",""
"3","1","","","2","1010801025","0.5","1010801","","","dsb_idle_worry"
"3","1","","","1","1010801026","0.5","1010801","","","dsb_talk_worry_Ex3"
"21","0","","","vo_dsb_1010801","1010801027","","1010801","","0","vo_dsb_1002"
"11","10","0.2","1","1","1010801028","0","1010801","0","1","現在別叫我老大，\n要叫我小老闆娘呀～？"
"91","","","","0","1010801029","","1010801","","",""
"3","1","","","1","1010801030","0.5","1010801","","","dsb_idle_normal"
"3","0","","1","2","1010801031","0.5","1010801","0.5","dsb_talk_doya_sing_loop","dsb_talk_doya_sing"
"21","0","","","vo_dsb_1010801","1010801032","","1010801","","0","vo_dsb_1003"
"11","10","0.2","1","2","1010801033","0","1010801","0","1","嘖。\n什～麼小老闆娘啊……\n明明就是性格扭曲的老太婆老闆娘。"
"91","","","","0","1010801034","","1010801","","",""
"3","1","","","2","1010801035","0.5","1010801","","","dsb_idle_doya_blink"
"3","1","","","1","1010801036","0.5","1010801","","","dsb_talk_sad2_talkjoy2"
"21","0","","","vo_dsb_1010801","1010801037","","1010801","","0","vo_dsb_1004"
"11","10","0.2","1","1","1010801038","0","1010801","0","1","祈梨……\n妳剛才說什麼？"
"91","","","","0","1010801039","","1010801","","",""
"3","1","","","1","1010801040","0.5","1010801","","","dsb_idle_normal"
"3","0","","1","2","1010801041","0.2","1010801","0.5","dsb_talk_surprise1_2","dsb_surprise_inori"
"21","0","","","vo_dsb_1010801","1010801042","","1010801","","0","vo_dsb_1005"
"11","10","0.2","1","2","1010801043","0","1010801","0","1","沒沒沒、沒有，我什麼都沒說喔～\n倒是這座溫泉！\n這熱度不尋常……\n裡頭肯定有危險的東西！"
"91","","","","0","1010801044","","1010801","","",""
"3","1","","","2","1010801045","0.5","1010801","","","dsb_idle_surprise1_normal"
"3","1","","","1","1010801046","0.5","1010801","","","dsb_talk_bitter"
"21","0","","","vo_dsb_1010801","1010801047","","1010801","","0","vo_dsb_1006"
"11","10","0.2","1","1","1010801048","0","1010801","0","1","說得真難聽～\n裡面沒有危險的東西哦～\n……應該說這東西\n祈梨也很熟呀。"
"91","","","","0","1010801049","","1010801","","",""
"3","1","","","1","1010801050","0.5","1010801","","","dsb_idle_normal"
"3","1","","","2","1010801051","0.5","1010801","","","dsb_sniff"
"21","0","","","vo_dsb_1010801","1010801052","","1010801","","0","vo_dsb_1007"
"11","10","0.2","1","2","1010801053","0","1010801","0","1","這麼說來……嗅嗅。\n我好像在哪裡聞過\n這泉水的味道。"
"91","","","","0","1010801054","","1010801","","",""
"3","1","","","2","1010801055","0.5","1010801","","","dsb_idle_normal"
"3","1","","","1","1010801056","0.5","1010801","","","dsb_talk_joy3"
"21","0","","","vo_dsb_1010801","1010801057","","1010801","","0","vo_dsb_1008"
"11","10","0.2","1","1","1010801058","0","1010801","0","1","對吧～？\n正確答案是……\n吃了會噴火的樹果，\n我向似龍生物拿來的～☆"
"91","","","","0","1010801059","","1010801","","",""
"3","1","","","1","1010801060","0.5","1010801","","","dsb_idle_normal"
"3","0","","1","2","1010801061","0.5","1010801","0.5","dsb_talk_guts2_loop","dsb_talk_guts2"
"21","0","","","vo_dsb_1010801","1010801062","","1010801","","0","vo_dsb_1009"
"11","10","0.2","1","2","1010801063","0","1010801","0","1","喔喔！？\n是那個火焰果實啊！\n那水這麼熱也說得通了！\n那傢伙還好嗎？"
"91","","","","0","1010801064","","1010801","","",""
"3","1","","","2","1010801065","0.5","1010801","","","dsb_idle_guts2"
"3","1","","","1","1010801066","0.5","1010801","","","dsb_talk_normal"
"21","0","","","vo_dsb_1010801","1010801067","","1010801","","0","vo_dsb_1010"
"11","10","0.2","1","1","1010801068","0","1010801","0","1","嗯☆\n牠好像還記得我呢？\n馬上就把果實分給我了～♪\n心甘情願～地喔？"
"91","","","","0","1010801069","","1010801","","",""
"3","1","","","1","1010801070","0.5","1010801","","","dsb_hot"
"21","0","","","vo_dsb_1010801","1010801071","","1010801","","0","vo_dsb_1011"
"11","10","0.2","1","1","1010801072","0","1010801","0","1","不過……\n呼。\n是我果實加太多了嗎～？\n感覺有點發熱了～"
"91","","","","0","1010801073","","1010801","","",""
"3","1","","","1","1010801074","0.5","1010801","","","dsb_hot_loop"
"3","1","","","2","1010801075","0.3","1010801","","","dsb_talk_thinking_Ex9"
"21","0","","","vo_dsb_1010801","1010801076","","1010801","","0","vo_dsb_1012"
"11","10","0.2","1","2","1010801077","0","1010801","0","1","（這、這是……好機會！\n如果老大比我先泡到頭昏，\n到時候老大就比我還遜了！\n就等於是我贏了！The‧以下犯上！）"
"91","","","","0","1010801078","","1010801","","",""
"3","0","","1","2","1010801079","0.5","1010801","0.5","dsb_talk_arm_crossed_Ex10_loop","dsb_talk_arm_crossed_Ex10"
"21","0","","","vo_dsb_1010801","1010801080","","1010801","","0","vo_dsb_1013"
"11","10","0.2","1","2","1010801081","0","1010801","0","1","呵呵呵……\n這場比賽我贏定了──！\n啊──哈哈哈哈！"
"93","","","","5.6","1010801082","","1010801","","","1"
"3","0","","1","2","1010801083","0.5","1010801","0","dsb_ahaha_loop","dsb_ahaha_in"
"91","","","","1010801081","1010801084","","1010801","","",""
"32","","","","40","1010801085","","1010801","","","1"
"93","","","","1.5","1010801086","","1010801","","","0"
"3","1","","","2","1010801087","0","1010801","","","dsb_inori_dizzy"
"3","1","","","1","1010801088","0","1010801","","","dsb_idle_normal"
"93","","","","0.5","1010801089","","1010801","","","0"
"22","","","","0","1010801090","","1010801","","","0"
"93","","","","1","1010801091","","1010801","","","0"
"3","0","","1","1","1010801092","0.5","1010801","0.2","dsb_talk_joy3","dsb_smile4"
"21","0","","","vo_dsb_1010801","1010801093","","1010801","","0","vo_dsb_1014"
"11","10","0.2","1","1","1010801094","0","1010801","0","1","嗯──♪\n終於暖和起來了～\n祈梨，對吧？"
"91","","","","0","1010801095","","1010801","","",""
"3","1","","","1","1010801096","0.5","1010801","","","dsb_idle_normal"
"21","0","","","vo_dsb_1010801","1010801097","","1010801","","0","vo_dsb_1015"
"11","10","0.2","1","2","1010801098","0","1010801","0","1","噫……\n噫噫噫噫……\n我要變成水煮龍人族了～！"
"91","","","","0","1010801099","","1010801","","",""
"22","","","","0","1010801100","","1010801","","","0"
"23","0","","","se_10044200","1010801101","","1010801","","","se_10044200_get_out_water"
"3","0","","1","2","1010801102","0.2","1010801","0.2","dsb_inori_stand_up_loop","dsb_inori_stand_up_in"
"3","0","","1","1","1010801103","0.3","1010801","0.2","dsb_idle_normal","dsb_smile2"
"93","","","","0.3","1010801104","","1010801","","","0"
