985d02061ed13a6c6ed25dd8052e4e6d5bbc66fcd0117e1303a365a12494f3a9,5f72d79bde265673669d0123d0e56d089903161aad659e0d7c742e7c45612a9a,765149d6a83931c3fd4cef526c3f1711b1c179980e7a145f94d3a39a05bd0614,15dc8df5336fa0adf57a06ff44780d0f45a5d4d3d0165d5cc6f57a75b9940a1a,d8d8b6fdc7347aad73b6cd418210674f592a6e96a9e29a77655821115c55e991,58a7a061ff9379b55cab5537eae705648769f90ba16f0da459b39539ead4b278,12b0cea1021095ddb890061823cda6d4971f9ff4dfdeb51d34b35816e40a358a,0f328d1caa81447f989935b3b5086ae562a2b6dd3ba057c870a50e1828cc2601,0e7b524ee92983da4b6e7b7c9c3fccb4cc80638363ab931756ec78d604b40ef8,d50319ad5b4d5766a8eb88d996f23fd08d82cba18c611ca24c28c271992afb26,724dd9a659bb22dc0659ed4d549261e80c6086453cf7072b47767ac91be2ed86
"1","113511","1010001","1","1","1.65","100","pkb_idle_normal","-175","1","64"
"1","pkb_talk_wish","1010002","","113511","0.2","1","","","3",""
"1","vo_minigame_1006_top_101","1010003","","vo_minigame_1006","","0","","","21","0"
"1","今天也和老師\n一起努力加油吧～","1010004","0","113511","0","8","0","0","11","0"
"1","","1010005","","0","","","","","91",""
"1","pkb_idle_normal","1010006","","113511","0.2","1","","","3",""
"2","113511","1020001","1","1","1.65","100","pkb_idle_normal","-175","1","64"
"2","pkb_talk_wish","1020002","","113511","0.2","1","","","3",""
"2","vo_minigame_1006_top_102","1020003","","vo_minigame_1006","","0","","","21","0"
"2","老師很相信\n大家的實力喔～！\n要加油喲～♪","1020004","0","113511","0","6","0.5","0","11","0"
"2","","1020005","","6","","","","","93",""
"2","pkb_talk_fun","1020006","","113511","0.2","0","","1","3","pkb_idle_normal"
"2","","1020007","","1020004","","","","","91",""
"2","pkb_idle_normal","1020008","","113511","0.2","1","","","3",""
"3","113511","1030001","1","1","1.65","100","pkb_idle_normal","-175","1","64"
"3","pkb_smile","1030002","0.2","113511","0.2","0","","1","3","pkb_idle_normal"
"3","vo_minigame_1006_top_103","1030003","","vo_minigame_1006","","0","","","21","0"
"3","要小心別受傷喔，\n不可以勉強自己～♪","1030004","0","113511","0","6","0","0","11","0"
"3","","1030005","","2","","","","","93",""
"3","pkb_talk_wish","1030006","","113511","0.2","1","","","3",""
"3","","1030007","","1030004","","","","","91",""
"3","pkb_idle_normal","1030008","","113511","0.2","1","","","3",""
"4","3","1040001","1","3","57","100","pkb_idle_normal_l","-155","5","64"
"4","pkb_talk_arm_crossed_l","1040002","0.2","3","0.2","0","","1","3","pkb_idle_arm_crossed_l"
"4","vo_minigame_1006_top_601","1040003","","vo_minigame_1006","","0","","","21","0"
"4","今天的練習\n我也不會手下留情的！\n好好跟上我吧！","1040004","","3","0","8","0","0","11","0"
"4","","1040005","","0","","","","","91",""
"4","pkb_idle_normal_l","1040006","","3","0.2","1","","","3",""
"5","3","1050001","1","3","57","100","pkb_idle_normal_l","-155","5","64"
"5","pkb_talk_arm_crossed_l","1050002","0.2","3","0.2","0","","1","3","pkb_idle_arm_crossed_l"
"5","vo_minigame_1006_top_602","1050003","","vo_minigame_1006","","0","","","21","0"
"5","很好！\n提起幹勁\n開始練習吧──！","1050004","","3","0","8","0","0","11","0"
"5","","1050005","","2","","","","","93",""
"5","pkb_talk_handsup_l","1050006","0.2","3","0.2","0","","1","3","pkb_idle_normal_l"
"5","","1050007","","1050004","","","","","91",""
"5","pkb_idle_normal_l","1050008","","3","0.2","1","","","3",""
"6","3","1060001","1","3","57","100","pkb_idle_normal_l","-155","5","64"
"6","pkb_talk_arm_crossed_l","1060002","0.2","3","0.2","0","","1","3","pkb_idle_arm_crossed_l"
"6","vo_minigame_1006_top_603","1060003","","vo_minigame_1006","","0","","","21","0"
"6","可別因為這是練習，\n就讓我看見你們\n散漫的樣子啊！","1060004","","3","0","8","0","0","11","0"
"6","","1060005","","3","","","","","93",""
"6","pkb_talk_guts_l","1060006","","3","0.2","0","","1","3","pkb_idle_guts_l"
"6","","1060007","","1060004","","","","","91",""
"6","pkb_idle_normal_l","1060008","","3","0.2","1","","","3",""
"7","113411","1070001","1","1","1.65","100","pkb_idle_normal","-175","1","64"
"7","pkb_talk_fun","1070002","0.2","113411","0.2","0","","1","3","pkb_talk_joy1"
"7","vo_minigame_1006_top_201","1070003","","vo_minigame_1006","","0","","","21","0"
"7","加油～加油～！\n今天也要努力加油喔！\n打起精神上吧～！","1070004","0","113411","0","8","0","0","11","0"
"7","","1070005","","3.4","","","","","93",""
"7","pkb_talk_handsup","1070006","0.2","113411","0.2","0","","1","3","pkb_idle_normal"
"7","","1070007","","1070004","","","","","91",""
"7","pkb_idle_normal","1070008","","113411","0.2","1","","","3",""
"8","113411","1080001","1","1","1.65","100","pkb_idle_normal","-175","1","64"
"8","pkb_talk_joy2","1080002","","113411","0.2","1","","","3",""
"8","vo_minigame_1006_top_202","1080003","","vo_minigame_1006","","0","","","21","0"
"8","初音也要一起\n幫忙練習～！\n閃亮亮～☆","1080004","0","113411","0","8","-1","0","11","0"
"8","","1080005","","3.6","","","","","93",""
"8","pkb_hatsune_kiran","1080006","","113411","0.2","0","","","3",""
"8","","1080007","","1080004","","","","","91",""
"8","pkb_idle_normal","1080008","","113411","0.2","1","","","3",""
"9","113411","1090001","1","1","1.65","100","pkb_idle_normal","-175","1","64"
"9","pkb_talk_joy2","1090002","","113411","0.2","1","","","3",""
"9","vo_minigame_1006_top_203","1090003","","vo_minigame_1006","","0","","","21","0"
"9","我也想試著投投看！\n我要用超能……不對，\n是用魔法，來投出\n很強力的球！","1090004","0","113411","0","6","0","0","11","0"
"9","","1090005","","3","","","","","93",""
"9","pkb_surprise","1090006","0.2","113411","0.2","0","","1","3","pkb_idle_surprise1"
"9","","1090007","","1","","","","","93",""
"9","pkb_talk_joy3","1090008","","113411","0.2","1","","","3",""
"9","","1090009","","1090004","","","","","91",""
"9","pkb_idle_normal","1090010","","113411","0.2","1","","","3",""
"10","106531","1100001","1","1","1.65","100","pkb_idle_normal","-175","1","64"
"10","pkb_talk_arm_crossed","1100002","","106531","0.2","0","","1","3","pkb_idle_arm_crossed"
"10","vo_minigame_1006_top_301","1100003","","vo_minigame_1006","","0","","","21","0"
"10","欸，趕快開始練習吧，\n我已經按捺不住，\n好想趕快投球啊！","1100004","0","106531","0","8","0","0","11","0"
"10","","1100005","","2.8","","","","","93",""
"10","pkb_talk_joy1","1100006","","106531","0.2","1","","","3",""
"10","","1100007","","1100004","","","","","91",""
"10","pkb_idle_normal","1100008","","106531","0.2","1","","","3",""
"11","106531","1110001","1","1","1.65","100","pkb_idle_normal","-175","1","64"
"11","pkb_talk_normal","1110002","","106531","0.2","1","","","3",""
"11","vo_minigame_1006_top_302","1110003","","vo_minigame_1006","","0","","","21","0"
