59500fd7fc48b7563b00982d23de7827f86d51a4cd63c3fe99764e4d50b75d66,d7c77182a78ca40707cb8998f8cdaceed156a281f4ba8d2e5d45a661f999cbd5,268cb2e8061cf24cddda637427329acd89611849c8ca63f6c9a97459582fbb19,84aa7669448c4b2833f2c5614d198a58b6d53eb28f0ffac431ad1a7368415bcc,68ed6772fcc833c1f4b344770ad9971a89398f241afbe638f76ac5a8754aac7d,7a5eca1c1d83f3fbfb5e5ab80e12c46b97c0bc056c7e649436fdf9ecf8aed984,dc9d758b45e99021c23f42c7789396c2a61da061bdbb70187123876afa3e91b1,6fb7e08d8cf137c198b2d00cd4a8777a052c2ec0363af275fb09a3066dce90fe,69df05f5865eb1c723fd2317f05a12dae08a55157744c8e9d261aeff13368b21,84e2c35960105bb23c3cd58230a822dd78c74a65177cccb6373d9c4e8f22fd3c,c7975dfdd6447a05c1a884792cc34dd669b59397da565b7053afd867703d8beb,d330f6c7a290b3b1c44fd39eefe3aaee43feaefb85d1c12ac0ff60f5d69da14a,0753dd195e98ab64486c781c8fa3c7278158e2ea33a5b61accdad48a48622cce
"狗","豹","3110001","1","1","0","狼","0","0","0","0","0","豬"
"二","四","3110002","1","1","0","一","0","0","0","0","0","三"
"鱘","鮑","3110003","0","1","0","鱷","0","0","0","1","0","鰆"
"要","也","3110004","1","1","0","花","0","0","0","0","0","亭"
"松","椰","3110006","1","1","0","杉","0","0","0","0","1","椒"
"禁食","容易","3110007","1","1","0","快","0","0","0","1","0","牢固地"
"收集","得體","3110009","1","0","0","正確","0","0","0","1","1","改正"
"不過","因此","3110010","1","1","0","但是","0","0","0","0","0","然後"
"步步身高","身高長高","3110011","1","1","0","氣球往上身高","0","0","0","0","0","測量身高"
"打擊","衝鋒","3110012","1","1","0","罷工","0","0","0","1","0","好球"
"畚","奘","3110013","1","1","0","必","0","0","0","0","0","要"
"五","二","3110015","1","1","0","六","0","0","0","0","0","一"
"突襲","皇后","3111001","1","1","0","公主","0","0","0","0","0","刀刃"
"全體","炸裂","3111002","1","1","0","治癒","0","0","0","0","0","進攻"
"G","J","3120001","1","0","0","F","0","0","0","0","1","H"
"白皮膚","藍色的","3120002","1","1","0","金髮","0","0","0","0","0","黑髮美女"
"制裁","討伐","3120006","0","1","0","反對","0","0","0","1","0","批准"
"Sea","Distilled Water","3120007","1","1","0","Salt Water","0","0","0","0","0","Dam"
"美味多汁的","悠閒的","3120008","1","1","0","性感的","0","0","0","0","0","豪華的"
"精力恢復","重新再來","3120010","1","1","0","茶點","0","0","0","1","0","提神物"
