fd58fcaa0c04af1b54f343b95f53a37995bfe63cc9a1c41b78023b99ad448beb,881c1ebaed911cf89e4a48593cc35ef4680b81e3fcab98d1cc3b9b593eafd7d2,49ff12c7b2221c4040dbea7edac933ee446ccb0474d1d1901784bfa0a7f03609,bb98814b7f758c054737c5bfd6635565dd56fb0611bc02f52dc951a86a9edfd3,ef5657da01e402d848fb269c809d04f78d92502bca5cd613feda7f2e62f4ec03
"90009","#D23232","red","101","單手劍"
"90009","#D23232","red","102","雙手劍"
"90009","#D23232","red","103","短劍"
"90009","#D23232","red","104","槍"
"90009","#D23232","red","105","斧"
"90009","#D23232","red","106","弓"
"90009","#D23232","red","107","拳"
"90009","#D23232","red","108","盾"
"90009","#D23232","red","109","杖"
"90009","#D23232","red","110","書本"
"90010","#476FD8","blue","201","衣服"
"90010","#476FD8","blue","202","鎧甲"
"90010","#476FD8","blue","203","白長袍"
"90010","#476FD8","blue","204","黑長袍"
"90011","#E5681E","yellow","301","戒指"
"90011","#E5681E","yellow","302","手鐲"
"90011","#E5681E","yellow","303","項鍊"
"90011","#E5681E","yellow","304","寶珠"
"90011","#E5681E","yellow","305","耳環"
