d8da3a8f3a32c54a8ef63e523b776fbde385de181aa2d3714ee429a3baba088d,06ce3464085e1dfb5c5082c070c612d3841dd0d4b4dcc40fbfd9a8514e8ca651,825aa92e82ebac4a47623f5f1b280710ee9e9511441047ec6909b68be87c6437,6a4653c756090f8d0ae296cd4fb4bd9dd1fc5f8aa234ea2fbc6c8bfa41bbe500,2198d7a9637c9e2c11bc2b3926f0aaafdbfb17c6ff3d96dcb7f7893a0b1824e7,98b90851541d16ad2b4af3678795580d07f1eeb1eb6bc9a4da436eb4daea7c22,7d68b582f331ae8f3efbd66ce24abc4adde66eb7c3882f7ce01f10f6a2523179
"180010113","1","59","180010111","1","18001001","180010112"
"180010213","2","99","180010211","60","18001001","180010212"
"180010313","3","119","180010311","100","18001001","180010312"
"180010413","4","139","180010411","120","18001001","180010412"
"180010513","5","149","180010511","140","18001001","180010512"
"180010613","6","159","180010611","150","18001001","180010612"
"180010713","7","169","180010711","160","18001001","180010712"
"180010813","8","-1","180010811","170","18001001","180010812"
"180010123","9","59","180010121","1","18001002","180010122"
"180010223","10","99","180010221","60","18001002","180010222"
"180010323","11","119","180010321","100","18001002","180010322"
"180010423","12","139","180010421","120","18001002","180010422"
"180010523","13","149","180010521","140","18001002","180010522"
"180010623","14","159","180010621","150","18001002","180010622"
"180010723","15","169","180010721","160","18001002","180010722"
"180010823","16","-1","180010821","170","18001002","180010822"
"180010133","17","59","180010131","1","18001003","180010132"
"180010233","18","99","180010231","60","18001003","180010232"
"180010333","19","119","180010331","100","18001003","180010332"
"180010433","20","139","180010431","120","18001003","180010432"
"180010533","21","149","180010531","140","18001003","180010532"
"180010633","22","159","180010631","150","18001003","180010632"
"180010733","23","169","180010731","160","18001003","180010732"
"180010833","24","-1","180010831","170","18001003","180010832"
"180010143","25","59","180010141","1","18001004","180010142"
"180010243","26","99","180010241","60","18001004","180010242"
"180010343","27","119","180010341","100","18001004","180010342"
"180010443","28","139","180010441","120","18001004","180010442"
"180010543","29","149","180010541","140","18001004","180010542"
"180010643","30","159","180010641","150","18001004","180010642"
"180010743","31","169","180010741","160","18001004","180010742"
"180010843","32","179","180010841","170","18001004","180010842"
"180010943","33","189","180010941","180","18001004","180010942"
"180011043","34","199","180011041","190","18001004","180011042"
"180011143","35","-1","180011141","200","18001004","180011142"
"180010153","36","59","180010151","1","18001005","180010152"
"180010253","37","99","180010251","60","18001005","180010252"
"180010353","38","119","180010351","100","18001005","180010352"
"180010453","39","139","180010451","120","18001005","180010452"
"180010553","40","149","180010551","140","18001005","180010552"
"180010653","41","159","180010651","150","18001005","180010652"
"180010753","42","169","180010751","160","18001005","180010752"
"180010853","43","179","180010851","170","18001005","180010852"
"180010953","44","189","180010951","180","18001005","180010952"
"180011053","45","199","180011051","190","18001005","180011052"
"180011153","46","209","180011151","200","18001005","180011152"
"180011253","47","219","180011251","210","18001005","180011252"
"180011353","48","229","180011351","220","18001005","180011352"
"180011453","49","239","180011451","230","18001005","180011452"
"180011553","50","-1","180011551","240","18001005","180011552"
"180010163","51","59","180010161","1","18001006","180010162"
"180010263","52","99","180010261","60","18001006","180010262"
"180010363","53","119","180010361","100","18001006","180010362"
"180010463","54","139","180010461","120","18001006","180010462"
"180010563","55","149","180010561","140","18001006","180010562"
"180010663","56","159","180010661","150","18001006","180010662"
"180010763","57","169","180010761","160","18001006","180010762"
"180010863","58","179","180010861","170","18001006","180010862"
"180010963","59","189","180010961","180","18001006","180010962"
"180011063","60","199","180011061","190","18001006","180011062"
"180011163","61","209","180011161","200","18001006","180011162"
"180011263","62","219","180011261","210","18001006","180011262"
"180011363","63","229","180011361","220","18001006","180011362"
"180011463","64","239","180011461","230","18001006","180011462"
"180011563","65","249","180011561","240","18001006","180011562"
"180011663","66","259","180011661","250","18001006","180011662"
"180011763","67","-1","180011761","260","18001006","180011762"
"180010173","68","59","180010171","1","18001007","180010172"
"180010273","69","99","180010271","60","18001007","180010272"
"180010373","70","119","180010371","100","18001007","180010372"
"180010473","71","139","180010471","120","18001007","180010472"
"180010573","72","149","180010571","140","18001007","180010572"
"180010673","73","159","180010671","150","18001007","180010672"
"180010773","74","169","180010771","160","18001007","180010772"
"180010873","75","179","180010871","170","18001007","180010872"
"180010973","76","189","180010971","180","18001007","180010972"
"180011073","77","199","180011071","190","18001007","180011072"
"180011173","78","209","180011171","200","18001007","180011172"
"180011273","79","219","180011271","210","18001007","180011272"
"180011373","80","229","180011371","220","18001007","180011372"
"180011473","81","239","180011471","230","18001007","180011472"
"180011573","82","249","180011571","240","18001007","180011572"
"180011673","83","259","180011671","250","18001007","180011672"
"180011773","84","269","180011771","260","18001007","180011772"
"180011873","85","279","180011871","270","18001007","180011872"
"180011973","86","-1","180011971","280","18001007","180011972"
"180010183","87","59","180010181","1","18001008","180010182"
"180010283","88","99","180010281","60","18001008","180010282"
"180010383","89","119","180010381","100","18001008","180010382"
"180010483","90","139","180010481","120","18001008","180010482"
"180010583","91","149","180010581","140","18001008","180010582"
"180010683","92","159","180010681","150","18001008","180010682"
"180010783","93","169","180010781","160","18001008","180010782"
"180010883","94","179","180010881","170","18001008","180010882"
"180010983","95","189","180010981","180","18001008","180010982"
"180011083","96","199","180011081","190","18001008","180011082"
"180011183","97","209","180011181","200","18001008","180011182"
"180011283","98","219","180011281","210","18001008","180011282"
"180011383","99","229","180011381","220","18001008","180011382"
"180011483","100","239","180011481","230","18001008","180011482"
"180011583","101","249","180011581","240","18001008","180011582"
"180011683","102","259","180011681","250","18001008","180011682"
