d59d3b37f16cb179373d95d3e8b153490b4ba93ac247f0c5a2c03408d44ed788,b52a1a126640997ee995f7e0b9c248a2f93659a332623d711a2362493b03bbb9,006f6e3a38fa0028ef5d2a15b83f4a7a91cce169b2a904f7eecc3e7acffd7948,f0f556c95fa78481ed9172941c643d635e22c6b80a97264f0ef481c4415e4995,6a8f894fdaec9039d68b0cbc6cf7138765111b2b44df0e65a34c57f8f01b7846,3f0b5902ad36c284f8130eb35c620b22cfe81e2e3d208d7ac8eb801c8c8c1030,bee89f7959fa2beb1865ad9311187706fc9f4e541cf4ff9fabecd4f0b0b52eb7,4bcdb5d7c8e72e817856cb14e54b0ce58c986aadf83451d25a81559d9a82715d,d90b3cff2897a652cbc774bf2d4b5ebdeed69755727dde7ad40168d0ffea4c1d,c872d297c71ac4de2303c2b3965f42e9b095eab7cbc3e47f9ad3ad92de006d00
"1001","126501","萊拉耶爾","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","","1","10001","0","1"
"1002","105301","莫妮卡","取得最大1000里程","","","2","10001","0","2"
"1003","126401","克蘿茜","取得{0}個料理","","","3","1","0","1"
"1004","100501","茉莉","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","1","0","3"
"1005","101301","七七香","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","2","0","2"
"1006","104301","真琴","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","5","4","0","2"
"1007","102701","惠理子","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","5","3","0","3"
"1008","100901","杏奈","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","","6","7","0","1"
"1009","105101","深月","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","","1","10001","0","1"
"1010","101801","伊緒","取得最大1000里程","","","2","10001","0","2"
"1011","129701","涅妃‧涅羅","可以選擇使用骰子的\n正面或背面","可以選擇使用骰子的\n正面或背面","","8","0","0","2"
"1012","101601","鈴奈","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","1","0","3"
"1013","105601","流夏","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","重新擲{0}次骰子，\n若無法重擲，則獲得里程","4","2","0","2"
"1014","102001","美美","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","","5","3","0","3"
"1015","129601","安涅默涅","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","","6","7","0","1"
"1016","100401","禊","骰子擲出{0}時，\n可以讓對手休息{1}個回合","骰子擲出{0}時，可以讓對手休息{1}個回合","","10","1","1","2"
