cdcd67c020c4075501be4828d9fd160ad2c865ad6262c49b11cdf13da91d9557,55235346988f8ba01859d44497323c8afb0eb4b0222ca9677ce5521fb47726ba,a76e0dbfe8124e1ec0a9d987e5aae0602b40b2c169d41de595e5816a482781d5,e3ceec34c48aacd92779dd0a788903db303b5e980dfb4de5058bff4678971d7a,efa425e48fcd6799fd4e90b10e3941495d0a360060e5702776d782aaaf2dbd25,e726fbfb309393e6ef978a0192e69112a77edea41bf0339af5f9cb86f6c93083,eb8379a925be65b019419e75b6892224fa3b68c81ead030d2dab2cb2fdcfb8f5
"0","0","401021506","401021505","0","野豬雙胞胎 第1階段","401021507"
"0","401021908","401021906","401021905","0","大胃王 第1階段","401021907"
"0","0","401022106","401022105","0","人馬座 第1階段","401022107"
"0","0","401022306","401022305","0","水之里歐斯 第1階段","401022307"
"0","401025908","401025906","401025905","0","大胃王 第1階段 單人模式","401025907"
"0","0","401026106","401026105","0","人馬座 第1階段 單人模式","401026107"
"0","0","401026306","401026305","0","水之里歐斯 第1階段 單人模式","401026307"
"0","0","401031506","401031505","0","野豬雙胞胎 第2階段","401031507"
"0","401031908","401031906","401031905","0","大胃王 第2階段","401031907"
"0","0","401032106","401032105","0","人馬座 第2階段","401032107"
"0","0","401032306","401032305","0","水之里歐斯 第2階段","401032307"
"0","401035908","401035906","401035905","0","大胃王 第2階段 單人模式","401035907"
"0","0","401036106","401036105","0","人馬座 第2階段 單人模式","401036107"
"0","0","401036306","401036305","0","水之里歐斯 第2階段 單人模式","401036307"
"0","0","401041506","401041505","0","野豬雙胞胎 第3階段","401041507"
"0","401041908","401041906","401041905","0","大胃王 第3階段","401041907"
"0","0","401042106","401042105","0","人馬座 第3階段","401042107"
"0","0","401042306","401042305","0","水之里歐斯 第3階段","401042307"
"0","401045908","401045906","401045905","0","大胃王 第3階段 單人模式","401045907"
"0","0","401046106","401046105","0","人馬座 第3階段 單人模式","401046107"
