f6217b4ec29591aff6b98e839c3f0ecf441e17af4f0aaae13c25b545f5553f34,50ae0621f77be18c9a754041d7bee4018a6ff8597ad819cc91469f0ae8181431,53bbc7fdd0779b4d6062fd671b53e6c58da9e5d4b803e485c2c9e47aa271d971,a5d9bf8503890beb94c2ce424fcbdb463bf706c4e05b573950da55ba6bb51090,87d73d49e199a8c6d1214751071af3cfa82d9d18e4710c5b0de6ecb89843f562,a9490d2ab382191c3129287165cf2e0a8edaabeba9994fc2fd71fefb7afacd01,0535845c7f43c58624593431ebda11f0b3eae3b05e9b4457c65ce0c95369557a,10a633b689931367202d641905bea1fa188280bdd3dd7c0cccdcc29dbea71793,9235a2094944b4ce51dbd28ab1d58f22c09473b106518b7ac9deb0f9b7a9f547,da55d3c8b64dd6dafd73bfc81a9dc4e9b8f5d42afa61f688d5f187b61e8cbdb5,ad4ad5979dc66ba8ab07c21fc4e1e03ab3c7440d51d4f40877b3dd4ec62a9acc
"1021301001","1","1","","0","1","1021301","1","31","0",""
"1021301002","1","1","","0","2","1021301","2","31","0",""
"1021301003","1","1","","0","5","1021301","5","31","0",""
"1021301004","0","1","","0","10","1021301","10","31","0",""
"1021301005","0","1","","0","20","1021301","20","31","0",""
"1021301006","0","1","","0","21","1021301","21","31","0",""
"1021301007","0","1","","0","22","1021301","22","31","0",""
"1021301008","0","1","","0","100","1021301","101","31","0",""
"1021301009","0","1","","0","200","1021301","201","31","0",""
"1021301010","0","1","","0","300","1021301","301","31","0",""
"1021301011","1","-14","empty","0","1","1021301","1","5","27","0"
"1021301012","1","-14","empty","0","2","1021301","2","5","28","0"
"1021301013","1","-14","empty","0","3","1021301","2","5","26","0"
"1021301014","1","-14","empty","0","4","1021301","11","5","25","0"
"1021301015","1","-14","empty","0","5","1021301","12","5","24","0"
"1021301016","1","-24","empty","-10","6","1021301","11","5","13","0"
"1021301017","1","-24","empty","-10","7","1021301","12","5","12","0"
"1021301018","1","-14","empty","0","8","1021301","0","5","29","0"
"1021301019","1","-19","empty","-5","9","1021301","0","5","10","0"
"1021301020","0","1","","0.56","0.23","1021301","6","6","0.63","0"
"1021301021","0","1","","0.56","0.23","1021301","7","6","0.63","0"
"1021301022","0","1","","0.56","0.23","1021301","9","6","0.63","0"
"1021301023","","","","","","1021301","1","141","",""
"1021301024","","","","","","1021301","0","91","",""
"1021301025","","","","","0","1021301","0.033","93","",""
"1021301026","","","","","se_obtent_10213_drama_cook_lyrael","1021301","se_10067600","23","0",""
"1021301027","0","","","","raira_cook","1021301","1","3","0","0"
"1021301028","0","","","","raira_cook","1021301","2","3","0","0"
"1021301029","0","","","","raira_end","1021301","3","3","0","0"
"1021301030","0","","","","raira_cook","1021301","4","3","0","0"
"1021301031","0","","","","raira_white","1021301","5","3","0","0"
"1021301032","0","","","","raira_cook","1021301","6","3","0","0"
"1021301033","0","","","","raira_white","1021301","7","3","0","0"
"1021301034","0","","","","raira_cook","1021301","8","3","0","0"
"1021301035","0","","","","raira_cook_w","1021301","9","3","0","0"
"1021301036","","","","","0","1021301","3","93","",""
"1021301037","","","","0","vo_obtent_1021301_01","1021301","vo_obtent_1021301","21","0",""
"1021301038","","","","","0","1021301","2.366","93","",""
"1021301039","","","","","","1021301","1021301040","101","",""
"1021301040","","","","","0","1021301","se_obtent_10213_drama_cook_lyrael","24","",""
"1021301041","","","","","0","1021301","0","22","",""
"1021301042","0","0","","1","1","1021301","1","6","1","0"
