65ecd65ed9d273aae8aacf72af3bfe00bb1a8b8ba17b73b3fbed6759892018b3,f8248cda7167669edd9ca435324b329b1fb16f289b22b6cb32005a1257a8cee7,9946219a2a053074d9abd97e59fd107918f96bfd5f2b8aa0aeeb0ccb8aff4405,416dc30b0acb1f40986594298736cf9f18898c4dfa85f219a4cf675dfdd0261b,9c848ed3c92c076de502ac4caf8a57667e09773bfb0795f2c163aeefc67033d5,cada41d03c76f013cbb62867d165a4ce691a08e6ffba47bfbbba3914763aa62f,d86f410d08f6e83376f2b03e2365c8b4557411403996bcdfd344ae84a01586e8
"100721","0","0.8","-10","0.8","300900","31001"
"100722","0","0.7","-40","0.7","302300","31002"
"100261","0","0.8","-40","0.8","302400","31003"
"100283","0","0.9","-20","0.9","302500","31004"
"101611","0","0.9","-10","0.9","301700","31005"
"102174","0","0.7","-40","0.7","310100","31006"
"102751","-80","0.3","-60","0.3","399800","31007"
"103001","-20","0.9","20","0.9","314901","31008"
"103232","30","0.7","-110","0.7","318405","31009"
"103371","0","1","-10","1","320100","31010"
