d1e3f14fa13b241d900313361eb041b5eeae48e872fcca3ab4f51f0ee724661f,36db5fb9eac2aef6b476512e393f293d2e72c732862eb9234f51b292da799bb0,a8a91e8bc2b60be4d32c11f11ca14ccb6724d27e8cd3202b705706e71d3b03a0,035d72d48431410e3c5befd5688be5d050bceb30a6b8abebe0f090f2671208be,d858fa4eae7a47342ee6425a4850a5fb6f70e00b9448c81ee71f1f6754428d65
"100","10001","10","30","255"
"100","10002","10","34","110"
"100","10003","10","37","185"
"101","10004","10","41","388"
"100","10005","10","46","603"
"100","10006","10","51","696"
"100","10007","10","54","478"
"101","10008","10","58","240"
"100","10009","10","62","371"
"100","10010","10","67","253"
"100","10011","10","71","408"
"100","10012","10","75","342"
"101","10013","10","78","549"
"100","10014","10","82","696"
"100","10015","10","87","468"
"100","10016","10","92","641"
"100","10017","10","96","701"
"100","10018","10","101","531"
"100","10019","10","105","387"
"100","10020","10","108","315"
"100","10021","10","112","241"
"100","10022","10","117","316"
"100","10023","10","120","741"
"100","10024","10","125","1007"
"101","10025","10","129","730"
"100","10026","10","133","647"
"100","10027","10","137","836"
"100","10028","10","140","1087"
"100","10029","10","143","818"
"100","10030","10","147","558"
"101","10031","10","152","228"
"100","10032","10","155","569"
"101","10033","10","159","724"
"101","10034","10","162","367"
"100","10035","10","165","9"
"100","10036","10","170","101"
"101","10037","10","173","509"
"100","10038","10","178","214"
"400","10039","10","183","511"
"100","10040","10","188","477"
"100","10041","10","192","739"
"101","10042","10","197","485"
"100","10043","10","202","670"
"100","10044","10","205","339"
"100","10045","10","210","193"
"101","10046","10","215","376"
"100","10047","10","219","719"
"100","10048","10","224","1012"
"100","10049","10","227","1199"
"100","10050","10","232","870"
"100","10051","10","237","521"
"100","10052","10","240","632"
"100","10053","10","244","263"
"101","10054","10","247","180"
"100","10055","10","252","295"
"200","10056","10","255","594"
"100","10057","10","259","252"
"100","10058","10","262","623"
"101","10059","10","265","219"
"100","10060","10","270","379"
"101","10061","10","273","218"
"100","10062","10","277","478"
"100","10063","10","281","415"
"100","10064","10","284","700"
"100","10065","10","289","411"
"100","10066","10","292","326"
"101","10067","10","296","763"
"100","10068","10","300","591"
"300","10069","10","304","837"
"100","10070","10","307","432"
"100","10071","10","310","379"
"101","10072","10","314","31"
"100","10073","10","317","216"
"100","10074","10","321","412"
"101","10075","10","326","183"
"100","10076","10","330","57"
"100","10077","10","335","204"
"100","10078","10","340","486"
"100","10079","10","345","858"
"101","10080","10","349","584"
"100","10081","10","352","178"
"100","10082","10","357","448"
"100","10083","10","361","793"
"101","10084","10","364","1102"
"100","10085","10","369","975"
"100","10086","10","374","1132"
"101","10087","10","379","922"
"100","10088","10","383","752"
"100","10089","10","386","457"
"100","10090","10","391","367"
"101","10091","10","395","410"
"100","10092","10","398","93"
"100","10093","10","402","425"
"100","10094","10","407","54"
"100","10095","10","410","255"
"100","10096","10","414","318"
"101","10097","10","417","535"
"100","10098","10","422","467"
"100","10099","10","425","695"
"100","10100","10","429","820"
"101","10101","10","434","676"
"100","10102","10","439","880"
"100","10103","10","444","656"
"400","10104","10","447","849"
"100","10105","10","452","1077"
"100","10106","10","456","1195"
"101","10107","10","461","1053"
"100","10108","10","464","975"
"300","10109","10","467","762"
"100","10110","10","471","1120"
"101","10111","10","476","1062"
"100","10112","10","481","815"
"100","10113","10","484","680"
"100","10114","10","488","626"
"100","10115","10","492","658"
"100","10116","10","495","804"
"100","10117","10","500","645"
"200","10118","10","503","716"
"100","10119","10","506","792"
"100","10120","10","510","891"
"100","10121","10","514","1092"
"101","10122","10","519","1181"
"100","10123","10","522","1102"
"101","10124","10","526","1042"
"100","10125","10","529","846"
"100","10126","10","532","880"
"101","10127","10","537","945"
"100","10128","10","541","892"
"100","10129","10","546","1018"
"101","10130","10","551","866"
"100","10131","10","554","630"
"101","10132","10","558","543"
"100","10133","10","563","320"
"100","10134","10","566","421"
"101","10135","10","570","483"
"100","10136","10","575","600"
"100","10137","10","580","505"
"100","10138","10","583","321"
"101","10139","10","586","268"
"100","10140","10","590","373"
"100","10141","10","595","579"
"400","10142","10","599","386"
"100","10143","10","604","511"
"100","10144","10","608","599"
"101","10145","10","612","639"
"100","10146","10","615","731"
"300","10147","10","619","689"
"100","10148","10","624","478"
"101","10149","10","628","583"
"100","10150","10","633","338"
"100","10151","10","636","142"
"100","10152","10","640","383"
