12d0268703b61e27022e2a62cd017daa97c0e68ef20204873697098ff5a95805,639f39b54802ebcd68b8e0d09fbb1b4de2c65f59372484a4d164b6fbc49f0835,9c422376704ea0655dc3b427b40a51c42acc8fe045b19c910702d7118060d535,2882fc32a45808d95cabeb7653da0fa6cb2ae1a10067dc5a2bc73105113a7386,72f69584749648bfb63f7732859aba54ee7e5e7e49fe831114c539ca10cee2dd,c6fa47f69a665a678a5c2859c2297daf9324290363ef2c43ee28bd265c368b2f,27b931043da43e523122c760005c6ad85ee0ee05d946cdee78c25ca9f3ebcfa5,dc71095c66df3de9182bd6328562366632cc029eef9a137576e424a597c4581b,05ce4c8ed8bc52a6af71ab972abf93a2bc1047a5dff33e5e4f780d8115a7a520,6f2c44e92c3299fe7562fb765ce9b1769c318d263dbb34e9109a9d626a1c3aa1
"2","","1","vo_10011600_0101","1010001","0","0","1","vo_10011600","0"
"1","　從明天開始","2","0","1010002","0","0","1","0","8"
"4","","3","0","1010003","1","1.625","1","0","0"
"1","就要入學聖德蕾莎女學院了！","4","0","1010004","0","0","1","0","10"
"4","","5","0","1010005","1","4","1","0","0"
"2","","6","vo_10011600_0102","1010006","0","0","1","vo_10011600","0"
"1","　為什麼","7","0","1010007","0","0","1","0","8"
"4","","8","0","1010008","1","1.375","1","0","0"
"1","事情會變成這個樣子呢？\n","9","0","1010009","0","0","1","0","9"
"4","","10","0","1010010","1","3.33333333333333","1","0","0"
"2","","11","vo_10011600_0103","1010011","0","0","1","vo_10011600","0"
"1","雖然美里老師","12","0","1010012","0","0","1","0","8"
"4","","13","0","1010013","1","1.75","1","0","0"
"1","說我一定沒問題的……","14","0","1010014","0","0","1","0","10"
"4","","15","0","1010015","1","3","1","0","0"
"1","但是我一定辦不到啊～！\n","16","0","1010016","0","0","1","0","8"
"4","","17","0","1010017","1","3.875","1","0","0"
"2","","18","vo_10011600_0104","1010018","0","0","1","vo_10011600","0"
"1","可是。","19","0","1010019","0","0","1","0","8"
"4","","20","0","1010020","1","2.375","1","0","0"
"1","可是……","21","0","1010021","0","0","1","0","8"
"4","","22","0","1010022","1","2.5","1","0","0"
"2","","23","vo_10011600_0105","1010023","0","0","1","vo_10011600","0"
"1","可是、","24","0","1010024","0","0","1","0","8"
"4","","25","0","1010025","1","1.375","1","0","0"
"1","如果、","26","0","1010026","0","0","1","0","8"
"4","","27","0","1010027","1","1.5","1","0","0"
"1","我可以在聖德蕾莎女學院好好努力。\n\n","28","0","1010028","0","0","1","0","8"
"4","","29","0","1010029","1","4.875","1","0","0"
"2","","30","vo_10011600_0106","1010030","0","0","1","vo_10011600","0"
"1","……是不是就能","31","0","1010031","0","0","1","0","6"
