5d45753fbda3d34a1f6004b03084f1aea487ea1f4d8021a071c3909f4740184a,ab9d0ade3f4c88d177a9de70dad1590a2e4474d379e1179f9bb2726832ed02f0,f3fe5e315ccd5dfd3f7975c5e9714e788af1e3a4571f88adea76ec1b9763fff5
"20013","1","90001"
"20013","2","90001"
"20013","3","90001"
"20013","5","90001"
"10043","4","80002"
"10045","4","80003"
"20018","1","91001"
"20018","2","91002"
"20018","3","91001"
"10050","1","91001"
"10050","2","91002"
"10050","3","91001"
"10050","4","10050"
"20007","1","91001"
"20007","2","91001"
"20007","3","91001"
"10053","1","90002"
"10053","2","90002"
"10053","3","90002"
"20009","1","91101"
"20009","2","91101"
"20009","3","91101"
"10054","1","91101"
"10054","2","91101"
"10054","3","91101"
"10055","1","91101"
"10055","2","91101"
"10055","3","91101"
"10056","1","91201"
"10056","2","91201"
"10056","3","91201"
"20010","1","91201"
"20010","2","91201"
"20010","3","91201"
"10057","1","91201"
"10057","2","91201"
"10057","3","91201"
"10058","4","10058"
"10060","1","90003"
"10060","2","90003"
"10060","3","90003"
"10062","1","10035"
"10062","2","10035"
"10062","3","10035"
"10063","1","10035"
"10063","2","10035"
"10063","3","10035"
"10066","4","80002"
"10069","4","10042"
"10072","4","10072"
"10074","4","10074"
"10076","1","91001"
"10076","2","91002"
"10076","3","91001"
"10077","1","91001"
"10077","2","91002"
"10077","3","91001"
"10077","4","10050"
"20020","1","91101"
"20020","2","91101"
"20020","3","91101"
"10078","4","80002"
"20021","1","91201"
"20021","2","91201"
"20021","3","91201"
"10079","1","10052"
"10079","2","10052"
"10079","3","10052"
"20022","1","90003"
"20022","2","90003"
"20022","3","90003"
"10080","1","91101"
"10080","2","91101"
"10080","3","91101"
"10081","1","91101"
"10081","2","91101"
"10081","3","91101"
"10082","1","91201"
"10082","2","91201"
"10082","3","91201"
"10082","4","10082"
"10083","1","91201"
"10083","2","91201"
"10083","3","91201"
"10084","4","10084"
"10086","4","10058"
"10088","4","10088"
"10090","4","80002"
"20025","4","10042"
"10091","4","80002"
"10093","4","80002"
"10094","4","10094"
"10096","4","10072"
"10097","1","10070"
"10097","2","10070"
"10097","6","10070"
"10099","4","10072"
"20029","1","91001"
"20029","2","91002"
"20029","3","91001"
"20029","4","10050"
"20030","1","10052"
"20030","2","10052"
"20030","3","10052"
"20031","1","91101"
"20031","2","91101"
"20031","3","91101"
"10101","4","10074"
"20032","1","91201"
"20032","2","91201"
"20032","3","91201"
"10103","1","91001"
"10103","2","91002"
"10103","3","91001"
"20033","4","10058"
"10108","1","91201"
"10108","2","91201"
"10108","3","91201"
"10105","1","10078"
"10105","2","10078"
"10105","3","10078"
"10105","4","80002"
"10106","1","91101"
"10106","2","91101"
"10106","3","91101"
"10106","4","10074"
"10107","1","91101"
"10107","2","91101"
"10107","3","91101"
"10109","1","91201"
"10109","2","91201"
"10109","3","91201"
"10109","4","10082"
"10110","4","80002"
"20036","4","80002"
"10112","4","10084"
"20037","4","80002"
"10114","4","10074"
"10115","4","10088"
"20039","1","10070"
"20039","2","10070"
"20039","6","10070"
"10117","4","80002"
"10118","1","90004"
"10118","2","90004"
"10118","3","90004"
"20040","4","10072"
"20041","4","10074"
"10121","4","10094"
"10123","4","10072"
"20042","1","91001"
"20042","2","91002"
"20042","3","91001"
"20043","1","10078"
"20043","2","10078"
"20043","3","10078"
"20043","4","80002"
"20044","1","91101"
"20044","2","91101"
"20044","3","91101"
"10128","4","10074"
"20045","1","91201"
"20045","2","91201"
"20045","3","91201"
"20045","4","10082"
"20046","4","10084"
"10132","1","91101"
"10132","2","91101"
"10132","3","91101"
"10132","4","10074"
"10133","1","91101"
"10133","2","91101"
"10133","3","91101"
"10133","4","10074"
"20048","4","10088"
"10134","1","91201"
"10134","2","91201"
"10134","3","91201"
"10134","4","10074"
"10135","1","91201"
"10135","2","91201"
"10135","3","91201"
"20049","4","80002"
"10138","4","80002"
"10141","4","10074"
"10145","1","90004"
"10145","2","90004"
"10145","3","90004"
"20052","4","10072"
"10152","1","10152"
"10152","2","10152"
"10152","3","10152"
"10153","1","90002"
"10153","2","90002"
"10153","3","90002"
"10157","4","10074"
"10158","1","91101"
"10158","2","91101"
"10158","3","91101"
"10160","1","91201"
"10160","2","91201"
"10160","3","91201"
"10160","4","10074"
"10161","1","91101"
"10161","2","91101"
"10161","3","91101"
"10161","4","10074"
"10163","1","91201"
"10163","2","91201"
"10163","3","91201"
"10163","4","10074"
"20063","1","90004"
"20063","2","90004"
"20063","3","90004"
"10172","1","10152"
"10172","2","10152"
"10172","3","10152"
"10174","1","10035"
"10174","2","10035"
"10174","3","10035"
"10175","1","10035"
"10175","2","10035"
"10175","3","10035"
"20072","1","91101"
"20072","2","91101"
"20072","3","91101"
