06de53c9d8aff9972b014aa52a16567b0d80df49898076dbfd63dfd9abbbee9a,f39fff82bb3ecc314e25855cbeaa7748292e737d71d884d117c2d22c46223bb7,928524d6b68cf27cd96a86a159486f9a1cc900a3a4ac9e96a4a4f95868b23706,242bb1a72a074335f2767a55630bb455d47bdea58490705eeeaa176996390bdd
"1061002","2","1061001","1061101"
"1061003","2","1061001","1061102"
"1061012","2","1061001","1061111"
"1067001","2","1067001","1067101"
"1068001","2","1068001","1068103"
"1068002","2","1068001","1068101"
"1068003","2","1068001","1068102"
"1068012","2","1068001","1068111"
"1069001","2","1069001","1069101"
"1158001","1","1158001","1158100"
"1158002","2","1158001","1158101"
"1158003","2","1158001","1158102"
"1158012","2","1158001","1158111"
"1158203","2","1158001","1158102"
"1164001","2","1164001","1164101"
"1182001","2","1182001","1182101"
"1185001","2","1185001","1185101"
"1186001","2","1186001","1186101"
"1208002","2","1208001","1208101"
"1208012","2","1208001","1208111"
"1220001","2","1220001","1220101"
"1223002","2","1223001","1223101"
"1223003","2","1223001","1223102"
"1223012","2","1223001","1223111"
"1227001","2","1227001","1227101"
"1230001","2","1230001","1230101"
"1250002","2","1250001","1250101"
"1250003","2","1250001","1250102"
"1250012","2","1250001","1250111"
"1258001","2","1258001","1258101"
"1260001","2","1260001","1260101"
"1261001","2","1261001","1261101"
"1262001","2","1262001","1262101"
"1264001","2","1264001","1264103"
"1264002","2","1264001","1264101"
"1264003","2","1264001","1264102"
"1265001","2","1265001","1265101"
"1290001","2","1290001","1290101"
"1293001","2","1293001","1293101"
"1294001","2","1294001","1294101"
"1296001","2","1296001","1296101"
"1297001","2","1297001","1297101"
"1312001","2","1312001","1312101"
"1318001","2","1318001","1318101"
"1320001","2","1320001","1320101"
"1321001","1","1321001","1321100"
"1321002","2","1321001","1321101"
"1321003","2","1321001","1321102"
"1812001","2","1812001","1812101"
"4319012","2","4319012","4319101"
