60d8632247452cf4f8c3b5a9fecd3534bf71600933f611aba4d14a7654fd1af6,c4803924fdd2ffdfeee06e2c591855490b5b0a1da419858cf69ce90d8585881a,dcb46255fa00f8e170c1d74b3e8c640fb6481ad1b5e22d19c537d1a391806014,8fc9b39cb8d217f87f536d99e6db160879c0c3623d8164a5c5e2f064550efb49,2d428675b9ab7459929a3191a55436dd67bf00b868bd26f3bba3262982bcb652
"0","1","1","0","1001"
"0","2","1","0","1002"
"0","3","1","0","1003"
"0","4","1","0","1004"
"0","1","2","0","2001"
"0","2","2","0","2002"
"0","3","2","0","2003"
"0","4","2","0","2004"
"0","1","2","1","2101"
"0","2","2","1","2102"
"0","3","2","1","2103"
"0","4","2","1","2104"
"10001","11","2","2","2111"
"10001","12","2","2","2112"
"10001","13","2","2","2113"
"0","1","3","0","3001"
"0","2","3","0","3002"
"0","3","3","0","3003"
"0","4","3","0","3004"
"0","1","4","0","4001"
"0","2","4","0","4002"
"0","3","4","0","4003"
"0","4","4","0","4004"
"0","100","4","0","4005"
"0","10101","5","1","5010"
"1","10201","5","2","5020"
"2","10202","5","2","5021"
"0","10301","5","3","5030"
"1","10301","5","3","5031"
"0","10302","5","4","5040"
"0","10303","5","5","5050"
"0","10304","5","6","5060"
"0","90001","6","1","6001"
"0","90001","6","2","6002"
"1","90001","6","2","6003"
"0","90001","6","3","6006"
"1","91101","6","3","6007"
"2","91201","6","3","6008"
"3","91301","6","3","6009"
"0","90001","6","4","6010"
"1","91101","6","4","6011"
"2","91201","6","4","6012"
"3","91301","6","4","6013"
"0","90001","6","5","6014"
"1","91101","6","5","6015"
"2","91201","6","5","6016"
"3","91301","6","5","6017"
"0","90001","6","6","6018"
"1","91101","6","6","6019"
"2","91201","6","6","6020"
"3","91301","6","6","6021"
"0","92001","6","7","6022"
"1","92101","6","7","6023"
"2","92201","6","7","6024"
"3","92301","6","7","6025"
"4","92401","6","7","6026"
"0","90002","7","0","7000"
"1","90002","7","0","7001"
"2","90003","7","0","7002"
"1","90002","7","2","7003"
"2","90003","7","2","7004"
"1","91102","7","3","7005"
"2","91103","7","3","7006"
"1","91102","7","4","7007"
"2","91103","7","4","7008"
"1","91102","7","5","7009"
"2","91103","7","5","7010"
"1","91102","7","6","7011"
"2","91103","7","6","7012"
"1","92102","7","7","7013"
"2","92103","7","7","7014"
"0","20101","9","0","9001"
"0","20201","10","0","10001"
"0","20202","10","1","10002"
"0","10501","101","8","10180"
"0","1","100","1","100001"
"0","1","100","2","100002"
"0","2","100","3","100003"
"0","2","100","4","100004"
"0","2","100","5","100005"
"0","2","100","6","100006"
"0","3","100","7","100007"
"0","10301","101","98001","980001"
"2","10402","101","98001","980002"
"1","10401","101","98011","980011"
"2","10402","101","98012","980012"
