ab3c596285296c1da24d8415490fa2da7b05315353f55263a92d7cecce4bf6c7,adce4f419c9f9edd437de8a14882556de0887cbddb95ed9c9b592c3ac3c57c24,f133301c8563d4ddb6475389e93ff0b7d8c9677f0bb40f3601e79cc27b725bd7,25f2cfe49157dadb62cbd5b1dca1c6521a507c3c1906e8d4661d8d8ad08647ba,66af958aa268e62e01a04c304854cb34606acb70846b5a351dc28dc9d640997f,aa506e4d8392a9cd156d8eb5fc0175b1ea796ff7c5c53c77160f4310f64b53b9,cf11b0914866526106a590cc4f2d3af0ec6eee900a493f5e5827aac5595b1df9,1a014cb3e11c4bc3bca075eb3842d124df8bb0fd26eda5546d038561f00f60e2,de906607d0af717eef07af5724f4015238bac56ed0aa277aee0b295381773892,baf953ef891f13caa1808bb5657fd92f54d7c9dadeff7b8415511b1c0c8e8529,f29599f004e8c5d285a0ef475ac593bc9efefc84a496d9076ebf23bed334f881,1f36baa898c90f80cd853335067f03d98382904031428bcaa835ac839b887772,374bb80bd273ade8996b8bb8f5789d92a1cfd6cb0a7beed116e39a58958ff0f4,bab87deb0b4a46533db12063e2ed8696023cd7acce03e930e4bdbcf0debd22e7,714fafedc5d21ae7f830964e44b8b5cea610f32d36f5ee408c2eb656c4db8d71,7d4504a05e615a3d6c606a028ab59886e6f04af6292c07978b3ab20df752673a,eb2b1577def6425be08899223d7a4ca25cfc4574173f5e2e51c3a369d480a524,cc23918b06b7cf2a48a4403ecd3db80de1be1826aaca8edf56c020e6568d7a8b
"0","91002","1","20","5","22003","1","0","12","8","94002","5","2","0","2","20003","150000","150"
"0","91002","6","15","9","22003","2","0","12","8","94002","2","2","0","2","20003","100000","145"
"0","91002","10","11","19","22002","3","0","12","8","94002","5","2","0","2","20003","80000","140"
"0","91002","20","10","29","22002","4","0","12","8","94002","5","2","0","2","20003","80000","130"
"0","91002","30","9","39","22002","5","0","12","8","94002","4","2","0","2","20003","70000","120"
"0","91002","40","8","49","22002","6","0","12","8","94002","4","2","0","2","20003","70000","110"
"0","91002","50","7","99","22002","7","0","12","8","94002","3","2","0","2","20003","60000","100"
"0","91002","100","2","499","22002","8","0","12","8","94002","2","2","0","2","20003","40000","80"
"0","91002","500","7","999","22002","9","0","12","8","94002","1","2","0","2","20002","20000","50"
"0","91002","1000","4","4999","22001","10","0","12","8","94002","3","2","0","2","20002","16000","20"
"0","91002","5000","3","9999","22001","11","0","12","8","94002","2","2","0","2","20002","9000","15"
"0","91002","10000","8","11999","22001","12","0","12","8","94002","1","2","0","2","20001","4000","10"
"0","91002","12000","7","13999","22001","13","0","12","8","94002","1","2","0","2","20001","3000","5"
"0","91002","14000","6","14999","22001","14","0","12","8","94002","1","2","0","2","20001","2000","4"
"0","91002","15000","5","30000","22001","15","0","12","8","94002","1","2","0","2","20001","1800","3"
