f2514f886962cd5a6bc31fa4e73545bc3ae62ad112d58baf54eabb078bda1ba7,f609f27f13f6c507f266faa0131e016656f82026f60a477fa00b6866cfa66e92,0ca09e72f60d1d6a617ad4577ccd2a1ece94fd2993b99c4ad4d1b8e432eb24ab,788d830dd21d0adba9edfd94463ac2021630264692d1ffdb7c0e838cbb1caf1f
"1","1000","170","1"
"1","3000","175","2"
"1","5000","180","3"
"1","7000","185","4"
"1","9000","190","5"
"1","11000","195","6"
"1","13000","200","7"
"1","15000","205","8"
"1","17000","210","9"
"1","19000","215","10"
"1","21000","220","11"
"1","23000","225","12"
"1","25000","230","13"
"1","27000","232","14"
"1","29000","234","15"
"1","31000","236","16"
"1","33000","238","17"
"1","35000","240","18"
"1","37000","242","19"
"1","39000","244","20"
"1","41000","246","21"
"1","43000","248","22"
"1","9999999","250","23"
"2","1000","170","24"
"2","3000","175","25"
"2","5000","180","26"
"2","7000","185","27"
"2","9000","190","28"
"2","11000","195","29"
"2","13000","200","30"
"2","15000","205","31"
"2","17000","210","32"
"2","19000","215","33"
"2","21000","220","34"
"2","23000","225","35"
"2","25000","230","36"
"2","27000","232","37"
"2","29000","234","38"
"2","31000","236","39"
"2","33000","238","40"
"2","35000","240","41"
"2","37000","242","42"
"2","39000","244","43"
"2","41000","246","44"
"2","43000","248","45"
"2","9999999","250","46"
"3","1000","170","47"
"3","3000","175","48"
"3","5000","180","49"
"3","7000","185","50"
"3","9000","190","51"
"3","11000","195","52"
"3","13000","200","53"
"3","15000","205","54"
"3","17000","210","55"
"3","19000","215","56"
"3","21000","220","57"
"3","23000","225","58"
"3","25000","230","59"
"3","27000","232","60"
"3","29000","234","61"
"3","31000","236","62"
"3","33000","238","63"
"3","35000","240","64"
"3","37000","242","65"
"3","39000","244","66"
"3","41000","246","67"
"3","43000","248","68"
"3","9999999","250","69"
