74a11355723c4efaffdecb2c05aeaea0d55b626c70b31fb65911927db92c43e2,17d361937cbcc69f5902e18fd7d4c53d55e1431888d100fcfcd7236421b12032,3180b908838b11e00377906867ed033b4c23d88db70100cd4e5c0e02a329e68e,422d3e9917c1489eb144e44f18a2f80c53a2f7c296742c08a2070d7d314a918b,3e0ef244fe104fcd5a87e9d23fea9f19a10ab2a9dcc99f2a97ee71d7ba97980c,f103f7ed57ecd7ec8462dbadd64ce1b8dd4ebb66996c4f76950abfb4b9b31dfb,db2bb7378518698931ae81ee60d19144078419f8b4f98eac6802a9b688a8b154,256a349546ebc067fbdda31f03e8b7ca48ed6f81a3495e222ff4ec2aef36cf57,c4548db76251d7570065a9c003ea85a0f8e50222e667922deeb499a517ac7bd5,306717b8ad2b9f686cf4a1a11ba8070276cc02e9d89640e6ae4d1446d23a780d,f64a0246986eb2c75d43b97de99a2b5884127a20e23ff88e47ad65a4681e1d42,08fb467b5237e9147cbfdc4acc6fb41e15f853e77c91675726a3d904f0f3d983,ae511fdb3ef7a1f56dd3ecce207b472eda4d1dfe9bd1c4adcd1a4ca6f6d1c809,ea1883725a971b2dd0fd2f6406de4dd20dd47547aeb89d58ae53b817202c6c43
"1","2030/01/01 14:59:59","190804","3.414","1","1000001","1","2025/06/01 16:00:00","0","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","2","花凜","62","-416.5"
"1","2030/01/01 14:59:59","190804","3.099","1","1000002","2","2025/06/01 16:00:00","0","將任務完成，\n並獲得獎勵吧！","2","花凜","62","-416.5"
"1","2030/01/01 14:59:59","190804","2.801","1","1000003","3","2025/06/01 16:00:00","0","似乎有能夠\n領取的獎勵了，\n請確認看看","2","花凜","63","-416.5"
"2","2030/01/01 14:59:59","190804","0","1","1000004","4","2025/06/01 16:00:00","0","能夠領取獎勵了！\n請檢查看看","2","花凜","63","-416.5"
"2","2030/01/01 14:59:59","190804","2.12","1","1000005","5","2025/06/01 16:00:00","0","這裡是公會管理協會！\n如果您持有活動獎勵券，就能夠交換各種道具哦","1","花凜","64","-363"
"1","2030/01/01 14:59:59","190804","1.68","1","1000006","6","2025/06/01 16:00:00","0","辛苦了！\n在這裡，能夠以活動獎勵券來換取道具哦","2","花凜","64","-363"
"2","2030/01/01 14:59:59","190804","2.33","1","1000007","7","2025/06/01 16:00:00","0","一直以來都很謝謝你！\n要交換獎勵嗎？\n那就以活動獎勵券來進行交換吧","1","花凜","64","-363"
"3","2030/01/01 14:59:59","133701","5.18","10201","1020101","101","2025/06/01 16:00:00","-6","這次的敵人對我來說\n也是無法置之不理的存在\n少年，我也會全力以赴\n一起保護這個世界吧","7","拉比林斯達","61","-285"
"1","2030/01/01 14:59:59","133901","8.77","10201","1020102","201","2025/06/01 16:00:00","-2","感覺到能消除無聊的\n戰鬥的氣息了啊，小子\n趕快帶我過去吧\n我會順手幫忙保護這個世界","2","克莉絲提娜","61","-285"
"6","2030/01/01 14:59:59","133801","15.5","10201","1020103","301","2025/06/01 16:00:00","0","哦，需要我的力量……是嗎？\n格列戈爾會去幫忙的喔\n看你一臉想問我是不是不上場\n……我會考慮的","1","似似花","61","-285"
