a60e5c1a8bcd63f6dec3b263c67ee56bc469ff88106facc29a7a1dd04acd13f8,b8710183f104230a3b6e058c0e033ec1990a9a0b027d0a3f4b1f08cfb7872699,5dcae5a2bdc1631a81d33fb16bc473dc59be9788330509295c326fa95fa66e56,1841b977ee94226c5936e413c124280fb4beb2a13ada35d9534e29ce9e6fdb50,406a6ade2f00ec92ccd337c78ecf3556514d6421feb5c14043e198598ebe3e1b,2235121b014eec09f7ee459d9c22e1eab5b31770c29f8ddee8b4f37733322f1e,24bcb9ec546e2f5bf05003a6cc1a1c3cacb2551961e4d0febffe0c27ebd2887d,4194959e113da5f3285e01d1aa972669280ac8979b8bc013a5e8d723bb8c791f,1307fd13d254fbe6d91336ff63b74064b9f4baff700d7cc2bc24a6efa94eb751,effa7e05301d20be36a4f40b2a89ab85518deb047cc3ae23e4a48b9b93450ba4,c02c70520035be985a51f7bd4e7d8841b553fc1e66a1a0babc7055184be2cbed,887edbf5434b5461c5a49a0e1855de7e2910aff94e0b80768dbf4bd6055d6461
"0","0","1","100580101","0","4","0","0.8","1","1005801","0","0"
"0","0","2","100580102","vo_ske","2","0","0","0","1005801","vo_ske_0101","0"
"94","1","3","100580103","0","1","0","0","0","1005801","0","0.705"
"0","0","4","100580104","0","4","0","1.549","1","1005801","0","0"
"362","1","5","100580105","0","1","94","0","0","1005801","0","1.807"
"0","0","6","100580106","0","4","0","3.027","1","1005801","0","0"
"263","2","7","100580107","0","1","0","0","0","1005801","0","1.141"
"0","0","8","100580108","0","4","0","1.9","1","1005801","0","0"
"400","2","9","100580109","0","1","263","0","0","1005801","0","1.78"
"0","0","10","100580110","0","4","0","4.544","1","1005801","0","0"
"0","0","11","100580111","vo_ske","2","0","0","0","1005801","vo_ske_0102","0"
"195","3","12","100580112","0","1","0","0","0","1005801","0","1.322"
"0","0","13","100580113","0","4","0","2.917","1","1005801","0","0"
"0","0","14","100580114","vo_ske","2","0","0","0","1005801","vo_ske_0103","0"
"228","4","15","100580115","0","1","0","0","0","1005801","0","1.932"
"0","0","16","100580116","0","4","0","2.582","1","1005801","0","0"
"367","4","17","100580117","0","1","228","0","0","1005801","0","0.996"
"0","0","18","100580118","0","4","0","3.856","1","1005801","0","0"
"0","0","19","100580119","vo_ske","2","0","0","0","1005801","vo_ske_0104","0"
"90","5","20","100580120","0","1","0","0","0","1005801","0","0.67"
"0","0","21","100580121","0","4","0","1.785","1","1005801","0","0"
"364","5","22","100580122","0","1","90","0","0","1005801","0","2.253"
"0","0","23","100580123","0","4","0","2.253","1","1005801","0","0"
"0","6","24","100580124","0","1","0","0","0","1005801","0","0.962"
"0","0","25","100580125","0","4","0","2.244","1","1005801","0","0"
"334","6","26","100580126","0","1","0","0","0","1005801","0","1.707"
"0","0","27","100580127","0","4","0","4.225","1","1005801","0","0"
"0","0","28","100580128","vo_ske","2","0","0","0","1005801","vo_ske_0105","0"
"227","7","29","100580129","0","1","0","0","0","1005801","0","1.256"
"0","0","30","100580130","0","4","0","3.119","1","1005801","0","0"
"0","0","31","100580131","vo_ske","2","0","0","0","1005801","vo_ske_0106","0"
"73","8","32","100580132","0","1","0","0","0","1005801","0","0.702"
"0","0","33","100580133","0","4","0","1.386","1","1005801","0","0"
"318","8","34","100580134","0","1","73","0","0","1005801","0","1.352"
"0","0","35","100580135","0","4","0","2.053","1","1005801","0","0"
"383","8","36","100580136","0","1","318","0","0","1005801","0","0.733"
"0","0","37","100580137","0","4","0","1.868","1","1005801","0","0"
"340","9","38","100580138","0","1","0","0","0","1005801","0","1.764"
"0","0","39","100580139","0","4","0","2.905","1","1005801","0","0"
"340","9","40","100580140","0","1","340","0","0","1005801","0","0.969"
"0","0","41","100580141","0","4","0","0.969","1","1005801","0","0"
"0","10","42","100580142","0","1","0","0","0","1005801","0","0.808"
"0","0","43","100580143","0","4","0","2.8","1","1005801","0","0"
"0","0","44","100580144","vo_ske","2","0","0","0","1005801","vo_ske_0107","0"
"52","10","45","100580145","0","1","0","0","0","1005801","0","0.25"
"0","0","46","100580146","0","4","0","0.25","1","1005801","0","0"
"328","10","47","100580147","0","1","52","0","0","1005801","0","1.817"
