5c9fcb124b4f7541ea40a6da722559598a2358b1167c601eaed1723dea62239e,56955c788981e62080a2f2308dec5487f9b7d6a1d2145caa5f79b8f899f3fafd,a088bf45941a1653b09d392a9c32ad7d34e38ea0b75893f6802c67248fbbf41b,54b1af836ccb6a4cad5910f2a58035135651a7f7849c774e5f929169b4c37e3a,708872a98667c9d49b093210288b39bd6e9b81f08d463f90456be9804d0e67e7,f769a5826f0a1b1e354ebb5d626321f3957ef5ed9fa931802e3762cf7b675835,ee5bc67799aa597ec87a2d6fa51580693316dac269f13de2409460515cc22951,427f8b6bc7637859e435db8a6f6f6a200ec7dee57b0af0706a612ab257fd6289,d96bb0fe003ae84423f05cfa3c23adb21d6df90b10d9e22b239453663fb6cfdc,3b5dc9d9e750d17e152ced8618cb3fd21b985adc723428142b9759f1159908cc,2516e6cf9d743e45390ff8aa999bab758ae5b77c45d5177be9f4808e09d8e59c,6ca401c499f558d39736b32e6db9cfb232dd1cc303452b1faa7134a2a7acabb5,cfb97c7b00a49afa7477a98a45a030b1ed8c8860eee2bb4f835f556d42d65442,41a999bdfea7c83f3a6f9f4365bb61ee000ab528839eba4d4c8d7f149349e607,c58aee47d56bc545a8efd6defe2e47b188147b6f2ffb7eaafd10b544fe125edd
"登頂1次特殊地下城","2030/04/01 14:59:59","1st Round Clear！","32001","2015/04/01 15:00:00","3200101","1004110","1","1","0","0","603","32001001","0","80001"
"登頂2次特殊地下城","2030/04/01 14:59:59","2nd Round Clear！","32001","2015/04/01 15:00:00","3200102","1004110","1","2","0","0","603","32001002","0","80001"
"登頂3次特殊地下城","2030/04/01 14:59:59","3rd Round Clear！","32001","2015/04/01 15:00:00","3200103","1004110","1","3","0","0","603","32001003","0","80001"
"登頂4次特殊地下城","2030/04/01 14:59:59","4th Round Clear！","32001","2015/04/01 15:00:00","3200104","1004110","1","4","0","0","603","32001004","0","80001"
"登頂5次特殊地下城","2030/04/01 14:59:59","CONQUEST！","32001","2015/04/01 15:00:00","3200105","1004110","1","5","0","0","603","32001005","0","80001"
"登頂1次特殊地下城","2030/04/01 14:59:59","1st Round Clear！","32002","2015/04/01 15:00:00","3200201","1004110","1","1","0","0","603","32001001","0","80001"
"登頂2次特殊地下城","2030/04/01 14:59:59","2nd Round Clear！","32002","2015/04/01 15:00:00","3200202","1004110","1","2","0","0","603","32001002","0","80001"
"登頂3次特殊地下城","2030/04/01 14:59:59","3rd Round Clear！","32002","2015/04/01 15:00:00","3200203","1004110","1","3","0","0","603","32001003","0","80001"
"登頂4次特殊地下城","2030/04/01 14:59:59","4th Round Clear！","32002","2015/04/01 15:00:00","3200204","1004110","1","4","0","0","603","32001004","0","80001"
"登頂5次特殊地下城","2030/04/01 14:59:59","CONQUEST！","32002","2015/04/01 15:00:00","3200205","1004110","1","5","0","0","603","32001005","0","80001"
"登頂1次特殊地下城","2030/04/01 14:59:59","1st Round Clear！","32003","2015/04/01 15:00:00","3200301","1004110","1","1","0","0","603","32001001","0","80001"
"登頂2次特殊地下城","2030/04/01 14:59:59","2nd Round Clear！","32003","2015/04/01 15:00:00","3200302","1004110","1","2","0","0","603","32001002","0","80001"
"登頂3次特殊地下城","2030/04/01 14:59:59","3rd Round Clear！","32003","2015/04/01 15:00:00","3200303","1004110","1","3","0","0","603","32001003","0","80001"
"登頂4次特殊地下城","2030/04/01 14:59:59","4th Round Clear！","32003","2015/04/01 15:00:00","3200304","1004110","1","4","0","0","603","32001004","0","80001"
"登頂5次特殊地下城","2030/04/01 14:59:59","CONQUEST！","32003","2015/04/01 15:00:00","3200305","1004110","1","5","0","0","603","32001005","0","80001"
"登頂1次特殊地下城","2030/04/01 14:59:59","1st Round Clear！","32004","2015/04/01 15:00:00","3200401","1004110","1","1","0","0","603","32001001","0","80001"
"登頂2次特殊地下城","2030/04/01 14:59:59","2nd Round Clear！","32004","2015/04/01 15:00:00","3200402","1004110","1","2","0","0","603","32001002","0","80001"
"登頂3次特殊地下城","2030/04/01 14:59:59","3rd Round Clear！","32004","2015/04/01 15:00:00","3200403","1004110","1","3","0","0","603","32001003","0","80001"
"登頂4次特殊地下城","2030/04/01 14:59:59","4th Round Clear！","32004","2015/04/01 15:00:00","3200404","1004110","1","4","0","0","603","32001004","0","80001"
"登頂5次特殊地下城","2030/04/01 14:59:59","CONQUEST！","32004","2015/04/01 15:00:00","3200405","1004110","1","5","0","0","603","32001005","0","80001"
"登頂1次特殊地下城","2030/04/01 14:59:59","1st Round Clear！","32005","2015/04/01 15:00:00","3200501","1004110","1","1","0","0","603","32001001","0","80001"
"登頂2次特殊地下城","2030/04/01 14:59:59","2nd Round Clear！","32005","2015/04/01 15:00:00","3200502","1004110","1","2","0","0","603","32001002","0","80001"
"登頂3次特殊地下城","2030/04/01 14:59:59","3rd Round Clear！","32005","2015/04/01 15:00:00","3200503","1004110","1","3","0","0","603","32001003","0","80001"
"登頂4次特殊地下城","2030/04/01 14:59:59","4th Round Clear！","32005","2015/04/01 15:00:00","3200504","1004110","1","4","0","0","603","32001004","0","80001"
"登頂5次特殊地下城","2030/04/01 14:59:59","CONQUEST！","32005","2015/04/01 15:00:00","3200505","1004110","1","5","0","0","603","32001005","0","80001"
"登頂1次特殊地下城","2030/04/01 14:59:59","1st Round Clear！","32006","2015/04/01 15:00:00","3200601","1004110","1","1","0","0","603","32001001","0","80001"
"登頂2次特殊地下城","2030/04/01 14:59:59","2nd Round Clear！","32006","2015/04/01 15:00:00","3200602","1004110","1","2","0","0","603","32001002","0","80001"
"登頂3次特殊地下城","2030/04/01 14:59:59","3rd Round Clear！","32006","2015/04/01 15:00:00","3200603","1004110","1","3","0","0","603","32001003","0","80001"
"登頂4次特殊地下城","2030/04/01 14:59:59","4th Round Clear！","32006","2015/04/01 15:00:00","3200604","1004110","1","4","0","0","603","32001004","0","80001"
"登頂5次特殊地下城","2030/04/01 14:59:59","CONQUEST！","32006","2015/04/01 15:00:00","3200605","1004110","1","5","0","0","603","32001005","0","80001"
"登頂1次特殊地下城","2030/04/01 14:59:59","1st Round Clear！","32007","2015/04/01 15:00:00","3200701","1004110","1","1","0","0","603","32001001","0","80001"
"登頂2次特殊地下城","2030/04/01 14:59:59","2nd Round Clear！","32007","2015/04/01 15:00:00","3200702","1004110","1","2","0","0","603","32001002","0","80001"
"登頂3次特殊地下城","2030/04/01 14:59:59","3rd Round Clear！","32007","2015/04/01 15:00:00","3200703","1004110","1","3","0","0","603","32001003","0","80001"
"登頂4次特殊地下城","2030/04/01 14:59:59","4th Round Clear！","32007","2015/04/01 15:00:00","3200704","1004110","1","4","0","0","603","32001004","0","80001"
"登頂5次特殊地下城","2030/04/01 14:59:59","CONQUEST！","32007","2015/04/01 15:00:00","3200705","1004110","1","5","0","0","603","32001005","0","80001"
"登頂1次特殊地下城","2030/04/01 14:59:59","1st Round Clear！","32008","2015/04/01 15:00:00","3200801","1004110","1","1","0","0","603","32001001","0","80001"
"登頂2次特殊地下城","2030/04/01 14:59:59","2nd Round Clear！","32008","2015/04/01 15:00:00","3200802","1004110","1","2","0","0","603","32001002","0","80001"
"登頂3次特殊地下城","2030/04/01 14:59:59","3rd Round Clear！","32008","2015/04/01 15:00:00","3200803","1004110","1","3","0","0","603","32001003","0","80001"
"登頂4次特殊地下城","2030/04/01 14:59:59","4th Round Clear！","32008","2015/04/01 15:00:00","3200804","1004110","1","4","0","0","603","32001004","0","80001"
"登頂5次特殊地下城","2030/04/01 14:59:59","CONQUEST！","32008","2015/04/01 15:00:00","3200805","1004110","1","5","0","0","603","32001005","0","80001"
"登頂1次特殊地下城","2030/04/01 14:59:59","1st Round Clear！","32009","2015/04/01 15:00:00","3200901","1004110","1","1","0","0","603","32001001","0","80001"
"登頂2次特殊地下城","2030/04/01 14:59:59","2nd Round Clear！","32009","2015/04/01 15:00:00","3200902","1004110","1","2","0","0","603","32001002","0","80001"
"登頂3次特殊地下城","2030/04/01 14:59:59","3rd Round Clear！","32009","2015/04/01 15:00:00","3200903","1004110","1","3","0","0","603","32001003","0","80001"
"登頂4次特殊地下城","2030/04/01 14:59:59","4th Round Clear！","32009","2015/04/01 15:00:00","3200904","1004110","1","4","0","0","603","32001004","0","80001"
"登頂5次特殊地下城","2030/04/01 14:59:59","CONQUEST！","32009","2015/04/01 15:00:00","3200905","1004110","1","5","0","0","603","32001005","0","80001"
"登頂1次特殊地下城","2030/04/01 14:59:59","1st Round Clear！","32010","2015/04/01 15:00:00","3201001","1004110","1","1","0","0","603","32001001","0","80001"
"登頂2次特殊地下城","2030/04/01 14:59:59","2nd Round Clear！","32010","2015/04/01 15:00:00","3201002","1004110","1","2","0","0","603","32001002","0","80001"
"登頂3次特殊地下城","2030/04/01 14:59:59","3rd Round Clear！","32010","2015/04/01 15:00:00","3201003","1004110","1","3","0","0","603","32001003","0","80001"
"登頂4次特殊地下城","2030/04/01 14:59:59","4th Round Clear！","32010","2015/04/01 15:00:00","3201004","1004110","1","4","0","0","603","32001004","0","80001"
"登頂5次特殊地下城","2030/04/01 14:59:59","CONQUEST！","32010","2015/04/01 15:00:00","3201005","1004110","1","5","0","0","603","32001005","0","80001"
"登頂1次特殊地下城","2030/04/01 14:59:59","1st Round Clear！","32011","2015/04/01 15:00:00","3201101","1004110","1","1","0","0","603","32001001","0","80001"
"登頂2次特殊地下城","2030/04/01 14:59:59","2nd Round Clear！","32011","2015/04/01 15:00:00","3201102","1004110","1","2","0","0","603","32001002","0","80001"
"登頂3次特殊地下城","2030/04/01 14:59:59","3rd Round Clear！","32011","2015/04/01 15:00:00","3201103","1004110","1","3","0","0","603","32001003","0","80001"
"登頂4次特殊地下城","2030/04/01 14:59:59","4th Round Clear！","32011","2015/04/01 15:00:00","3201104","1004110","1","4","0","0","603","32001004","0","80001"
"登頂5次特殊地下城","2030/04/01 14:59:59","CONQUEST！","32011","2015/04/01 15:00:00","3201105","1004110","1","5","0","0","603","32001005","0","80001"
"登頂1次特殊地下城","2030/04/01 14:59:59","1st Round Clear！","32012","2015/04/01 15:00:00","3201201","1004110","1","1","0","0","603","32001001","0","80001"
"登頂2次特殊地下城","2030/04/01 14:59:59","2nd Round Clear！","32012","2015/04/01 15:00:00","3201202","1004110","1","2","0","0","603","32001002","0","80001"
"登頂3次特殊地下城","2030/04/01 14:59:59","3rd Round Clear！","32012","2015/04/01 15:00:00","3201203","1004110","1","3","0","0","603","32001003","0","80001"
"登頂4次特殊地下城","2030/04/01 14:59:59","4th Round Clear！","32012","2015/04/01 15:00:00","3201204","1004110","1","4","0","0","603","32001004","0","80001"
"登頂5次特殊地下城","2030/04/01 14:59:59","CONQUEST！","32012","2015/04/01 15:00:00","3201205","1004110","1","5","0","0","603","32001005","0","80001"
"登頂1次特殊地下城","2030/04/01 14:59:59","1st Round Clear！","32013","2015/04/01 15:00:00","3201301","1004110","1","1","0","0","603","32001001","0","80001"
"登頂2次特殊地下城","2030/04/01 14:59:59","2nd Round Clear！","32013","2015/04/01 15:00:00","3201302","1004110","1","2","0","0","603","32001002","0","80001"
"登頂3次特殊地下城","2030/04/01 14:59:59","3rd Round Clear！","32013","2015/04/01 15:00:00","3201303","1004110","1","3","0","0","603","32001003","0","80001"
"登頂4次特殊地下城","2030/04/01 14:59:59","4th Round Clear！","32013","2015/04/01 15:00:00","3201304","1004110","1","4","0","0","603","32001004","0","80001"
"登頂5次特殊地下城","2030/04/01 14:59:59","CONQUEST！","32013","2015/04/01 15:00:00","3201305","1004110","1","5","0","0","603","32001005","0","80001"
"登頂1次特殊地下城","2030/04/01 14:59:59","1st Round Clear！","32014","2015/04/01 15:00:00","3201401","1004110","1","1","0","0","603","32001001","0","80001"
"登頂2次特殊地下城","2030/04/01 14:59:59","2nd Round Clear！","32014","2015/04/01 15:00:00","3201402","1004110","1","2","0","0","603","32001002","0","80001"
"登頂3次特殊地下城","2030/04/01 14:59:59","3rd Round Clear！","32014","2015/04/01 15:00:00","3201403","1004110","1","3","0","0","603","32001003","0","80001"
"登頂4次特殊地下城","2030/04/01 14:59:59","4th Round Clear！","32014","2015/04/01 15:00:00","3201404","1004110","1","4","0","0","603","32001004","0","80001"
"登頂5次特殊地下城","2030/04/01 14:59:59","CONQUEST！","32014","2015/04/01 15:00:00","3201405","1004110","1","5","0","0","603","32001005","0","80001"
