5e3984bcc2da8c3468c4c488533fa856089b966580ad87c37c383ea3030c0287,6a8cf4821097e85d6937f15a309406844c79c9ada121d9a8feedf21951a969d6,ca6e2664b39f5fb792875c4ce25bb031d4de65bce5b5774f37e73a003fee570a,4724e963ba1aefcd8a271b74e8cf016ab1c598e94d4151536e891c587a94395d,11d5cbe95784350afd759244bb08e9eef701e2e7e958c9f81fe217e7fc1ded3b,0152b0ee7d2be5d355b7643bd58f38cd5a378bf8e7d2fa14b17ff9b3812989a4,8e03fb2bd27e7bb01103a34e7bf782f77ac1b080383f5c49e11a0ddaba32420e,1b843cd70491b8d21187c7886f8c4ec2d4aea3381956e9a51455c30dd06073ed,ddab85cab34ee2b11bbca213e8df8fe457567dd3547f1ab35e3f6b69f4cef057,40063bbeec823d1fa228e6855a50f3db515a2b6f4c199fa9332da03e3b2392cf,f77de2267777997c556c33e6731dd1be419907a02b81a4a93df863259f6c3ca9,81a82774bbd19d5f557372e9fb70c97d7d556b743154b0a0ac5c0827c31e8f35,b4cc48cc061ba16556d90fd42a7c9dfe1f50bb8e98276b35c381c873e7d3a1aa,617d4b9354da344df8f8fbcbbc047765288bb16f8842e4d565839e5ba06a3441,9c9008c424795a01aa54e303fc4cb90155b1e37d8e549e73919fb02861adbd8f,a05e1b05442d4d11a51b259836c54028a3112e68ce35e10b7a9725b200fc2774,8fc5fc453218a6f7e9c719069a153878c84c524a540e7d49367bd144a4fd42e5,ea2fbd792ffabd6c271ce7621d82e1e4586af58d1012ace06a8da06c0931b00b,d441e1913e09a2a7bf24d5cf439039e8eecd6e26fc6e631d133159ac3d8348c5,0698473124a813376abadee3a757ddf0eb6fbd39bb9745bd39786149ee0dc4e6,025e6685dc0575318f5c47871b7cd061b0bb5c974ad44dde94a5247e95e4d438,6c2763559e4727bde8bdb07df153661b967ddc9605d5b0ff02e75ea5cfd61848,1b8a2efaf5933ba2610288912dd491671e29def13f61e18dbdb4104214f73197,d25da882590b93cca3b45f23609e63dfc0dddc0f0ac02fbc9a2586b1a3f81204,3d939fa62ea6d3bcd9b0ec0e7e25138073411acdcf4e946d38c6a1e8f242f85a,45c612b18ff53f7d95f34c9869327ba2170302db9017eba737c4c3c2126a4771,c9dba38b438a0ab19de239853c0a1fd0229b09c2dfb74ceef5db2eb8c39b19a5,119ec99902bbc1f37ffa2714e153eabcaecc26d429a42457584a4ca84d830af3
"105401","106001","50","0","1001","180301","0","90","100003","110301","100203","180301","100101","100303","100305","128801","0","100101","100101","100101","100101","1","0","100101","14","1001001","1","2024/11/01 16:00:00"
"124501","106001","50","0","1001","101801","0","90","100003","123701","100203","123701","100201","100204","100101","110301","0","100201","100201","100201","100201","1","0","100201","13","1001002","2","2024/11/01 16:00:00"
"117301","104001","50","0","1001","110301","0","90","100003","106901","100304","104001","100301","100101","100102","105401","0","100301","100301","100301","100301","1","0","100301","20","1001003","3","2024/11/01 16:00:00"
"101801","129001","50","0","1001","101401","0","90","100003","123001","100202","101801","100401","100302","100304","103401","0","100401","100402","100401","100402","1","0","100401","14","1001004","4","2024/11/01 16:00:00"
"103001","111001","50","0","1001","102801","0","90","100003","102601","100303","103001","100501","100101","100102","104901","0","100501","100501","100501","100501","1","0","100501","13","1001005","5","2024/11/01 16:00:00"
"110301","100801","50","0","1001","123001","0","90","100003","106001","100202","100801","100601","100302","100304","106501","0","100601","100601","100601","100601","1","0","100602","14","1001006","6","2024/11/01 16:00:00"
"103401","108301","50","0","1001","105501","0","90","100003","106001","100202","105501","100701","100203","100101","128301","0","100701","100701","100702","100701","1","2","100701","13","1001007","7","2024/11/01 16:00:00"
"105301","123001","50","0","1001","101801","0","90","100003","112201","100303","105201","100801","100101","100102","105201","0","100801","100801","100801","100802","1","7","100801","14","1001008","8","2024/11/01 16:00:00"
"108901","124501","50","0","1001","113401","0","90","100003","110301","100202","113401","100901","100302","100304","100701","0","100901","100901","100901","100901","1","11","100901","20","1001009","9","2024/11/01 16:00:00"
"103401","115001","50","0","1001","124101","0","90","100003","100901","100303","100901","101002","100101","100102","106601","8","101001","101002","101002","101005","2","1","101005","13","1001010","10","2024/11/01 16:00:00"
"117501","121301","50","0","1001","110301","0","90","100003","106901","100203","117501","101105","100303","100305","105401","18","101101","101106","101102","101105","2","16","101105","14","1001011","11","2024/11/01 16:00:00"
"126101","129001","50","0","1001","117301","0","90","100003","123001","100203","117301","101206","100205","100101","108901","10","101201","101206","101202","101206","2","3","101205","13","1001012","12","2024/11/01 16:00:00"
"123001","129001","50","0","1001","106001","0","90","100003","118501","100303","118501","101306","100101","100102","101401","11","101301","101306","101302","101306","2","6","101301","14","1001013","13","2024/11/02 16:00:00"
"105301","123001","50","0","1001","126101","0","90","100003","105501","100203","126101","101402","100303","100305","103401","12","101401","101402","101402","101406","2","7","101406","13","1001014","14","2024/11/02 16:00:00"
"103401","108301","50","0","1001","106901","0","90","100003","123001","100203","108301","101502","100205","100101","100501","9","101501","101506","101502","101504","2","2","101506","14","1001015","15","2024/11/02 16:00:00"
"112201","129001","50","0","1001","123001","18","90","100003","118501","100203","101401","101605","100303","100101","101401","17","101601","101606","101602","101606","3","14","101606","13","1001016","16","2024/11/03 16:00:00"
"100501","129001","50","0","1001","101401","16","90","100003","123001","100203","129001","101702","100303","100101","108901","15","101701","101706","101702","101706","3","14","101702","13","1001017","17","2024/11/03 16:00:00"
"123301","129001","50","0","1001","103401","0","90","100003","105501","100203","120001","101805","100303","100101","120001","19","101801","101802","101805","101806","3","14","101802","13","1001018","18","2024/11/03 16:00:00"
"180401","111801","50","0","1002","121001","0","90","100003","107501","100203","105801","100101","100303","100305","105801","0","100101","100101","100101","100101","1","0","100101","14","1002001","1","2024/12/01 16:00:00"
"112001","127201","50","0","1002","180601","0","90","100003","106001","100203","106001","100201","100205","100101","121101","0","100201","100201","100201","100201","1","0","100201","13","1002002","2","2024/12/01 16:00:00"
"105901","125301","50","0","1002","107601","0","90","100003","180501","100304","105901","100301","100101","100102","111901","0","100301","100301","100301","100301","1","0","100301","20","1002003","3","2024/12/01 16:00:00"
"103401","111401","50","0","1002","110301","0","90","100003","101201","100202","111401","100401","100302","100304","104601","0","100401","100401","100401","100401","1","0","100401","14","1002004","4","2024/12/01 16:00:00"
"103401","100801","50","0","1002","106001","0","90","100003","129001","100303","105401","100501","100101","100102","105401","0","100501","100502","100501","100501","1","0","100501","13","1002005","5","2024/12/01 16:00:00"
"101101","100801","50","0","1002","112201","0","90","100003","129001","100202","106601","100601","100302","100304","106601","0","100601","100602","100601","100601","1","0","100601","14","1002006","6","2024/12/01 16:00:00"
"108901","123001","50","0","1002","100501","0","90","100003","103401","100202","104501","100701","100205","100101","104501","0","100701","100701","100701","100702","1","1","100701","13","1002007","7","2024/12/01 16:00:00"
"105501","108301","50","0","1002","101401","0","90","100003","123001","100303","103401","100801","100101","100102","103401","0","100801","100802","100801","100801","1","2","100801","14","1002008","8","2024/12/01 16:00:00"
"128801","129001","50","0","1002","103401","0","90","100003","100901","100202","100901","100902","100302","100303","108901","0","100901","100902","100901","100902","1","3","100902","20","1002009","9","2024/12/01 16:00:00"
"128801","129001","50","0","1002","126101","0","90","100003","123001","100302","128801","101006","100101","100102","100701","0","101001","101006","101002","101006","2","6","101006","13","1002010","10","2024/12/01 16:00:00"
"106601","112201","50","0","1002","103401","0","90","100003","102201","100202","102201","101102","100302","100303","105201","0","101101","101102","101102","101105","2","7","101102","14","1002011","11","2024/12/01 16:00:00"
"112201","100801","50","0","1002","123001","0","90","100003","129001","100202","112201","101205","100205","100101","129601","1","101201","101206","101206","101202","2","8","101206","20","1002012","12","2024/12/01 16:00:00"
"123301","108301","50","0","1002","123501","0","90","100003","101101","100302","123301","101305","100101","100102","100501","2","101301","101301","101302","101304","2","9","101305","14","1002013","13","2024/12/02 16:00:00"
"123001","129001","50","0","1002","106001","0","90","100003","118501","100203","123001","101406","100301","100303","101401","3","101401","101406","101402","101406","2","10","101401","13","1002014","14","2024/12/02 16:00:00"
"103401","129001","50","0","1002","105501","0","90","100003","130801","100202","129001","101502","100205","100101","120001","0","101501","101506","101505","101506","2","19","101502","14","1002015","15","2024/12/02 16:00:00"
"105301","123001","50","0","1002","126101","0","90","100003","105501","100305","126101","111602","100302","100101","103401","0","111601","111602","111602","111606","3","15","111606","13","1002016","16","2024/12/03 16:00:00"
"104901","129001","50","0","1002","129601","0","90","100003","110301","100203","129601","111701","100303","100101","120001","0","111701","111704","111705","111706","3","16","111706","14","1002017","17","2024/12/03 16:00:00"
"130901","100801","50","0","1002","126101","0","90","100003","129001","100203","108901","111806","100302","100101","108901","19","111801","111806","111802","111802","3","17","111806","13","1002018","18","2024/12/03 16:00:00"
