c856916dec0d821bb0e4d91421b161e6928ef51a12ee338580dd0486df304c90,39308a3e501511180315db6b79ac2a2b7e460e7a1965475cd14696f4553d7e8a,30d55d5060688def19e140b15f821a7d0522a53f0f1c2564448c0d4a631ee5ff,70449505f375a86808ee20d4a30a1d39777cb6c944c2e45f774acd0d0f71f372,74add883cc96cf1c06243247c826f0bab19453c50775ca01c62a1911c9fe36b6,de476de447dbb51546deadac4e5022a4f953d3d6b88f7c89e093f3b51af5d883
"10010","1","100","610010501","0","0"
"10010","1","250","610010502","0","0"
"10010","1","450","610010503","0","0"
"10010","2","440","610010601","4","6"
"10010","2","300","610010602","3","3"
"10010","2","140","610010603","2","1"
"10010","2","20","610010605","1","1"
"10012","1","80","610012501","0","0"
"10012","1","180","610012502","0","0"
"10012","1","280","610012503","0","0"
"10012","1","380","610012504","0","0"
"10013","1","-500","610013501","0","0"
"10013","1","-400","610013502","0","0"
"10013","1","-300","610013503","0","0"
"10015","1","0","610015501","0","0"
"10015","1","10","610015502","0","0"
"10015","1","20","610015503","0","0"
"10017","1","-180","610017501","0","0"
"10017","1","-80","610017502","0","0"
"10021","2","20","610021501","1","1"
"10021","2","140","610021502","2","1"
"10021","2","300","610021503","3","1"
"10025","1","-120","610025501","0","0"
"10025","1","-10","610025502","0","0"
"10025","1","30","610025503","0","0"
"10027","1","-220","610027502","0","0"
"10027","1","10","610027503","0","0"
"10027","1","800","610027504","0","0"
"10027","1","100","610027505","0","0"
"10029","1","-120","610029501","0","0"
"10029","1","-10","610029502","0","0"
"10029","1","30","610029503","0","0"
"10031","1","-120","610031501","0","0"
"10031","1","-40","610031502","0","0"
"10031","1","10","610031503","0","0"
"10031","1","50","610031504","0","0"
"10033","1","-120","610033501","0","0"
"10033","1","-10","610033502","0","0"
"10033","1","30","610033503","0","0"
"10033","1","-80","610033504","0","0"
"10035","1","10","610035501","0","0"
"10035","1","-120","610035502","0","0"
"10035","1","90","610035503","0","0"
"10035","1","-220","610035601","0","0"
"10035","1","10","610035602","0","0"
"10035","1","100","610035603","0","0"
"10035","1","800","610035604","0","0"
"10037","1","80","610037501","0","0"
"10037","1","180","610037502","0","0"
"10037","1","280","610037503","0","0"
"10037","1","380","610037504","0","0"
"10038","1","-120","610038501","0","0"
"10038","1","-40","610038502","0","0"
"10038","1","10","610038503","0","0"
"10038","1","50","610038504","0","0"
"10039","1","-500","610039501","0","0"
"10039","1","-400","610039502","0","0"
"10039","1","-300","610039503","0","0"
"10040","1","-205","610040501","0","0"
"10040","1","122","610040502","0","0"
"10040","1","25","610040503","0","0"
