4945a89487d127433ee252c5c866e98377ed7fe630c72369d6fd56c5d42bdf53,8ab223d8a4689556695b3b0cd39c1f68029875bb657a05dee66cb9d835e9223e,cf4e48ccca7a8bec147aabfb4efd34416c6b7f614d90d739c3696f00f8d75730,38b6482975b0fbe2d74dd2f7a2dd11a039f677aaa481fc8229d74d0ed8a4c443,7e827b5e02156f151e1ee9bf4e15acf661e16a829016ba84b609f6bdd870939d,5ae492fd73fce8dedc403c096b834d70375810e95ade754c183f1345ab23e57d,b216c7adb86b277d21ff8301bd0f779615f7c8c5a5c6c0cfe651640d2797a5ed,f0ed8354e498f509320dfc7264724a7d6da3081e2491212118318fe9e4dcb2da,33042680d92311ec0134563ccb1d465654ff7b042e0f38aec6f139499e644764,d59900f1a37840732cfb14e469f4118375557bf6fceb023de595b7b90c5e9560,449506d6c1eb78f7481604056fd430a72b035c23b9136efed1ddfb6b8d3e5a25,e7efd32c8d984396acb4c26bc03c943151036ebc667d48e99e11c20a7c546d09,fa764f31ac58639665473287fb615e04c3d9fb962e53cd5979bfaafbe692de82,1868da30a0025d1bcdb102db7e23ba98b65604d32b08ffd5ae80f171af08ad64,2dbfa98ee4db94f580bb0481c2e44149de08737e91c8640a8c0713fb9871e478,e0bb401d23241c1c55d5ce8ff8716ad034a1c34f5277fa2050abbacb491c3e07,82ce5df36d4c04d09e453098f158e530f13231f360c8a03866ecdc57e42b965f,2d7b1182b2107bb5841e9ee2824d256e732ae5db1e3a59bb2473b5aa0930ec73
"1","0","20","5","2","150000","22003","0","20003","1","5","8","0","12","94002","150","2","91002"
"6","0","15","2","2","100000","22003","0","20003","2","9","8","0","12","94002","145","2","91002"
"10","0","11","5","2","80000","22002","0","20003","3","19","8","0","12","94002","140","2","91002"
"20","0","10","5","2","80000","22002","0","20003","4","29","8","0","12","94002","130","2","91002"
"30","0","9","4","2","70000","22002","0","20003","5","39","8","0","12","94002","120","2","91002"
"40","0","8","4","2","70000","22002","0","20003","6","49","8","0","12","94002","110","2","91002"
"50","0","7","3","2","60000","22002","0","20003","7","99","8","0","12","94002","100","2","91002"
"100","0","2","2","2","40000","22002","0","20003","8","499","8","0","12","94002","80","2","91002"
"500","0","7","1","2","20000","22002","0","20002","9","999","8","0","12","94002","50","2","91002"
"1000","0","4","3","2","16000","22001","0","20002","10","4999","8","0","12","94002","20","2","91002"
"5000","0","3","2","2","9000","22001","0","20002","11","9999","8","0","12","94002","15","2","91002"
"10000","0","8","1","2","4000","22001","0","20001","12","11999","8","0","12","94002","10","2","91002"
"12000","0","7","1","2","3000","22001","0","20001","13","13999","8","0","12","94002","5","2","91002"
"14000","0","6","1","2","2000","22001","0","20001","14","14999","8","0","12","94002","4","2","91002"
"15000","0","5","1","2","1800","22001","0","20001","15","30000","8","0","12","94002","3","2","91002"
