e13e5767b2d805f617108dcdc59a98e1729b692c36a8bbcd0d5eb33686ea1ae1,b3f521875c9f123dfd9606a96d5e35b5886747c28a535ec1008eb7bd1949f8e2,8b0a522d3f0e81a9f1d87b4731f69f38b30b9dea75a426f4bdb7cf1079b0c946,dce8cd5ed9237f89a8b7cc0a187958274834feb923a4bab0db1dd7207e71ad12,dd64355354c7c487b3eb7d26cb1ffd9f93f107dd6ee9b5ffde9cef385054c60f,c0e27a87c788e1d40d09e5079084419eff4e4e198f6f097c74903ae7c7b5d225,49b250c6d48d78cedb0b8b41e69ee61b1f8606d4e291b659f0840e91d24aedc0,f09d5174bba914b3f5b4b39f9aaec4063786a9ca29ddbc54b3386dc9467c4ac9,8f48916514c5434700972bc446d5f04302b071ee585919c2c8c5f09cf5743c83,2fb1d831259d05ab6716be4f055f7801ba4595642c73a0799d50aa028ccae7f0,88ea734d491ed6638a67e42a67e5361127b403be764f526ff420f6ce2d42daa0,ef980593e7028c0ba4a45c2ba99f84584bda6701e8fe07d81a9295688d01a514
"8","優衣的病歷　其一","1007401","2022/01/03 12:00:00","10074","20041106","100201","0","20","91002","年輕與低燒","0"
"8","優衣的病歷　其二","1007402","2022/01/03 12:00:00","10074","20041112","100201","0","20","91002","感受內心的激烈鼓動","1007401"
"8","優衣的病歷　其三","1007403","2022/01/05 05:00:00","10074","20041115","100201","0","30","91002","心煩意亂的病名是","1007402"
"8","優妮的病歷　其一","1007404","2022/01/03 12:00:00","10074","20041106","111001","0","20","91002","預料之外的訪客","0"
"8","優妮的病歷　其二","1007405","2022/01/03 12:00:00","10074","20041112","111001","0","20","91002","服藥的時間","1007404"
"8","優妮的病歷　其三","1007406","2022/01/06 05:00:00","10074","20041115","111001","0","30","91002","致親愛的你","1007405"
"8","鈴莓的病歷　其一","1007407","2022/01/03 12:00:00","10074","20041108","102501","0","20","91002","奇妙的外來患者","0"
"8","鈴莓的病歷　其二","1007408","2022/01/03 12:00:00","10074","20041114","102501","0","20","91002","可怕的病症","1007407"
"8","鈴莓的病歷　其三","1007409","2022/01/07 05:00:00","10074","20041115","102501","0","30","91002","現代醫學的極限","1007408"
"8","伊莉亞的病歷　其一","1007410","2022/01/03 12:00:00","10074","20041108","104401","0","20","91002","統御黑夜之人的苦難","0"
"8","伊莉亞的病歷　其二","1007411","2022/01/03 12:00:00","10074","20041114","104401","0","20","91002","美麗計畫","1007410"
"8","伊莉亞的病歷　其三","1007412","2022/01/08 05:00:00","10074","20041115","104401","0","30","91002","華麗課程","1007411"
"8","杏奈的病歷　其一","1007413","2022/01/03 12:00:00","10074","20041110","100901","0","20","91002","不可視之敵","0"
"8","杏奈的病歷　其二","1007414","2022/01/03 12:00:00","10074","0","100901","2004101","20","91002","被封印的魔法","1007413"
"8","杏奈的病歷　其三","1007415","2022/01/09 05:00:00","10074","0","100901","2004101","30","91002","獨眼惡魔的特別治療","1007414"
"8","忍的病歷　其一","1007416","2022/01/03 12:00:00","10074","20041110","103101","0","20","91002","骷髏驚喜","0"
"8","忍的病歷　其二","1007417","2022/01/05 05:00:00","10074","0","103101","2004101","30","91002","向迷惘少女伸出援手","1007416"
