25448419beb7cf309f36705638f7cf85ba07a3184c6798c6aa3db1a85d512c73,1a610e44bd7af64f410ec55c9d5207f817c5e79c6cccc8979b8964d9a770fc79,bab6abf902f8a719a2f28277ed6879d7e77f9fe05e7cfa414d23efb9e67fe08a
"106101","平常時","裝備中"
"106701","平常時","特殊技"
"106801","平常時","權能解放中"
"106901","平常時","特殊技"
"115801","平常時","變身中"
"116401","平常時","特殊技"
"118201","平常時","特殊技能"
"118501","平常時","特殊技"
"120801","平常時","初次發動時"
"122001","平常時","特殊技"
"122301","平常時","共鬥中"
"122701","平常時","特殊技"
"123001","平常時","特殊技"
"125001","平常時","共鬥中"
"125801","平常時","特殊技能"
"126001","平常時","特殊技能"
"126101","平常時","特殊技能"
"126201","平常時","特殊技能"
"126401","平常時","【蓄電滿載】中"
"126501","平常時","特殊技能"
"129001","平常時","特殊技能"
"129301","平常時","特殊技能"
"129401","平常時","特殊技能"
"129601","平常時","特殊技能"
